"","id","text","rating","afinn","lsd","vader","sums"
"802",802,"  lid that fits perfectly on my Rubbermaid Brute 44 gallon garbage can",5,0.6,-1,0.637,3.274
"955",955,"  This stuff always works ... only 5 dots required. Follow the directions absolutely,  perfectly! Forget all the other brands! Larger quantities are available!",5,0.2,-1,0.636,3.272
"180",180,"  doesnt fit all 4-6 cell maglites.  it says it fits all but it doesnt. many people have posted that it doesnt but yet they still sell it and don't seem to care or have an option in either a new led that fits or a retaining ring that fits the larger led. if it came with its own retaining ring it would work.",1,0.3,1,-0.612,3.224
"290",290,"  meh...I am not sure why people rave about these things it did little to nothing for me. nicely made, though.",2,0,1,-0.522,3.044
"311",311,"  Lasted less than 2 weeks before the color changed. Not sure how safe it is to place into an oven to dry it out so it can be reused.",2,0.2,1,-0.522,3.044
"335",335,"  Lids don't seal great",2,0.6,1,-0.51,3.02
"57",57,"  The washers worked fine, but I only received 82 in the box.  I realized this after installing them, and now I can't return the order.  I am not pleased withe Hillman Group",1,0.5,-1,-0.404,3
"299",299,"  I had high hopes for this product, but it just didn't work on my cast aluminum camper part. I cleaned beforehand, followed directions for mixing and let it sit overnight. No joy.",2,0.267,1,-0.495,2.99
"578",578,"  It works , but not as good as I though should.",3,0.6,1,-0.478,2.956
"630",630,"  Nice looking calipers.  Shipping was initially quoted at 3 months or so, but arrived in 2 weeks with other items.  I'm not sure what that was about.\n\nUnfortunately, they got stuck immediately out of packaging and within the first 10 seconds.  I couldn't close the jaws past 1/32\",4,0.1,1,-0.467,2.934
"186",186,"  Did not meet expectations. Too light to truly make any difference in buffing the hardwood floors which was the main reason for the purchase.",1,0,-1,0.44,2.88
"800",800,"  Bought this out of necessity but it can't cost more than 10 or 15 cents to make. A little bummed about the price but no complaints otherwise.",4,-0.2,-1,0.438,2.876
"535",535,"  I have one of these at work which I use daily so I purchased this one for use at home and side jobs. It differs GREATLY in accuracy between the two. I used a calibrated multimeter to verify the one at work is accurate within 1/2 degree F. The one I just bought is off by 5 1/2 degrees F!! No adjustment settings or dials - so you get what you get.",3,-0.2,1,-0.418,2.836
"965",965,"  This is the only thermal compound that I use. This stuff has never failed me.",5,-0.4,-1,0.402,2.804
"34",34,"  not worth it",1,0.4,-1,-0.169,2.8
"116",116,"  Was not happy with these at all. They had a big chip in the metal on the curve and the tips did not meet evenly therefore they do not work. Garbage.",1,0.4,-1,-0.458,2.8
"248",248,"  too flimsy not like original",2,0.4,-1,-0.472,2.8
"481",481,"  Clips are too smal and slick for large hanrs.",3,0.4,-1,0,2.8
