"","id","text","rating","afinn","lsd","vader","sums"
"391",391,"Not his best book! A bizzare book about a black fish whose entire school/family are eaten, he then roams the ocean and finds a new family and encourages them to survive in the open ocean by ganging together and pretending to be a bigger fish. Interesting and teaches a lesson but is not the best book to read.",2,0.36,1,-0.616,3.232
"240",240,"So am I the only one not impressed?",1,0.6,-1,-0.372,3.2
"715",715,"What young girl did not love the Baby-Sitters Club and Karen, the Baby-Sitters Little Sister?",4,0.6,-1,-0.522,3.2
"387",387,"Yay for more picture books featuring lgbt characters! Nay for the way women were portrayed in this particular book.",2,0,-1,0.571,3.142
"640",640,"Well, the kids liked it well enough when read aloud, but I wasn't really a fan. I didn't care for the illustrations, and the story was just meh. Not one I'm likely to use again.",3,0.467,1,-0.564,3.128
"118",118,"This kind of illustration doesn't typically appeal to me. I don't mind collage but people and faces seemed hastily drawn in a way that makes me think the illustrator doesn't have those technical skills. And yet, Collier is award-winning. There's no accounting for taste, as they say.",0,0.1,1,-0.421,2.842
"172",172,"The one star is from the childhood me - I didn't fancy this book at all as a kid. I think it scared me, and I also think that I didn't like the style of the writing or the drawings and I have a hunch I won't like it now either. Have no intention really to reread in now, and I think my childhood opinion is suitable enough for a children's book.",1,0.05,0.6,-0.808,2.816
"209",209,"Poorly written and not interesting.",1,0.4,-1,-0.309,2.8
"294",294,"Ugh. 
 I read this a long time ago and did not like it.",1,0.4,-1,-0.601,2.8
"523",523,"(SPOILERS) some thing in the book were comical. the outcome was kind of predictable but its possible that i was able to predict it because my brother wants to secret passages and rooms in his house.",3,0.4,-1,0,2.8
"454",454,"I wasn't as impressed with this book :/.",2,0.6,1,-0.372,2.744
"700",700,"This book gave me goosebumps. It's a journey of imagination and memory, and is a teeny bit sad, but in a nostalgic way, not a grief way.",4,-0.4,-1,0.338,2.676
"642",642,"I read this to a couple of first grade classes who visited our library. The message behind the library's endangered future was that answers could be found in books. Although the animals/characters search for the books they need to solve problems .... I thought it was ironic that the books ""saved"" the library. 
 A good book to promote reading, and the importance of libraries!",3,0.171,-0.5,0.827,2.654
"257",257,"Pretty pictures. Not a lot of plot... Also, do not like when people count humans as animals.",1,0.3,-1,0.271,2.6
"755",755,"** spoiler alert ** 
 shkr",4,-0.2,-1,0.296,2.592
"402",402,"Another highly rated book from the K summer reading list that I just didn't like that much.",2,0.4,1,-0.276,2.552
"605",605,"It's 6th grade now and Mickey and Margalo are back from summer break raring to go. Now, however, there's a new girl in class and there's something about her that Mickey doesn't like....",3,0.4,1,-0.276,2.552
"731",731,"My ONLY reservation about this engaging story-starting powerhouse is that kids may find the words hard to read.",4,-0.2,-1,0.25,2.5
"491",491,"** spoiler alert ** 
 I enjoyed this book until Miss Arbutus Ward told us about her strange out of body kidnapping. I totally would have bought it if White would have built it up more, but it seemed to come out of no where. Why even mention the panther if it has no real purpose? 
 Also, Grandma, and just about every ill-habit-character found new meanings to life and so easily. The town drunk, who only had a few lines, suddenly realized that he shouldn't drink his war caused problems. Rita finally speaks, Lucy finds her name, Cedar stops cussing, and I don't who else, probably everyone on some level, who knows. Oh yeah A.H. Crawdford figured out his life too! 
 I love books with a happy ending, but not so over the top. I recommend Violet Raines almost gets Struck by Lightning. 
 'I still say she looked like a bumblebee,' Cedar mumbled stubbornly. 
 'That maybe, but your opinion doesn't count, nor does mine. Mrs. Bevins believes her taste in clothes is impeccable, and in the long run, it's only what one thinks of oneself that matters.'",2,0,-0.294,0.949,2.486
"342",342,"This book has been named one of the 10 most important books of the past 70 years, at least according to Wikipedia. This got me really excited to read this book, but it was such a dud! Not only was it not very interesting, it was disturbing that this angel-like creature kept asking for the children to pour ale down his throat. I wouldn't really recommend this book to kids ... or adults for that matter.",2,0.171,0.333,-0.898,2.462
"319",319,"I just don't see the purpose of this board book. It presents yarn-created illustrations of various scenes from the original movie with one word as label for each scene. I'm not sure what age this book is for--it makes no sense to anyone who doesn't know the movie well--a phrase, instead of one word, would be more appropriate--which wouldn't be the toddlers that use most board books.",1,-0.2,1,-0.217,2.434
"212",212,"Guess I don't relate well to dog ownership...",1,0,1,-0.206,2.412
"291",291,"This story about a garbage truck and its daily life is tedious, not much fun to read aloud.",1,0.8,0,-0.402,2.404
"349",349,"Filled with plenty of large photographs, this book for young readers provides historical notes about Jack-o'-lanterns as well as tips for carving one of your own. I had no idea that these lanterns were originally carved from turnips.",2,-0.2,1,-0.026,2.4
"827",827,"Henri Matisse's mother filled his grey world with color. He credited her with the artist he became. a visual treat!",4,-0.2,1,0.69,2.4
"574",574,"Not my favorite in the series, but I'll take Splat over ""Pete the Cat"" any day of the week.",3,0.4,1,-0.188,2.376
"376",376,"These books are terribly written. Chopping sentences in half with periods and leaving the second half as a fragment is not an effective way to lower a reading level. I don't want my children to think this is quality writing! Yikes!",2,-0.1,0.333,-0.839,2.344
"447",447,"I don't really like the resolution of this book. No good lessons were learned, but maybe some bad habits were. No bueno. I do like the artwork though. I likes pigs.",2,0.114,0.714,-0.453,2.334
