"id","text","rating","afinn","lsd","vader","afinn_binary","lsd_binary","vader_binary"
1,"Does the Minister accept that Scotland and Wales are nations, not regions?Does the Minister feel that it is fair that Scotland and Wales should suffer a disproportionate reduction? That has been the crux of the debate.",1,0.333333333333333,0,0.193,"1","0","1"
2,"I will not venture into this attempt to rewrite the British constitution to stop the House of Lords giving the Commons the right to consider things a further time; we will save that for another day. On the important matter of regulation, does the Secretary of State agree that the key point is that institutions such as a free press need independent regulation, as other great institutions in the country do? It might be set up by statute, but it needs to be independent. That it is set up by statute does not mean it will be run by Ministers in a politically biased fashion. That argument could be used to dismiss many other respected regulatory bodies in all kinds of areas across the country.Does my right hon Friend not accept that one of the purposes of examining what went wrong in the past is to establish how such extensive criminality was allowed to grow in our press and exactly where the responsibility for that lay so that it is not repeated? Would he also apply the argument that there is no point in looking into the past to, for instance, the Chilcot inquiry into the Iraq war, which was held to ensure that we minimise the danger of great errors being made in future such situations?The manifesto appears to have had quite an effect on my hon Friend. I hope that he will tell me where one can get a copy; I never received one. Has he discovered who wrote that document, which I do not think the Cabinet ever considered before it appeared halfway through the election campaign? I urge him not to regard it as too binding on his conscience and his valuable personal judgment about whether it is justified to keep our promises on Leveson 2.",0,0.5,0.419853845560264,0.942,"1","1","1"
3,"Quite right.",1,0,1.09861228866811,0,"0","1","0"
4,"The hon Lady may not be aware of this, but my recollection is that the Scottish Conservatives did not receive 20% of the vote in Scotland at the last general election. Is she saying, therefore, that the Under-Secretary of State for Scotland, the right hon Member for Dumfriesshire, Clydesdale and Tweeddale  would not be able to take part in that process?rose-It might help the House to know that the Scottish Parliament has very specific rules about what counts as a motion of no confidence in the Government. For example, failing to get a Budget through does not count, as we saw just two years ago when the Scottish National party Government could not get their Budget through on the first attempt.For further clarification, it is not only the First Minister but each of the Ministers that he or she subsequently appoints who require a formal vote in the Scottish Parliament. Some hon and right hon Gentlemen might find that to be a useful mechanism.As I am a new Member, will the hon Lady tell me which Government introduced the September sittings to break up the very long summer recess?I regret that I have been unable to be here as much today as on other days, but hon Members will appreciate that I had Select Committee business. I have been fascinated to see so many Liberal Democrats here. Perhaps the Minister will reflect on why a record number of Lib Dems have turned up to hear how to bring about the collapse of a Government now or in future. I am sure he will feed all this back to the Deputy Prime Minister when he next sees him. I shall try to stick to the issue at hand, Mr Amess. I strongly welcome the work of the Political and Constitutional Reform Committee and it is a matter of some regret on both sides of the House that the Deputy Prime Minister did not take the time for any other pre-legislative scrutiny. Opposition Members and several Government Members have tried to strengthen the Bill. Of course, we are not opposed to the principle of fixed-term Parliaments, although we would prefer a term of four years to five. Our aim is to try to make sure that we have clarity, so it is disappointing that we have not yet heard from the Minister any of the necessary clarity about what would constitute a vote of no confidence. Obviously, as a new Member, I do not have the same experience and length of service as many Members on both sides of the House, but having recently read Mr Alistair Campbell's ""Diaries""-an excellent read-I was struck by the account of an occasion when the previous Conservative Government threatened to use a no confidence motion to stay in office. I am sure the hon Member for Stone  and others can confirm that. You, too, Mr Amess, may recall those days. It seems to me a slightly grubby, if not shabby, state of affairs for a Prime Minister of whatever hue to try to drive through legislation by using such a threat.I am grateful to the hon Gentleman for those comments. As I was not a Member during the last 13 years, I shall have to wait for the second volume of Mr Campbell's ""Diaries"". However, the hon Gentleman's point is not invalid. No Prime Minister of whatever hue should be allowed to hold a gun to the head of his own side. As much as I am a fan of our Whips Office-we have excellent Whips and several of them are hovering near me, so I may make that point again-as my hon Friend the Member for Rhondda  has already said, if the Bill is not clarified, which I hope the Minister will do tonight, the Whips Offices will have an immense power of threat. As my hon Friend the Member for Foyle  pointed out earlier in his excellent remarks, there was at least one occasion when legislation that, on reflection, was unnecessary, and may indeed have exceeded requirements, was jammed through. That also relates to the point made by the hon Gentleman. For those reasons, I very much welcome my hon Friends' proposals on the 14-day period. If there is a period of reflection, we could make a change. I have huge respect for our Speaker. He is doing an excellent job.I thank my hon Friend for that remark and I congratulate him, as well as the hon Member for Epping Forest , on the work of the Select Committee. My hon Friend is entirely correct. As the Bill stands, it gives the Prime Minister and the Chief Whip vast power. It is the responsibility of Parliament to be a check on the Executive branch. I seem to be filling the Chamber, so this is of some interest. Members on both sides of the House have consistently made the argument that we have a duty to hold the Executive to account. I am, as I said, a massive fan of the Speaker, although I accept that I do not have much with which to compare his activities. There is a serious danger that if the Bill continues its passage without suitable alteration, we are placing our Speaker and subsequent Speakers in an extremely difficult position. I counsel the Committee to think carefully when we come to vote.As ever, my hon Friend succinctly hits the nail on the head. The Bill is a mess because the Government did not take full advantage of the opportunity for pre-legislative scrutiny.I thank my hon Friend. I will not repeat my previous lecture on US constitutional history, but it worth reflecting on what happened before the 1997 general election, when Labour, the Liberal Democrats and civic society in Scotland got together for a five-year constitutional convention and teased out over that period exactly the mechanisms that would lead to a no-confidence vote. As I mentioned earlier, using the example of Scotland, if the Budget falls in the Scottish Parliament, that does not automatically trigger an early general election. What happens is that the Presiding Officer of the Scottish Parliament has to set out that there will be a vote of no confidence later.I agree entirely with the hon Gentleman, who has yet again identified the matter as a cross-House, cross-party, cross-views issue. It is not about tripping up the Government, but about providing clarity and ensuring that the matter is not resolved in the courts.Yet again, my hon Friend is correct. It is disappointing that the Minister does not wish to take that simple point on board. As the hon Gentleman said, the issue cannot be resolved in the courts, because it would be an embarrassment to this House-a House that has stood in one form or another for 900 years-if we were forced to resort to them. We are not the Americans, I am pleased to say, and our political process should be decided through the will of the people and through their elected representatives. We should not pay high-value, slick lawyers to scurry off to the Supreme Court to try to overturn-  Debate interrupted  .  The occupant of the Chair left the Chair to report progress and ask leave to sit again .  The Deputy Speaker resumed the Chair.  Progress reported; Committee to sit again tomorrow.",1,0.791044776119403,0.548213155837611,0.999,"1","1","1"
5,"The Minister has said that what he has done is quite deliberate and he makes no apology for that. The people of Essex will have heard clearly what he has just said. Our county council received the worst grant settlement of anywhere in county and many people in the county will suffer as a result. The Minister has said that that is deliberate and he has made no apology for it. The people of Essex will be very angered by what he has said.The hon Gentleman knows that Essex is also on the list of councils that are suffering. I want to play back to him the question that he asked earlier. As he is setting out policy from his Front Bench, can he tell the House whether, if councils have to increase their council tax because of the lack of support from the Government, the Liberal Democrats will not campaign against those councils? Yes or no?",0,-0.466666666666667,-0.619039208406223,-0.705,"0","0","0"
6,"claimed to move the closure . ",1,0,0,0,"0","0","0"
7,"Does the hon Lady accept that there is a potential constitutional point, too, in that what is being suggested is, in effect, a breach of the Sewel convention, whereby power is given with one hand, but is possibly taken away with the other?I congratulate the hon Gentleman on the tone of his contribution. It is important that he recognises that the problems that he is lucidly describing apply to many working-class people throughout the United Kingdom, including in my constituency. We hope that the new powers will do something to help people in Scotland, but I ask him to remember that people throughout the United Kingdom are affected.",1,0.888888888888889,0.635988766719997,0.963,"1","1","1"
8,"Is it not fair to say that many pubs are in trouble because of pub companies charging high rents and because they are tied to buying the beer through those companies? The 2p can make a difference, but the real reason is the prices that the pub companies charge.",1,0,-1.94591014905531,-0.325,"0","0","0"
9,"As the right hon and learned Gentleman knows, I have been in this House for 40 years. I have never heard of a more serious allegation against a Government: misleading this House and stopping it functioning. Would he agree?",1,-1,0,-0.338,"0","0","0"
10,"The hon Lady and I have discussed the problems of hard drugs before in the Chamber. Does she agree with my hon Friend the Member for South-West Devon  that we need more facilities for the treatment of hard drug addicts? She has not mentioned that. Does she think that that should be provided by compulsion if people are convicted of hard drug offences?Wonderful.The hon Gentleman mentions the Conservative right-to-buy policy. He is doubtless aware that all the proceeds from houses purchased from housing associations will be reapplied to build more houses, thus providing more stock for people who want to enter the affordable housing sector. What is important is not the number of houses, but their availability. It is those extra houses that will be afforded as a result of proceeds from the right to buy.",1,-0.142857142857143,0.268263986594679,0.392,"0","1","1"
