"token","afinn","n"
"product",0,159
"bought",0,80
"fit",1,80
"time",0,80
"price",0,79
"buy",0,71
"quality",0,61
"2",0,55
"easy",1,55
"1",0,54
"fine",1,52
"spray",0,51
"plastic",0,50
"5",0,48
"item",0,48
"purchased",0,45
"bottles",0,43
"4",0,42
"light",0,42
"set",0,42
"bulb",0,41
"3",0,40
"job",0,40
"money",0,40
"bit",0,39
"box",0,39
"hard",-1,39
"hold",0,39
"handle",0,37
"recommend",1,37
"floor",0,36
"bottle",0,35
"easily",0,35
"unit",0,34
"tool",0,33
"nice",1,32
"cheap",0,31
"disappointed",-1,31
"amazon",0,30
"size",0,30
"clean",1,29
"cleaning",0,29
"heavy",0,29
"bad",-1,28
"broke",-1,28
"toothbrush",0,28
"water",0,28
"expected",0,27
"lot",0,27
"love",1,27
"metal",0,27
"stuff",0,27
"move",0,26
"screws",0,26
"found",0,25
"replacement",0,25
"reviews",0,25
"screw",0,25
"top",1,25
"brushes",0,24
"original",0,24
"poor",-1,24
"pretty",1,24
"received",0,24
"brush",0,23
"door",0,23
"expensive",0,23
"makes",0,23
"broken",-1,22
"clips",0,22
"floors",0,22
"glue",0,22
"moving",0,22
"ni",0,22
"properly",0,22
"shop",0,22
"stars",0,22
"head",0,21
"hose",0,21
"leak",-1,21
"nthe",0,21
"people",0,21
"purchase",0,21
"return",0,21
"run",0,21
"thermal",0,21
"wire",0,21
"6",0,20
"advertised",0,20
"arrived",0,20
"base",0,20
"brand",0,20
"shipping",0,20
"bottom",0,19
"cell",0,19
"inside",0,19
"led",0,19
"nozzle",0,19
"perfect",1,19
"power",0,19
"read",0,19
"start",0,19
"strong",1,19
"teeth",0,19
"thin",0,19
"times",0,19
"air",0,18
"items",0,18
"tape",0,18
"vacuum",0,18
"worth",1,18
"easier",0,17
"hand",0,17
"quickly",0,17
"review",0,17
"waste",-1,17
"10",0,16
"ago",0,16
"cleaner",1,16
"grip",0,16
"heat",0,16
"mag",0,16
"model",0,16
"months",0,16
"nails",0,16
"paste",0,16
"pay",-1,16
"short",0,16
"tight",0,16
"vac",0,16
"compound",0,15
"day",0,15
"guess",0,15
"half",0,15
"house",0,15
"lift",0,15
"person",0,15
"picture",0,15
"products",0,15
"reason",0,15
"replace",0,15
"wrong",-1,15
"8",0,14
"bag",0,14
"cost",0,14
"cpu",0,14
"difference",0,14
"due",0,14
"expect",0,14
"forceps",0,14
"hands",0,14
"happy",1,14
"instructions",0,14
"kit",0,14
"leads",0,14
"package",0,14
"post",0,14
"silver",0,14
"sprayer",0,14
"staples",0,14
"star",0,14
"sturdy",0,14
"surface",0,14
"type",0,14
"weight",0,14
"wide",0,14
"amount",0,13
"bright",1,13
"button",0,13
"couple",0,13
"days",0,13
"decent",0,13
"difficult",-1,13
"dolly",0,13
"fast",0,13
"feel",0,13
"gas",0,13
"home",0,13
"larger",0,13
"maglite",0,13
"oral",0,13
"perfectly",1,13
"piece",0,13
"sheets",0,13
"simple",0,13
"wood",0,13
"accurate",0,12
"arctic",0,12
"break",0,12
"carry",0,12
"clamp",0,12
"excellent",1,12
"extremely",0,12
"fits",0,12
"heads",0,12
"holes",0,12
"hook",0,12
"minutes",0,12
"probe",0,12
"real",0,12
"service",0,12
"shipped",0,12
"summary",0,12
"20",0,11
"battery",0,11
"build",0,11
"buying",0,11
"close",0,11
"degrees",0,11
"extra",0,11
"free",1,11
"hole",0,11
"lock",0,11
"low",0,11
"material",0,11
"nail",0,11
"packaging",0,11
"past",0,11
