"id","text","rating","afinn","lsd","vader"
1,"  I bought 2 of these for my back porch. One stopped working after about 2 hours; it flickered and then went off. I had brand new 60 watt bulbs. Now I am back to the switch in the house. It costs almost as much to ship as the cost of the photo controls. You are absolutely wasting your time and money to buy this product.",1,-0.571,-0.042,-0.598
2,"  Item was the wrong item and apparently the model I need is no longer available.",1,-0.571,-0.431,-0.649
3,"  this was not the product i was hoping i ordered..I have no use for this cloth and neither does the people i ordered it  for it was  my mistake but the title on the package was the product i wanted.  i found out later my miracle cloth was made by a company called solutions.",1,0.086,0.139,0.781
4,"  ran my water bill way up it is alway removing the water I thought it was every 8 hours but it was going alot so I got the biggest water bill I ever had then unpluged it and then next month back to normal",1,-0.143,0.347,0
5,"  I had high hopes for this product, however, it simply does NOT get my teeth clean. It's lacking power no matter how long the brush charges. The first brush is already a goner even though I've used it for less than a month. Considering throwing it away...",1,-0.029,-0.042,0.515
6,"  Wrong size!!! To much of hassle to return!",1,-0.714,-0.611,-0.645
7,"  it doesn't do its job; first of all, it doesn't stick well. also its winter time so it definitely won't stick! don't recommend this",1,0.429,0.347,0.507
8,"  Very light and therefore did not scrub our tile grout lines very well at all.",1,-0.143,0.347,0.338
9,"  Do not work under water pump pressure makes them totally useless!",1,-0.571,-0.431,-0.679
10,"  this hardly works... do not buy it, and they won't take it back... a total rip off..I am very disappointed",1,-0.714,-0.611,-0.526
11,"  This is the biggest piece of crap I have ever seen in my life ! Paper thin metal on and on what a joke / OMG this must have cost about 5.00 dollars to make ! I am sending this joke back . Dont buy this joke of a fryer ! Please don't do it .",1,0.086,0.258,0.475
12,"  The nails were shipped within reasonable time. However the frameing nailer was scheduled to be shipped later. I had\na project scheduled and the nailer was scheduled outside the date of need. Therefore the nailer was canceled and the\nnails would not work in the nailer purchased locally.\nThe frameing nailer has been shipped twice even though the order was cancelled. Both times it has been refused.",1,-0.571,-0.042,-0.494
13,"  received wrong size and wrong color.\nI will not recommend this",1,-0.333,-0.611,-0.808
14,"  Let's be honest, the fact that it does not have anything to actually hold the pads on is ridiculous. Bought this to use to get all the polish and residue off our wood floors. What a waste. I am returning it even though I will lose money doing so.\nIt is not good. It is cheap. I am in love with the Shark Sonic Duo now that I see what else is out there(this)",1,-0.2,-0.042,-0.228
15,"  Perhaps ten years ago I bought a pegboard hardware set that came with similar clips (I believe the set was also from Crawford as its hanging jars are a dead ringer for Crawford's current set).  The clips from that set worked beautifully at preventing hooks from lifting off (and falling into the inaccessible muck behind my workbench).\n\nBut that set did not contain enough of the clips and I finally decided to look for more.  This item looked right and despite being rather overpriced, I went ahead and bought it.  But these clips simply do not stay clipped.  I compared them with the older clips and found that the barbs that grab the pegboard are only half as wide (about 1mm, or a bit over 1/32\).  They are simply too narrow to hang on.  So shame on Crawford for not only overpricing but selling a downgraded and now ineffective item, summary: Not the same as the old clips:  These don't work!, unixReviewTime: 1384560000}
{overall: 1.0, verified: true, reviewTime: 10 7",1,-0.306,-0.223,-0.555
16,"  I purchased the three pack and I received three bottles but only two sprayers. Unfortunately, I didn't notice this right away. I filled two bottles and used one for half my task without incident. I used the second bottle for about half of the second half of my task when the sprayer popped out of the bottom and was unable to be properly positioned and would no longer work as needed. At this point, I went to get my third bottle and found that part was missing. Too late to return. DON'T BUY THESE!",1,-0.571,-0.161,-0.84
17,"  Arrived broken.",1,-0.429,-0.431,-0.477
18,"  I've boughbt the canister steamers, and the first one lasted 24 hours of intense usage.\n The second I bought lasted 20 minutes. Since I knew I would probably get another lemon, I decided not to take it back to the store.\n I dissassembled it and found out the plastic tubing and wand trigger ,coming to and from the heating core ( like an under the sink water heater) was plugged with plastic. poor manufacturing. Steam constantly blew out the bottom, so little wand spray. So too make this short. DON'T BUY IT!!!!!!!!!!!!!!",1,-0.048,-0.341,-0.354
19,"  Great price, much less than my local CVS, but I am skeptical that these brushes are the real thing. An older edition, maybe. The brushes were harder (older?) and the placement of the drive mechanism (inside the little slot -- see it) sometimes \grabbed\ my lower lip. Unpleasant. I tried two and then tossed the whole pack.",1,0,-0.431,-0.81
20,"  It did stop the leak quickly, however the leak returned in two days. I was dissapointed.",1,-0.429,-0.611,-0.718
21,"  Real junk. Only one of the bottles actually closes. I can`t even use the other two since they do not screw on",1,-0.143,-0.042,0.076
22,"  Square heads strip easily or shanks break off. This is going into soft wood. Don't waste your money on these. Better off buying a longer shank philips bit.",1,0,0.139,0.767
23,"  To me a spray bottle has three functions:  1.  Hold liquids. 2.  Spray. 3.  Don't leak.\n\nThese bottles leak.  If you shake them, whatever is in the bottle will be on your hands. Leaks at the seal where the sprayer screws on.\n\nI tested all three and they all leak. I had a couple of spare sprayers that I bought for another application and transferred my solution to one of them. No leaks.",1,-0.314,-1,-0.452
24,"  Very disappointed it was defective part,didn't work now looking for another one,have to go to the basement and turn on heater manually every hour in this below zero Chicago temperature",1,-0.714,-0.611,-0.742
25,"  This unit is more like a hand held car buffer on a stick.  It is not heavy enough to buff floors and feels more like a toy.",1,0.429,0.647,0.842
26,"  It took quite a bit of time to put the handle together, but I finally succeeded.  I plugged it in released the handle to turn on and nothing happened.  I changed plugs and still no power.  I had waited to clean floors knowing that this machine was coming.  Totally defective.  Obviously was not checked prior to boxing.  I would like to give it NO stars.  It was hard to repack,(another block of time) Very, very disappointed.\nAmazon was quick to refund total amount.",1,-0.225,-0.131,-0.713
27,"  The wires are very thin and flimsy.  The alligator jaws are not very big, and not very well attached to the wires.  The insulation is cheap and the rubber covers over the jaws are thin and slippery -- they slide around as you are trying to adjust the jaws, making it difficult to grip them.  If you like working on electronics projects, these poor-quality alligator clips will try your patience and make you wonder why you thought it was a good idea to \save\ money (instead of buying good quality ones and being done with it).",1,0.333,0.228,0.789
28,"  Purchased Two of them that was a waste of money. They are both broke, they turn on but that's it. never again!!!!!",1,-0.429,-0.611,-0.608
29,"  I have ordered this item 4 days ago and it still hasn't shipped. I don't know what is going on and it never takes this long. . . .",1,-0.143,-0.042,0
30,"  I won't buy these again. One didn't work when I received it. One stopped working after about a week. The last one lasted a month.",1,-0.429,-0.042,-0.226
31,"  k",1,-0.143,-0.042,0
32,"  first time use... clip pulled off... cheap made",1,-0.143,0.347,0
33,"  this product is  not safe  to use with jack  slicker than snot",1,0.286,-0.431,-0.251
34,"  not worth it",1,0.429,-0.431,-0.169
35,"  Although it appearred to be the right control for my skillet, the probe was unable to connct. It seems to be too large and does not insert completely and am afraid to try and force it in. Probes seem too long. Very disappointed and unable to use my 25 year old skillet that's still in good condition otherwise.",1,-0.238,-0.38,-0.126
36,"  A reputation is a fragil thing, so hard to grow and so easy to destroy, be careful with your words when you speak about someone else.  I purchased several 1,000 screw tubs of this screw thinking that they were for exterior use.  I put some of them down about a year ago in treated wood outside. I pulled some of them out and they are rusted badly.  I called Senco and they practically called me a liar, I sent them a picture of the tub and there is nothing stating that these screws were for interior only.  Their new tubs do say for interior use only but not mine, I was supposed to hear from a supervisor regarding compensation for the price of the screws and the four days it's going to take to replace them.  I have yet to hear from them, I guess that the only way that I am going to be able to recoup my loses is to take them to small claims court.",1,-0.476,-0.341,-0.871
37,"  No, no , no. Quality poor. Save your money.",1,-0.314,-0.042,0.819
38,"  Pqt. have only one insert pic,s shows three inserts please put right information  big disapointment box ok time ok but product short",1,0.143,0.647,0.468
39,"  This might work well for jacks, BUT...\nDoes NOT WORK with the \post popper\ even though it was suggested.\n\n[ PS: the post popper DOES work well! ]",1,-0.143,0.528,0.541
40,"  Wanted to use it as a finger goni but the way it's made prevented it from measuring certain flexion/extension of some fingers well due to rounded end. I don't recommend this particular goni.",1,0.048,0.347,0.419
41,"  I bought a brand new 4 cell mag light and while this bulb does fit and is a lot brighter than the original bulb, the mag light retaining ring cannot not be put back on so this bulb cannot be secure. I ended up returning it. The ring around this bulb is about 2 mm larger than the original and is too big for the mag lite's retaining ring to pass through and engage the thread so it cannot be screw back on. The advertisement that this will fit any 4 or 6 cell mag lite is false.",1,0.2,0.047,0.897
42,"  Didn't work and I was not allowed to return it",1,-0.143,-0.431,0
43,"  This sock was terrible.  There is a big hole on heal portion the first hour I wear it.  Then the broken hole expanded to the top.  I did not do anything extreme when I wear it, I only went to shop for groceries.  The shoes I wore was a pair of covered toe and heal low heeled dress shoe.  I received the merchandise and went to shop with it right away. How can be a sock so disappointed!",1,-0.314,-0.131,-0.88
44,"  I was sent this product without a handle. Someone failed in the quality department.",1,-0.714,-0.042,-0.511
45,"  These are a waste of money. Unable to move anything with them on carpet.",1,-0.429,-0.611,-0.421
46,"  Plug pops out like others. Clamp is too short inside unit. Works great otherwise, but don't expect the female portion to work consistently or properly. Inside just broke on me. Another poor product in the trash!",1,0,-0.042,-0.704
47,"  Cheap and broke",1,-0.429,-0.042,-0.421
48,"  Fries ok but the material is cheap and you might cut yourself if you are not careful when taking the grease pan out to empty and to clean.",1,0,0.077,-0.069
49,"  I ordered these and they don't come with nozzles!! Waste of money!!",1,-0.429,-0.431,-0.608
50,"  These are really a poor quality.  They don't really close tight so you cannot grip items with them.  I bought a pair at Harbor Freight for less money and they are a much better quality.  I would not recommend for anyone looking for a secure grip on anything.  I use on paracord and leather cord and it does not grip.",1,0.143,0.347,-0.049
51,"  Not really suited for their intended purpose.  The problem is that they fit too loosely over the male fittings on the ends of 2.5-inch shop vac hoses.  I tried this with every 2.5-inch hose that I have, and found that, in every case, the hoses keep disconnecting from these couplers with the slightest motion or tug on the hoses, for instance, while vacuuming my garage floor.  Don't waste your time with these.",1,-0.333,-0.431,0.281
52,"  Flimsy materials didn't work on my new pegboard which is a Wall Control board.",1,-0.143,-0.431,0
