"id","text","rating","afinn","lsd","vader"
1,"Does the right hon Gentleman not understand that, in presenting this proposal to the UK Government, the Scottish Government are very much seeking that consensus and compromise. We understand that the people of England have voted to leave the EU, and we do not seek to frustrate that, but what we ask is that this Parliament also recognises that not just the SNP but the Scottish Parliament has empowered the Government to act in our interests to make sure that we remain within the single market. That respect has to work two ways, and it is about the UK Government working with us. If they do not do that, we know what the answer is. Quite frankly, we should not be in this place.We must reflect on what we were told in 2014, and that is that we were asked to lead the Union. If we are to have respect for this place, which we do, this House has to respect that the people of Scotland have given a particular judgment. This is about the House reaching a compromise not with us as SNP MPs, but with the people of Scotland. I cannot see why the Government and Conservative Back Benchers see that as so difficult. Quite frankly, if they cannot reach that accommodation with the people of Scotland, the people of Scotland will make their own conclusion.Will the right hon Gentleman therefore join me and my colleagues in demanding that powers that might come back to this Parliament, in respect of agriculture and fisheries, be handed over to Scotland and that we get the money that should be coming to us? As part of that process, why does the UK Government not start by handing over the convergence uplift money from the EU that is supposed to come to Scottish farmers and crofters but which the UK has kept its filthy hands on?Does the hon Gentleman not recognise that 62% of people in Scotland voted to remain in Europe? If he respects the nation and the people of  Scotland, why do the Government that he supports not compromise with the Scottish people and the Scottish Government and allow us to achieve what we voted for, which is to remain in the single market?On a point of order, Mr Hoyle. I have to say that I have great respect for you as the Chairman, but I hope you can understand the frustration that we all feel that only two SNP Members have been called to speak in this debate, which is important for the future of Scotland and our position within Europe. I am asking what you can do, Mr Hoyle, to make sure that the voice of the people of Scotland is heard correctly in this debate. It has not been heard this evening.",1,0.5,1.363,0.993
2,"Does the hon Gentleman think it is rather perplexing that more effort has not been made by the Government and others to deal with the arms trade in the middle east, to close the Turkish border, which is so fluid, to the terrorists, and to tackle the problem of funding from Saudi Arabia?",1,-2,-0.847,-0.778
3,"I am grateful to all hon Members who have taken part in the debate, and in particular to my hon Friends the Members for Daventry  and for Hertsmere  for their explanations of the contents of and the motives behind the amendments, and for their offer not to press them to the vote. I say to the hon Member for Birmingham, Edgbaston  that I will hold back my innate wish to be aggressive to the point of rudeness towards her, and that I am happy to find an occasion to discuss with her and interested Opposition Members the content of last Thursday's written ministerial statement and how we can take matters forward. It will be better for the reputation of the House, of governance in this country and of how we as a Government and a Parliament handle justice and home affairs coming from the EU if there is the maximum possible agreement across the political parties on a structure that we hope will then endure. Before I move on to the amendments, I should like to respond briefly to some of the points that have been made that are more appropriate to a stand part debate. I turn first to the hon Member for Caerphilly . I will not go on at him incessantly about this, but I found it strange that in a debate on so many amendments, covering such a wide range of justice and home affairs issues, he focused almost entirely on the contents of the next group of amendments that we are due to debate and on the parliamentary lock that would be imposed on the number of advocates-general. I shall try to satisfy him on that point. We have included in schedule 1 any move to change the basis of decision making under article 19 of the treaty on European union from unanimity to qualified majority voting, so that it would be caught by the referendum lock. That article guarantees that there will be one judge from each member state in both the general court and the Court of Justice of the European Union. It is important that we ensure that we continue to have a veto, so that we can insist that there is a UK judge there. That is important not just for the national interest but for the reason given by my hon Friend the Member for Esher and Walton  and others this evening. Four EU member states have common-law jurisdictions, although our Scottish colleagues in the House might argue that the UK is by no means entirely a common-law jurisdiction. Those states are ourselves, Ireland, Cyprus and Malta. For that reason, it is important to have a suitable arrangement for taking decisions about the number of judges, and a requirement for each member state to nominate a judge, so that we can effectively protect the representation of those four jurisdictions in the highest judicial councils of the EU. The hon Member for Caerphilly will also find in article 19 a requirement for both judges and advocates-general to be ""persons whose independence is beyond doubt"". Again, that requirement deserves to be protected. I have no reason to believe that the other member states would vote to dilute it, but the importance of the article justifies the referendum lock. In contrast, article 252 of the TFEU requires there to be eight advocates-general to advise the court. There is not the same idea that there should be one from each member state. The article states that unanimity is needed in order to increase the number of advocates-general beyond eight, and a change to that article would be required for a switch to qualified majority voting. However, I say to the hon Gentleman that I believe the people whom we represent would find it slightly odd if we invited them to participate in a national referendum on whether to raise the number of advocates-general or on whether to change the method by which that decision is taken. That is the reason for the distinction that we draw in the Bill. My hon Friend the Member for Daventry asked about moves towards a common EU asylum system. The British Government strongly believe in the importance of practical co-operation on asylum policy within the EU. Equally, we do not judge that a common EU asylum policy is right for Britain. We believe that on many issues, EU member states have much to gain by working together, but we have made it clear that the emphasis of the EU's agenda on asylum should not always be on legislation, but on helping member states to improve the quality of their individual asylum systems. As I am sure my hon Friend knows, the UK has not opted into the reception conditions directive, the qualifications directive or the asylum procedures directive. My hon Friend the Member for Stone  asked about the European investigation order. My right hon Friend the Home Secretary has set out very plainly on more than one occasion her reasons for recommending that the Government opt in to that measure.I do not want to be distracted from the subject matter of the debate-clause 9 and the amendments-so the best thing is for me to tell my hon Friend that I will either write to him or ask my hon Friend the Minister for Immigration to do so in response to the point that he raises. May I summarise the Government's case in response to my hon Friend the Member for Stone? There have been many criticisms of the current criminal mutual legal assistance system; it is said that it is fragmented, confusing and subject to delays. In some cases, it takes many months to obtain vital evidence, and when the UK has been the requesting state, that has had a detrimental effect on UK investigations and trials. The EIO seeks to address those problems by simplifying the MLA system among EU member states and introducing strict deadlines for the execution of requests. It is true that had we not opted into the EIO, we would still have been able to operate MLA with other EU countries, but we would have been in a tiny minority of EU countries not using the EIO. Owing to that, and because deadlines would not apply to UK MLA requests, it is likely that those requests would be given a lower priority than those of other states, and that our prosecutors would have experienced longer delays. Given that 75% of the UK's MLA traffic is with other EU countries, the practical impact on UK cases would have been significant. If my hon Friend wishes to pursue the matter further, I suggest that he first looks at the letter which the Home Secretary wrote to the hon Member for Nottingham East  on 3 August 2010, and which she has deposited in the Library. The letter details a number of specific cases in which the current arrangements were proven to be inadequate. In one case, evidence that was not returned prior to the conclusion of the trial may have led to the suspect being exonerated. Her judgment and the Government's judgment is that had we not opted in, it is likely that there would be more such cases.My answer to that is on two fronts. The EAW is, of course, a pre-Lisbon, pillar three arrangement. It was not subject to post-Lisbon scrutiny, let alone to the detailed scrutiny and discussions with Committees and other representatives of Parliament that the Government are proposing. On the European investigation order, I can give comfort to my hon Friend. It is the Government's view that the decision to opt in to the order is one of the matters that would not only have attracted significant parliamentary interest, but which would also have raised questions of political and legal importance that would fully justify a full debate being held in Government time. With that debate would obviously come the opportunity of a parliamentary vote.I cannot recall without advice whether the Committee had just been appointed but had not met, or whether it had not yet been constituted, but the lesson that I draw from that episode-and the Government were far from happy with the fact that we had to take a decision at the end of the three-month period without a formal scrutiny process-is that we have, in the forthcoming discussions, to find a way to address the real difficulty that arises during a dissolution of Parliament and the period after that before the scrutiny Committees are fully reconstituted. What the new Government found on coming into office was that the EU's legislative timetable on justice and home affairs had not stopped and there was an accumulation of measures, each with a non-extendable three-month timetable, at the end of which we had to decide whether to make the initial opt-in. A large chunk of that time had already been devoured by the period of dissolution, and there were no scrutiny Committees in place to do the job that we would want and expect Parliament to do.My hon Friend is right. I signed off a letter to him earlier today responding to these points, which he put to me in writing, although I expect that he has not yet received it. We draw a distinction between the justice and home affairs matters on which it is already within the competence of the EU to act, but where the UK has an opt-in, and matters that are without the existing competence of the European Union. We have tried to maintain that distinction in each aspect of the Bill, and that is a point that has informed the Government's collective view on this legislation.My hon Friend is right to make that correction. He is also right when he refers to the importance of the jurisdiction of the ECJ as a relevant new feature of any justice and home affairs measure that is brought forward subsequent to the Lisbon treaty. That is the thing that makes such a profound difference between third-pillar arrangements and the current treaty arrangements. That is why when Ministers-usually the Justice Secretary or Home Secretary-come to the European Affairs Committee of the Cabinet with a proposed decision on a justice and home affairs measure, they are required, as a standard part of Government policy, to produce an analysis of the likely impact of ECJ jurisdiction on our law if the United Kingdom participated in the measure, and also to assess the risks that this would lead to competence creep. My hon Friend is right that that is an important consideration that we need to take into account when judging the balance of national interests that determines whether we choose to opt in to, or stay out of, a particular decision. My hon Friend the Member for Dover , along with a number of other hon Members, asked why we needed to opt in at all, because if we have not gone through the whole scrutiny process, we should just leave it and opt out. The treaty gives us a three-month period within which we have to decide whether we want to make an initial opt-in. We can, if we choose, opt out at that stage, let the negotiations take place on the final version of the measure, and then opt in to the final text, as agreed by the others taking part. The problem with what he suggested is that it is not a reliable method of ensuring that our national interests are properly represented, for a number of reasons. First, if we wait until the final stage, we have to ask the Commission if we may participate. The Council is then able to specify conditions under which United Kingdom can do so. If we judge that the balance of advantage points towards our opting in, there is a further advantage in getting in first. Secondly, if we participate on the first occasion on which we can opt in, we will then be at the table with a vote, helping to shape the final status of the text. We will not be in anything like as influential a position if we make a decision first to stay out. Thirdly, if we are not taking part, we have no vote on the final text. There are sometimes occasions-perhaps on a counter-terrorism measure-where we might decide that, on balance, it will be in our national interest to opt in, but where we dislike one particular element of the draft text. Perhaps we also know that two or three other key member states have similar reservations. In those circumstances, it is possible that the Government's decision would be to opt in by the end of the three-month period, with the aim of putting together an alliance with those other member states so as to secure through negotiation a final text that meets our interests and means that we are completely content with the outcome.My hon Friend puts his point trenchantly. I am not going to make any secret of the fact that the handling of European policy, and in particular on justice and home affairs, has been one of the most delicate issues for the coalition. There have had to be compromises on both sides to get the package of measures that we are including in the Bill and to shape the general policy that we are pursuing in respect of the European Union. If my hon Friend the Member for Hertsmere looks back to the debates on the Lisbon treaty, he will remember that he and I walked through the same Lobby, day after day, in opposition to that treaty. My recollection is that we had at least one day when we talked entirely about justice and home affairs matters. He knows the view that I took as a Front Bencher in a Conservative Opposition. I would much rather be either a member of or supporting a Conservative-Liberal Democrat coalition than spend another Parliament sitting fruitlessly in opposition, seeing measures being taken through the House to which I was vehemently opposed but which I was powerless to stop.I disagree with my hon Friend's statement either that we face an impossible dilemma or that the situation is untenable. We have a situation in which two political parties with differences of perspective and tradition on a number of issues are finding a way in which to work together in the interests of the nation as a whole. I think that the coalition is providing stable government. It is new in recent British political experience, but I find that it is hugely welcomed by many people of all political persuasions and no strong political persuasion.It is a bit rich for the hon Gentleman to intervene in that fashion. He and I know that, in regard to policy on Europe or on any other matter, Governments of a single party in recent history-Conservative and Labour-have had to compromise a great deal, given the different points of view in the broad churches that those parties represent.The hon Lady says that the Labour Government never sought to compromise. That might explain their result at the last general election. The answer to the hon Member for Caerphilly is that there is a collective discussion, and it is a matter of public record that every decision about European policy is routed through the European Affairs Committee of the Cabinet. The membership of that Cabinet Committee is published: it comprises two thirds Conservative Ministers and one third Liberal Democrat Ministers. That is the balance of all the Cabinet Committees. There are discussions and exchanges of points of view, and there is an outcome to which everyone collectively is willing to sign up and support. That seems to be a sensible, constructive way in which to do the business of government.No, I do not think that my hon Friend should jump to that conclusion. In yesterday's debate, I cited some counter-terrorist measures such as the European initiatives on passenger name records or on the tracking of terrorist finance, and it is very much in the interests of the United Kingdom for us to take part in them. The US Government, who have a strong interest in these areas of policy, very much want a transatlantic agreement on such counter-measures and look to us to try to persuade other European Union member states to support a vigorous counter-terrorist policy and effective measures that will satisfy Washington as well as London. Let me move on to deal with the amendments, as I have been speaking for nearly half an hour and have not yet been able to get on to that territory. My hon Friends the Members for Hertsmere and for Daventry tabled many of the amendments, and my hon Friend the Member for Stone was responsible for much of the remainder. Let me respond to the different amendments briefly, which I hope will allow us to move on to the next group as well. As we consider any potential future use of the JHA ratchet clauses, which in the context of clause 9 we have identified as articles 81, 82 and 83 of TFEU, we are also clear that this legislation should ensure that any UK participation in such measures by virtue of our opt-in should be preceded by the approval of both Houses of Parliament, and that our agreement to the final measures proposed should be preceded by parliamentary approval through Act of Parliament. We think that this represents a significant step forward in enhancing the House's controls on those JHA ratchet clauses, while maintaining the same proportionate and sustainable approach that we have tried to adopt in all other parts of the Bill. A number of amendments to this clause have been tabled, which are mainly designed to increase the level of parliamentary and, in some cases, public control. Amendments 14 and 27 would require the Government to secure the approval of each House before the UK could participate in any measure pursuant to the UK's opt-in under protocol 21 to title V of part 3 of TFEU. The two amendments have broadly the same scope, although I note that amendment 27, tabled by my hon Friend the Member for Daventry, would not cover an opt-out decision relating to an extension of the powers of Eurojust to include the initiation of criminal investigations, which he has addressed in a separate amendment that I shall deal with later. One of the Bill's key aims is to provide greater scrutiny and accountability over proposals to extend the competences of the EU or to broaden out the scope for EU action in accordance with existing EU competence, whether by future treaties or the use of ratchet clauses without the need for formal treaty change. However, measures proposed by the EU pursuant to its existing competences under title V, which do not relate to any proposed use of a ratchet clause, are not within the scope of the Bill's enhanced parliamentary controls. As set out on Second Reading, measures pursued by the EU pursuant to title V concern the exercise of competences already conferred on the EU by the member states under the current treaties, although in the case of the UK, we retain the freedom to decide, measure by measure, whether or not we participate. The Government believe that European co-operation in justice and home affairs can deliver key benefits, helping us to tackle more effectively issues of cross-border crime and making it easier for British citizens to do business across borders. As I have said on other occasions, however, the coalition Government committed themselves in the coalition agreement to considering opt-in decisions on a case-by-case basis. We have put the United Kingdom's national interest at the heart of our decision-making and continue to do so, with a view to maximising United Kingdom security, protecting our civil liberties, preserving the integrity of our criminal justice system, and maintaining our ability to control immigration. Ministers take all those criteria into account when reaching a collective decision about a particular opt-in. One way in which the Bill will increase public accountability is by providing that any proposed treaty change involving an end to the United Kingdom's freedom not to participate in justice and home affairs by removing the country's opt-in protocol would be subject to a referendum. All decisions under title V, the chapter in TFEU on justice and home affairs, are already subject to an enhanced level of parliamentary scrutiny. Following reflections on the annual report to Parliament on the use of the justice and home affairs title V opt-in and Schengen opt-out decisions, I outlined in my written ministerial statement last Thursday the Government's proposals for further enhancements of such scrutiny arrangements. In view of the time, and because I set out the proposals in detail both in the written statement and in yesterday's debate-they can be found in columns 238 to 239 of  Hansard-I do not propose to go into further detail today, although I repeat that I am more than willing to discuss the best way of proceeding with any Member on either side of the House. I do, however, wish to make a couple of points as a gloss on the policy that I announced in the statement. First, let me repeat that the Government believe that, in future, measures such as the European investigation order should be dealt with by way of a parliamentary debate with the opportunity for a vote. Indeed, they would have been dealt with in that way had these arrangements applied earlier. We have made an explicit commitment to a parliamentary debate and vote on the decision on the mass opt-in or opt-out which must be determined by 2014, as set out in my written statement.We are due to debate the measures later. The Government will have three options. They can decide to opt in to all the measures en bloc, or they can decide to opt out of them en bloc. The judgment that Ministers will have to make-I emphasise that no decision has yet been made, and that we are nowhere near making one or making a recommendation-is that these are measures in which the United Kingdom freely decided that it wanted to participate, because it served our national interest to do so, during the ""third pillar"" process that existed before the Lisbon treaty. The Government of the time-Labour or Conservative-decided that each measure was right and that it was in the British national interest to participate; but, of course, that decision was made on the basis that those were intergovernmental matters which did not fall within the jurisdiction of the European Court of Justice. That is a material difference. If we opt in to all these measures in 2014, we must accept that we are opting in to matters all of which will, from that point, be subject to ECJ jurisdiction.Yes, the default position is that we stay opted in. We have to take a decision one way or the other, and the Government are not going to hide in the corner and hope that nobody notices a decision to opt in. We are going to make a public announcement at the due time and have the debate in Parliament. The third option for the Government would be to opt out of the measures en bloc and then seek to opt back in where we continue to believe that the balance of advantage to our national interest lies in participation. A complicated analysis is involved and we are talking about 90 such measures coming up for determination in or before 2014. As this is, again, a matter within existing competence, it is best dealt with through the enhanced scrutiny arrangements that I am proposing and it should certainly require a vote in the House. The Government have explicitly committed themselves to that and it will, of course, happen before the end of this Parliament in 2015. The two amendments standing in the name of my hon Friend the Member for Hertsmere and others tabled by my hon Friend the Member for Daventry propose to subject all opt-in decisions to a requirement for an approval motion in both Houses, not simply those on which there is a significant level of parliamentary interest. Because of the practicalities of such a move on all opt-in decisions, that requirement would risk preventing the Government from being able to secure Parliament's approval in time to opt in to any new JHA proposal within the three-month time limit set down in article 3 of protocol 21 in order to enable us to participate in negotiations at EU level. That would have a knock-on effect on our ability to help shape the proposal effectively in negotiation, and sometimes that of great importance. Our votes what were made it possible to clinch an agreement on the EU-US terrorist finance tracking measure that suited our national interest and ensured that the Americans were content too. That deal became available during a parliamentary recess, when it would not have been possible to go through the formal procedures that the amendments seek to apply to each and every opt-in. That is one reason why in the discussions about enhancing scrutiny we have to find a way in which to handle the real difficulties that can sometimes arise, both during recesses and in periods of and following parliamentary Dissolution. May I say in passing to my hon Friend the Member for Daventry that, although the detail will be the subject of discussions with the relevant Committees and business managers, the possibility of a parliamentary vote would apply to any opt-in decision under the proposals that I made in my written statement. Included in that would be measures following the adoption of a measure by other member states and decisions not to opt out of Schengen measures where there is strong parliamentary interest in the measure or where the measure is of the importance that I have indicated in my written statement. The process proposed in the amendments does not lend itself to timely decision-making when a rapid decision needs to be taken. I have outlined the practical reasons why this approach would not be proportionate and I hope that my hon Friends will therefore be prepared not to press their amendments to a Division. Amendment 47 would require parliamentary approval before we could opt in to a measure brought forward under article 83 of TFEU, which allows for the establishment of minimum rules regarding the definition of criminal offences and sanctions if such approximation of member state criminal laws and regulations is judged to be essential to ensure effective implementation of policy areas in which the EU has already harmonised standards. For example, if the EU set rules about environmental protection and a criminal sanction proved essential to make those rules effective, the EU could consequently set a minimum standard for a criminal offence in that area. I listened carefully to what my hon Friend the Member for Stone said, but I do not believe that article 83 is a ratchet clause in the way that articles 81, 82 or 81 are so considered. Article 83 makes provision for Europe to be able to act under its existing competence without the need to be able to expand EU action in the same way, for example, as article 83 provides for the ability to expand the list of areas of serious cross-border crime in which the EU can act. I do not therefore think that it should be subject to the enhanced level of parliamentary control set out in the Bill to which the ratchet clauses are to be subject, given the relative differences in effect. Amendments 28 and 29 would require the relevant Minister to make an oral statement to the House if he or she were to seek to join new elements of the Schengen acquis or not to opt out of a measure building on Schengen. As my written ministerial statement made clear, we intend that Schengen decisions, like JHA title V decisions, should be covered fully by the proposed enhanced scrutiny arrangements. I hope that I have been able to respond to the concerns raised by hon Members on both sides of the House. In the interests of moving on to the next group of amendments, I shall conclude my remarks.The decision on whether to exercise the bloc opt-out is important and sensitive for the United Kingdom. On that point at least, I agree with my hon Friend the Member for Harwich and North Essex . Its implications for the whole range of complex, technical and often interrelated measures concerned will need to be carefully considered, and they ought to be carefully considered by Government and Parliament. I agree completely that Parliament should give its view on a decision of such national importance. That is why the Government have committed publicly to having a vote in both Houses before making a formal decision on whether we wish to opt in or out. As outlined in my written statement on 20 January, we will ""conduct further consultations on the arrangements for this vote, in particular with the European Scrutiny Committees, and the Commons and Lords Home Affairs and Justice Select Committees"".- The 2014 decision, however, concerns measures that the UK agreed pre-Lisbon, and in most cases they have already been transposed into United Kingdom law and implemented. I shall respond briefly to a couple of points that my hon Friend has raised. Civil justice measures are already subject to European Court of Justice jurisdiction-and were so prior to the Lisbon treaty. The measures falling within the scope of the 2014 decision on criminal justice were not subject to section 2 of the European Communities Act 1972 before the Lisbon treaty; the majority of those items of legislation, which are in force in this country, required their own separate Acts of Parliament in order to be implemented, including the Extradition Act 2003, which implemented the European arrest warrant, and about which hon Members on both sides of the House have many concerns. If the UK were to decide to remain in the pillar three measures, no new transfer of power or competence would therefore be associated with that decision: it would be neither a treaty change nor a ratchet clause. The decision for 2014 is therefore different in kind from the decisions that we propose, in the Bill, to subject to either a referendum or a primary legislative lock. Until the Government have decided what to propose on the bloc opt-out, it is difficult to reach any decisions about what to do on subsequent opt-ins, but such decisions seem to have similarities with the decisions on post-adoption opt-ins to new pieces of JHA legislation, with the important difference that this country will already have participated in the measures in question. The Government will pay all proper attention to the need for parliamentary scrutiny of any such opt-in decision, should that prove to be necessary and should the Government wish to opt back into selected measures; but, just as the arrangements for enhanced parliamentary scrutiny of current JHA opt-ins are a matter to be agreed outside the confines of the Bill, so too are decisions on the parliamentary scrutiny of those other decisions. In light of the Government's commitments to more powerful and enhanced parliamentary scrutiny, and because of the nature of the decisions that we will face by 2014, we do not think that the matters in question should be covered by the Bill. I therefore urge my hon Friends not to press their amendments to the vote.",0,0.979,1.247,1
4,"On a point of order, Mr. Deputy Speaker. I would be grateful if you could let me know whether there is any way in which the House can register its collective shame that a Government elected on a clear promise to grant the people a referendum on the European treaty are currently signing that treaty, albeit in a skulking, hole- in-the-corner fashion, in Brussels. Is there any way in which the House can register the fact that we disapprove totally of what is happening?",1,0.8,-0.847,0.743
5,"Will the hon Gentleman take this opportunity to acknowledge the serious injustice suffered by women who were born in the 1950s who have been offered and have accepted retirement packages from their employers that included figures based on the assumption that the retirement age would be 60?I am genuinely grateful to the Minister for at long last allowing me to intervene. In response to an earlier intervention by a Conservative Member who has now left the Chamber, the Minister replied that Ministers are always happy to meet party colleagues to discuss difficult cases. Unlike the Minister for Pensions, who sits in the other place, this Minister has refused to come to Northern Ireland and meet women who were born in the 1950s and who are adversely affected by this change. Will he please have the good grace to agree to come to Northern Ireland and meet my constituents in North Down, and other women affected by this issue, and explain why the Government will not introduce transitional measures?",1,0.615,0,0.85
6,"We almost all reject the Lords amendment because it would not allow any Minister to stand, but does the Under-Secretary understand that many of us would be  uneasy about the prospect of any long-term dual mandate? Can he assure us that, to meet the points that have been made from both sides of the House, the Government would be prepared to consider an amendment in another place that would limit any dual mandate to the time necessary for the transitional orders?",1,0,-0.336,0.488
7,"The Leader of the House will know that I have campaigned on the issues of MPs' expenses and freedom of information, but it is perfectly possible to campaign for freedom of information and support the point that she is making. It is important that MPs have confidence that they will not be subject to improper and perhaps irregular approaches by members of the public. Keeping MPs' addresses confidential is important to that.",0,2.143,0.788,0.981
8,"My hon Friend may be suggesting something similar to mid-term elections, but one of the problems with the Bill is that it proposes a five-year cycle. If we are to opt for the system suggested by my hon Friend, we really need a four-year Parliament with the council elections two years in, and unfortunately the Bill will not give us that.As interesting as it is to hear about what is happening in other countries, I am more interested in what happens here. The hon Gentleman will of course be aware that the average length of a Parliament in this country since 1945 has been 3.7 years. Actually, four years would be a very British thing to do.",0,0.667,0.336,0.807
9,"On a point of order, Mr. Deputy Speaker. I have just been reflecting on the words that you used at the end of the proceedings on Report. You said, ""Consideration completed"". I realise that the use of those words is a long established practice, but will you reflect on whether it would be more appropriate to say, ""Time allocation completed""? Consideration of these matters has certainly not been completed, because we did not reach many of the amendments. Under the arrangements for the modernisation of the House, the Chair ought to consider not saying ""consideration completed"" because that is misleading, as the Government's guillotine concluded the remaining stages of debate. Will you reflect on that for subsequent announcements?",0,-0.333,0.847,-0.195
10,"The hon Lady is making a powerful case about how unfair this situation is. Does she agree that there is a particular unfairness for women born between 1951 and 1953, such as my constituent Catherine Kirby, who will be left worse off on a weekly basis because they will not qualify for the new flat-rate state pension, whereas men will? Does she agree that it would be simple to solve the problem by allowing women in that position to opt for the single-tier pension?",1,-0.286,-0.251,-0.168
