"id","text","rating","afinn","lsd","vader"
1,"definitely one of my favorites...i've read it about 15 times in the past couple years/....got it when i was 10..it was the start of my library.",5,2,1.099,0.402
2,"The illustrations make this book worth reading.",3,2,1.099,0.226
3,"A, SM",0,0,0,0
4,"Great story. And a antidote to the creepiness of ""Runaway Bunny.""",4,3,0,0.625
5,"No reality has the power to dispel a dream. 
 Following my previous dissatisfaction with the ending of the first book, I headed down to my nearest library and checked out the rest of the series. So now I'm all equipped to find out just what the hell is going on in this town. I had an initial thought at first that Stain'd-by-the-Sea was a tiny place, but I guess I was wrong if Mr Snicket could still bring in more buildings and characters that weren't introduced in the first book (even if the town was dying and partly abandoned), but hey I ain't complaining. I'm just glad that my favourite taxi drivers and little journalist are back for more detective action, because they are so cute. 
 This book was more complete in the sense that the mystery of the missing girl was actually solved. I was almost terrified that Mr Snicket would let the girl slip through his clutches one more time and I think I might have thrown the book out of the window and paid the library fines for 'losing' the book after that. So yes I was quite satisfied with the ending. And also distracted by the lack of the mention of the Bombinating Beast, which had plagued me throughout the first book. 
 I am beginning to see the similarities between this series and ASOUE and it delights me to no end.",4,-0.529,-0.731,-0.773
6,"In this book, Dorothy learns that the family farm is about to be lost and she and Aunt Em and Uncle Henry are about to become homeless. Dorothy's aunt and uncle have heard all of the tales from Dorothy's previous trips to Oz, but they always thought that it was just tales from her imagination. 
 Upon learning that they are going to be homeless soon, Dorothy signals Ozma and goes back to Oz. She explains the situation that they are in and Dorothy tells her that she is going to take the offer to live in Oz forever, but would like to bring her aunt and uncle there. Ozma agrees to this request and brings the rest of the family there. 
 Uncle Henry and Aunt Em have never seen anything like Oz before and being that they are guests in the Royal castle, are a bit out of their comfort zone. To make them more comfortable, Ozma sends them and Dorothy out into the country to meet some of the residents of Oz. They meet some very odd characters along the way and they are always interesting. There are some characters that remind me of Alice in Wonderland. 
 Meanwhile, while all of this is going on, the Nome King has decided that he wants his magic belt back and he's going to plan an attack on the Emerald city and get it back. He loses several of his General's for his army, but one brave man, Guph, is happy to step up and take the role. He visits several evil groups of things and makes them promises and they agree to attack. While Guph is out gathering forces, the Nome King and his servants make a tunnel under the desert that separates his kingdom from Oz. 
 In the end, Ozma decides not to fight the Nome King. She wins the battle in an interesting way. You'll have to read to find out. Then, she and Dorothy and friends all visit Glenda the Good and they make it so that no one outside of Oz can get in or find it by accident or just fly in and take things over. 
 Would I recommend? YES 
 Stand alone or series? Series, but CAN be read alone. I highly recommend reading the series, though. 
 Would I reread? YES!!",5,0.5,0.298,0.987
7,"The power fantasy of every precocious child.",4,0,0,0
8,"3.5 stars 
 I really enjoy this world, their characters and their adventures, but I had a lot of issues with this book. It took 25% in the book for the characters to go back into the Land of Stories, this book is supposed to be for middle grade... I would have been bored, had I been that age, and wouldn't have finish the book. The rest of the book was a bit slow for my taste. The Wand of Wonderment was supposed to be really important, but there were only one chapter to retrieve each item, so yeah... The pace was inappropriate. There are a lot of characters in these books, I had forgotten everything about some of them. It is important to have secondary characters, but not so many... For some of them, you get to know them in the first chapters, and then, nothing until the last one (like Mother Goose), it doesn't make sense. I still really enjoyed my reading and got a little tear-eyed toward the end. I don't know if I'll continue with this series though, because the books are too long for what they are.",3,1,0.201,0.934
9,"I liked: that birds are correctly related to dinosaurs. 
 she liked the dinosaur...always, the dinosaur.",3,2,1.946,0.681
10,"Delightful illustrations. 
 I'm more familiar with :01 as a publisher for graphic novels, and am typically impressed with the quality. This is no exception.",4,1,1.946,0.691
11,"Little Men 
 More a collection of short stories about one family than a complete novel, Little Men is a cosy and undemanding read. Victorian life comes through clearly. The whole thing smells of baked apples and gingerbread, sounds like childish laughter, and shines with the loving benevolence which is the entire principle of Aunt Jo's school. 
 Though not Alcott's best, it's still a must read for anyone who loves Little Women, particularly if you are planning to complete the set and read Jo's Boys as well. The latter is an excellent book and well worth a read, but makes very little sense if you've not previously read Little Men. 
 I think if half stars were allowed I would give it three and a half, as compared with some of her other books, as it is I give it three. But do read it. If only so you can properly appreciate Jo's Boys.",3,1.667,2.398,0.94
12,"A great book that I read with my daughter. I love how Ada's parents are very supportive of her creativity and understand the need to be patient and encourage. I purchased this book for my daughter because she likes to experiment, question and explore everything around her. The added perk, my daughter's name is also Ada.",5,2.4,2.708,0.961
13,"A thought provoking book. A sweet story of love others, family and giving of oneself. Though it might appeal to some kids it felt like it was more of a book for grownups.",3,1.5,0.847,0.883
14,"This book is very clever and well-written. If I were critically rating it as children's literature I would give it a higher rating. I can see why it won the Newbery and I would easily recommend it to any child. However, I usually rate books based on my enjoyment of them - not their critical merit. So I gave this book 3 stars, meaning ""I liked it."" And I did. There was nothing about this book that I didn't like (besides the fact that it is about mice and rats, both of which I hate). I just didn't Love it. If I had read this book as a child, I probably would have loved it. If you enjoy reading children's literature, this is a worthy read.",3,1.8,0.938,0.957
15,"I remember being enchanted with a friend's copy of this children's classic and reading it in it's entirety over several visits to his home. I never owned this, thus; my memories of it are decidedly skeletal compared with many of the books I read and reread at this age. I look forward to reading this again as an adult.",4,2,1.946,0.382
16,"Jennifer Holm has crafted a tender and well-written story for middle grade readers, full of real characters, humor, a bit of fantasy, and some powerful messages about life and growing up. Ellie is an eleven-year-old middle schooler, who is experiencing significant changes and losses: she misses elementary school, she misses her best friend, and she is unsure about her place in the big picture of middle school and life. Then one day, a gawky adolescent boy shows up on her doorstep who bears an extremely close resemblance to her grandfather Melvin--could it be true that he has made a fantastic scientific breakthrough and discovered the fountain of youth? 
 I was surprised by how much depth this novel had--there were many plot lines and several main themes woven deftly throughout the book. I think young readers, especially girls, will immediately connect with the main character of Ellie: she sounds like a 'real' kid, and is very relatable in her thoughts about life and growing up. The premise of the story, that Ellie's grandfather has found a way to reverse the aging process and is a 13-year-old again, makes for some humorous situations. Holm did such an excellent job with the major themes in the novel (the cycle of life, the importance and excitement of scientific discovery, and the belief in the possible). I would highly recommend this wonderful story about growing up to kids (and their parents and teachers!) 9 and up, who enjoy realistic fiction with a touch of fantasy.",5,2,2.001,0.992
17,"Cute characters, clever stories, gorgeous colours. Perfect for my imaginary hipster kids!",4,2.333,2.197,0.932
18,"My two year old adores this book. I've essentially memorized it. A fantastic early introduction.",4,3.5,1.609,0.735
