"token","afinn","n"
"rt",1,452
"gopdebate",1,233
"t.co",1,156
"http",1,129
"trump",1,108
"gopdebates",1,96
"debate",1,54
"realdonaldtrump",1,53
"megynkelly",1,44
"gop",1,42
"night",1,39
"donald",1,38
"foxnews",1,35
"amp",1,34
"candidates",1,31
"people",1,29
"https",1,27
"night's",1,24
"carson",1,23
"god",1,23
"question",1,23
"time",1,23
"real",1,22
"watching",1,22
"fox",1,21
"jeb",1,21
"news",1,21
"president",1,20
"hands",1,19
"republican",1,19
"candidate",1,18
"huckabee",1,18
"rubio",1,18
"2",1,17
"cam",1,17
"ericstonestreet",1,17
"megyn",1,17
"america",1,16
"bush",1,16
"cruz",1,16
"ben",1,15
"debates",1,15
"kasich",1,15
"love",1,15
"rwsurfergirl",1,15
"hillary",1,14
"party",1,14
"paul",1,14
"tonight",1,14
"watch",1,14
"winner",1,14
"fiorina",1,13
"kelly",1,13
"life",1,13
"stage",1,13
"carly",1,12
"questions",1,12
"rand",1,12
"watched",1,12
"1",1,11
"clinton",1,11
"goldietaylor",1,11
"hillaryclinton",1,11
"rights",1,11
"talk",1,11
"wait",1,11
"won",1,11
"carlyfiorina",1,10
"gay",1,10
"military",1,10
"republicans",1,10
"talking",1,10
"tv",1,10
"2016",1,9
"answer",1,9
"break",1,9
"huge",1,9
"illegal",-1,9
"mike",1,9
"sense",1,9
"10",1,8
"bettyfckinwhite",1,8
"car",1,8
"closing",1,8
"kwrcrow",1,8
"call",1,7
"country",1,7
"donaldtrump",1,7
"guy",1,7
"hair",1,7
"hear",1,7
"immigration",1,7
"kill",-1,7
"marcorubio",1,7
"person",1,7
"randpaul",1,7
"run",1,7
"salmasekela",1,7
"scottwalker",1,7
"support",1,7
"ted",1,7
"tonight's",1,7
"trump's",1,7
"twitter",1,7
"vote",1,7
"walker",1,7
"win",1,7
"wins",1,7
"woman",1,7
"word",1,7
"world",1,7
"wow",1,7
"alien",1,6
"berniesanders",1,6
"black",1,6
"boo",1,6
"bring",1,6
"comments",1,6
"day",1,6
"democrat",1,6
"democrats",1,6
"dr",1,6
"favorite",1,6
"guys",1,6
"head",1,6
"hrc",1,6
"jebbush",1,6
"john",1,6
"legal",1,6
"marco",1,6
"office",1,6
"presidential",1,6
"ratings",1,6
"realbencarson",1,6
"stands",1,6
"top",1,6
"3",1,5
"4",1,5
"act",1,5
"attack",-1,5
"bernie",1,5
"biff",1,5
"brain",1,5
"branch",1,5
"calling",1,5
"campaign",1,5
"check",1,5
"chrischristie",1,5
"christie",1,5
"classy",1,5
"commercial",1,5
"correct",1,5
"dc",1,5
"earned",1,5
"fieldnegro",1,5
"finally",1,5
"free",1,5
"funny",1,5
"future",1,5
