"id","text","rating","afinn","lsd","vader"
1,"RT @DougBenson: ""I'll stop illegal immigration by closing all the bridges."" -C crispie #GOPDebates","Neutral",-0.4,-1,-0.7
2,"LET'S NOT FORGET no one has ever been shot for ""not being politically correct"" no one has had their liberties violated over it. #GOPDebate","Neutral",-0.25,0.5,0.201
3,"Looking at @Wonkette's liveblog from the ","Positive",0,0,0
4,"Ben Carson at last night's ","Positive",0,0,0
5,"You're all ""pro life"" until when it comes to actually taking care of life with healthcare ie Planned Parenthood #GOPDebates #StandwithPP","Negative",0.4,1,0.494
6,"Summary of @realDonaldTrump at ","Neutral",0,0,0
7,"RT @ThePatriot143: Hey @Foxnews can you let us Rep digest the ","Negative",0,0,0
8,"RT @ThatChrisGore: Ted Cruz's mutant superpower is fear-mongering. ","Negative",0,0,0
9,"RT @Kjhobbs1985: @TheDemocrats not really... like the @ppact videos you're not watching anyway. ","Negative",0.4,1,-0.324
10,"RT @DougBenson: ""I'll stop illegal immigration by closing all the bridges."" -C crispie #GOPDebates","Neutral",-0.4,-1,-0.7
11,"Ben Carson identifying the left's use of Alinsky tactics? Masterful. ","Negative",0,1,0
12,"Tickets to the circus - check, last nights entertainment was all I needed!  Thanks #GOP #GOPDebate","Neutral",0.4,1,0.718
13,"Cruz:  New Sheriff in town.  Nice summary.  He cherishes freedom - your freedom.  ","Positive",0.45,1,0.937
14,"RT @MonsterandBoy: Just because I'm not 35 and this is past my bed time doesn't mean I shouldn't be allowed to debate! ","Negative",0,1,0
15,"RT @TheBaxterBean: Rick Santorum said it best. ","Neutral",0.6,1,0.637
16,"@sallykohn Substantive, vigorous, revealing....it was probably just over your head. #GOPDebate","Neutral",0,1,0
17,"RT @jybray: Telling it like it is ","Negative",0.4,1,0.361
18,".@CorrectRecord @HillaryClinton
 FOX/GOP Party Hunger Games-Demagog Food-fighter @CarlyFiorina
#GOPDebate #morningjoe http://t.co/ygMGbAvqut","Negative",-0.4,0,0.178
19,"Aaand the question about the racial divide goes to ... *drum roll* ... the only black man on stage. ","Positive",0,-1,0
20,"#GOPDebate When they all stand on stage together,
it looks like a @realDonaldTrump cabinet meeting.","Positive",0.4,1,0.361
21,"@FoxNews ","Positive",0,0,0
22,"RT @HRC: For too long outdated ban has discriminated against qualified transgender Americans who simply want to serve their country ","Negative",-0.1,-1,-0.511
23,"","Neutral",0,0,0
24,"RT @Desdemona4U: It was unfathomable that @megynkelly would ask Wasserman-Schultz to do a postmortem on the ","Negative",0,0,0
25,"Interest take on the aftermath of the first 2016 #GOPDebate
We're actually talking about who &amp; when a candidate looked presidential @cspanwj","Negative",0.2,0,0.459
26,"RT @ShannonSanford9: Undoubtedly @FoxNews doesn't want @TedCruz to have any questions. ","Negative",0.2,1,-0.057
27,"@TheDailyShow Jon Stewart can feel comfortable w/retirement as ","Negative",0.4,1,0.511
28,"""People could care less if you like them, they want their civil rights""- @RaulAReyes on the topic of LGBT rights at the #GOPDebate","Positive",0.333,1,0.694
29,"The Republican Party wakes up with a huge hangover, a splitting headache and no idea why it's in bed with Donald Trump. #GOPDebate #RSG15","Negative",0,-1,0.421
30,"RT @RaeMacRaeRae: When all your friends are comedians, following the #GOPDebates is the FUNNEST!","Neutral",0,1,0.881
31,"RT @TheBaxterBean: 5 Things Rand Paul's Kentucky Could've Spent $73M On Instead of a Fake Noah's Ark http://t.co/s1gkhSY1Bf ","Negative",-0.6,-1,-0.477
32,"RT @Marnus3: The perfect remedy for a ","Neutral",0.6,1,0.572
33,"karl_sans_marx: RT carmengoblue: It is like Miss America meets Jerry Springer. ","Negative",0,1,0.226
34,"restorereality: Fuck ya Donald Trump you rocked ","Negative",-0.8,0,-0.542
35,"Not one question about ","Neutral",0,0,0
36,"RT @CarlyFiorina: Talked with @ijreview about my pre-debate ritual. I take Solitaire very seriously. https://t.co/O7UJL56NM7 ","Positive",0,0,-0.248
37,"Following last night's #GOPDebate @SarahPalinUSA stated that she could hear Putin crapping form her house!

 @realDonaldTrump @greggutfeld","Neutral",0,-1,0
38,"I didn't watch the ","Neutral",0,0,0
39,"RT @Jami_USA: If we don't hold everyone to the same standards during the #GOPDebates, what are they worth?","Negative",0.4,1,0.226
40,"While I wasn't too impressed with her questions last night, @megynkelly 's dress rocked!!! #whoareyouwearing #GOPDebate @FoxNews","Positive",0.6,0,-0.531
41,"Finally talking about race 100 min. In and CUT TO COMMERCIAL ","Negative",-0.2,0,-0.428
42,"Why did I have to be at a campground on the day of the first ","Positive",0,0,0
43,"@HalftimeReport the smartest people sound like drunk uncles when limited to 140characters ","Negative",0.05,0.2,0.494
44,"RT @alilihay: I would also prefer that my uterus isn't registered with Washington ","Negative",0,0,0
45,"Unless you're talking about our schools, air quality, water quality... #Kasich #GOPDebates  https://t.co/znljf0zJd9","Negative",0,1,0
46,"I wish the ","Negative",0.2,0,0.402
47,"RT @LindaSuhler: Jeb Stands By ""Act of Love""; Comments and Earned Legal Status [BOO]
#NoAmnesty
http://t.co/hImScrVikr
#GOPDebates","Negative",0.4,0,0.691
48,"Support 1 U like ","Positive",0.4,1,0.637
49,"Jalisco Cartel (from Sinaloa Cartel) shot down a Cougar Helicopter of the mexican army with a missile launcher ","Neutral",0,0,0
50,"RT @YourYakiri: Is it rude to throw a Valium into someone's mouth while they're talking???

Asking for a few million friends. 

#GOPDebate","Neutral",0,0,0.163
51,"At last @JebBush trying to unite and pitch to by not attacking @realDonaldTrump ","Positive",-0.2,1,0.357
52,"RT @patriotmom61: Rick Santorum at The Des Moines Register soapbox https://t.co/hfqVXAiqPh A boatrocker who got things done. ","Positive",0,0,0
53,"RT @michaelsnook: I can't wait for the meme about Donald Trump's beautiful, classy door at the border. #GOPDebate","Negative",0.6,0.333,0.778
54,"@AvaBeata you're gonna get a kick out of last night! Lemme know what you think... ","Negative",0,-1,0
55,"@FoxNews says @RealBenCarson topped candidates in new Twitter followers after #GOPDebates. 24000 vs. 2nd place, 11000 @marcorubio Congrats!","Negative",0.4,0,0.571
56,"RT @LPNational: Yes, let's cut congressional pensions. #GOPDebate","Neutral",0,0,0.153
57,"How's this for an accurate description of our system? https://t.co/E68Hblfc2G. The #GOPDebate illustrated this in a wonderful, scary fashion","Negative",0.2,0.333,0.128
58,"RT @sampuzzo: @Progress4Ohio @DavidJWhite640 my take on the ","Positive",0,0,0
59,"RT @RWSurferGirl: Tonight we learned that @GovChristie thinks he can remove our civil rights to fight terrorism. ","Negative",-0.2,0.2,-0.802
