"id","text","rating","afinn","lsd","vader"
1,"tiny hook",1,0,0,0
2,"brought vacuum say screw bag bottom vacuum clean never put screw hole button vacuum clean screw bag!",1,0.4,-0.2,0.636
3,"work...... know boil far gone, stop leakage. worth effort try bottle.",1,0.1,0.333,-0.077
4,"work well move.",1,0,1,0.273
5,"first bottle use gave ghost 3 week. leak place work. contain mixture vinegar, water, bleach... nothing cause amount deteriation... save buck go elsewhere..",1,0,-1,-0.128
6,"light therefore scrub tile grout line well.",1,0,1,0.273
7,"se em pi ck di rt ve ry ll. broom wo uld wo rk better",1,0.4,1,0.44
8,"fit blade proper. kinda dangerous try use.",1,0.2,0.333,-0.079
9,"fix anything... weak.",1,-0.4,-1,-0.44
10,"purchase pump less 60 day ago lay van snow today 12 / 4 / 13 troubleshoot start. check filter, pump run pump fuel, trickle carb. hope fluke order another one today. local napa one want hundred dollar complain. read one view pump one year warranty able find use. amazon seem 30 day turn policy.",1,0.067,0,0.494
11,"vacuum place .5 hp shopvac use year. straight box, new 4.5 hp vacuum seem work. expect 3x suction, got / 10 suction old vacuum. pick paper clip. change filter try bag, still work. contact shop - vac mail new motor stall. stall, still pick toothpick. contact shop - vac. said likely obstruction hose. pretend offend, agree check hose, clear. said, sorry",1,-0.125,-0.5,0.128
12,"fit, send back",1,0.2,1,0.361
13,"own original sonicare year love. model, expect good performance original. sore appoint fact screw brush head flimsy screw base it secure. found transfer ultra - sonic vibrate dampen fact brush head remain tight connect base it. use model year, receive negate feedback dental hygienist. end buy another brand electronic toothbrush still getting result expect. final sonicare flexcare model snap style head. model work beautiful. commend sonicare duct screw style brush head continuous loos base it grade performance. snap style head avail sonicare model remain secure attach base it therefore, transfer ultrasonic vibrate brush head tee effective.",1,0.4,0.2,0.967
14,"wrong size, idea plat form different size.",1,-0.4,-1,-0.477
15,"clip like re. try compress connect something slip rubber coat pain actual use",1,0,0.5,-0.202
16,"tee line difficult use rebend tee line can catch hair, use clean dog ear hair grow. appoint: (",1,0.1,0,0.052
17,"waste money thee slippery little devil",1,-0.2,-1,-0.785
18,"fan blade damage ( bent ) motor turn. since blade, way bend back shape without break.",1,0,-1,-0.226
19,"arrive broken.",1,-0.2,-1,-0.477
20,"doesnt fit even though state fit it / large.",1,0.2,1,0.1
21,"appoint defect part, work now look another one, go base turn heater manual every hour zero chicago temperature",1,-0.6,-1,-0.34
22,"wrong size!!! much hassle turn!",1,-0.4,-1,-0.645
