"id","text","rating","afinn","lsd","vader"
1,"tiny hook",1,0,0,0
2,"so i brought this vacuum and it say to screw the bag to the bottom of the vacuum clean but they never put the screw hole in the button of the vacuum clean to screw the bag in!",1,0.4,-0.2,0.653
3,"did not work...... i do not know if boil was too far gone, but it did not stop any leakage. but it was worth my effort and i did try 2 bottle.",1,0.1,0,0.569
4,"didn't work out so well while i was move.",1,0,1,0.338
5,"first spray bottle i use gave up the ghost in 3 week. leak all over the place and spray didn't work. it contain a mixture of vinegar, water, and bleach... nothing that should have cause that amount of deteriation... save your buck and go elsewhere..",1,0,-1,-0.128
6,"very light and therefore did not scrub our tile grout line very well at all.",1,0,1,0.338
7,"didn't se em to pi ck up di rt ve ry we ll at all. broom wo uld wo rk better",1,0.4,1,0.44
8,"doesn't fit the blade proper. was kinda dangerous to try and use.",1,0.2,0.333,-0.602
9,"doesn't fix anything... very weak.",1,-0.4,-1,-0.493
10,"i purchase this pump less than 60 day ago and i was lay under my van in the snow today 12 / 4 / 13 troubleshoot why it wouldn't start. i check the filter, the pump run but will not pump fuel, on a trickle at the carb. hope this i a fluke a i order another one today. my local napa ha one but want over a hundred dollar so i am not complain about the price here. i read in one of the other view that the pump ha a one year warranty but am not able to find out how to use it. amazon seem to on have a 30 day turn policy.",1,0.2,0.2,0.939
11,"i bought this vacuum to place a 1.5 hp shopvac that i use for year. straight out of the box, this new 4.5 hp vacuum seem not to be work. i expect 3x the suction, but i got 1 / 10 the suction of my old vacuum. i couldn't pick up a paper clip. i change filter and try the bag, but it still wasn't work. i contact shop - vac and they mail me a new motor that i had to stall myself. i stall it, but it still couldn't pick up a toothpick. i contact shop - vac again. they said that there was likely an obstruction in the hose. pretend not to be offend, i agree to check the hose, and it was clear. they said, sorry",1,-0.125,-0.5,0.61
12,"did not fit, am send it back",1,0.2,-1,-0.276
13,"we own the original sonicare for year and we love it. when we bought this model, we expect the same good performance we had from the original. we were sore appoint by the fact that the screw on brush head were flimsy and didn't screw down on the base it secure. we found the transfer of the ultra - sonic vibrate were dampen by the fact that the brush head didn't remain tight connect to the base it. aft use this model for a year, we were receive negate feedback from our dental hygienist. we end up buy another brand of electronic toothbrush but still weren't getting the result we expect. final bought the sonicare flexcare model with snap on style head. this model work beautiful. i would commend you not buy sonicare duct with screw on style brush head a they continuous loos themselves from the base it which grade their performance. the snap on style head avail on some sonicare model remain secure attach to the base it and therefore, transfer the ultrasonic vibrate to the brush head and your tee more effective.",1,0.4,0.2,0.972
14,"wrong size, no idea the plat form i different size.",1,-0.3,-1,-0.649
15,"these clip are like all of the re. when you try to compress them to connect to something they slip under the rubber coat and it i a pain to actual use them",1,0,0.5,-0.202
16,"the tee do not line up and difficult to use i will have to rebend so tee line up and can catch hair, i use to clean my dog ear from hair grow. very appoint: (",1,0.1,0,0.052
17,"don't waste your money on thee slippery little devil",1,-0.2,-1,-0.417
18,"plastic fan blade was damage ( bent ) so that the motor would not turn. since it was a plastic blade, there was no way to bend it back to shape without break it.",1,-0.067,-1,-0.477
19,"arrive broken.",1,-0.2,-1,-0.477
20,"doesnt fit even though duct state it will fit a it up to 1 / 2 in large.",1,0.2,1,0.1
21,"very appoint it was defect part, didn't work now look for another one, have to go to the base and turn on heater manual every hour in this below zero chicago temperature",1,-0.6,0,-0.34
22,"wrong size!!! to much of hassle to turn!",1,-0.4,-1,-0.645
23,"i bought one of these 15 year ago at a napa store. it ha always work great and the temperature read was always consistent with four other thermometer in my garage and i trust it. i order this one for another job site. this thermometer was calibrate in india and i always 5 to 6 degree fahrenheit high than four other thermometer in my garage include my gas furnace thermometer. i do not trust the calibrate on the new thermometer. i also do not trust anything from india. i know that this it was made in china but it ha a calibrate certificate and foil calibrate stamp from india.",1,0.333,0,0.7
24,"the nail were shipped within reason time. however the frameing nailer was schedule to be shipped late. i hadna project schedule and the nailer was schedule outside the date of need. therefore the nailer was cancel and thennails would not work in the nailer purchase local. nthe frameing nailer ha been shipped twice even though the order was cancelled. both time it ha been fuse.",1,0.1,0,0.202
25,"very fragile peg board clip. most are broken when shiped.",1,-0.2,-1,-0.523
26,"didn't work for me",1,0,0,0
27,"i chose this rate because there was no low rate. the standard ( conventional ) bulb that came in the flashlight i bright and produce a far better pattern.",1,0.133,1,0.766
28,"screw on cap pop off ugh!!",1,0,-1,-0.584
29,"this i a 50va, not a 75va. this transform i not large enough for my apply.",1,0,0,0
30,"not good for under mount sink clip. too liquidity.",1,-0.4,-1,-0.341
31,"cheap, worst peg hook i have ever seen, buy in person so you can see what you will get",1,-0.6,0,-0.625
32,"0 for 3 on these. great for store liquid... terrible for spray liquid. all three sent were dud.",1,-0.133,0,0
33,"so i would no g this duct a 1 star it i not for a ps4 it i for a x box one and order it twice and go the same the twice can't rate it if you don't get it",1,-0.2,0,-0.354
34,"not a very good duct a it ha on one stripe that goes under the duct you are try to carry - - one stripe i not enough a it will not keep the balance at all where the safety come to a question. will not use it for anything at all. waste my money, had high hope for it but appoint. nnfor the safety aspect i will never commend this duct - - otherwise they use good material i have to say.",1,0.325,0.75,0.741
35,"let be hon, the fact that it doe not have anything to actual hold the pad on i ridiculous. bought this to use to get all the polish and residue off our wood floor. what a waste. i am turn it even though i will lose money do so. nit i not good. it i cheap. i am in love with the shark sonic duo now that i see what else i out there ( this )",1,-0.15,0,-0.638
36,"don't work on metal pegboard",1,0,0,0
37,"don't expect this to be good - slippery - can't control the amount.",1,0.6,0,0.44
38,"nail look like they were just thrown in a box. they are not screw shank! nvery appoint in this... take my advice and do not order from these people or this duct",1,0.4,1,0.475
39,"no, no, no. quality poor. save your money.",1,-0.12,0,0.819
40,"do you like play slip and slide while move 200+ lb of [ insert noun here ]? if so, then this duct i for you! essentially suspend + somewhat function stopper mechanism + a piece of fabric = shoulder dolly. nnthe stopping mechanism slip... uhh, goodbye finger! nthe shoulder can on shoulder so much, hello back pain! nthe piece of fabric doesn't secure anything - - at all. nna sign overhaul i need. good for sup muscular dude.",1,0.1,0.2,-0.321
41,"they're slight rust and you can't even lock them. absolute useless.",1,-0.4,-1,-0.421
42,"description say it i 22 - 1 / 4 wide. i need it to fit over a 22 item and it doesn't. otherwise, it would have been perfect.",1,0.4,1,0.735
43,"when i receive the duct. i got 25 lid but on two cup. i thought the package state 25 lid and cup. i want to exchange it for the right amount but amazon on allow me to turn it. not happy at all",1,0.333,0.333,-0.038
44,"move v e r y slow, seem like a dinosaur compare to my philips sonic care. doesn't work well at all. don't like the small round head, either. trash mine.",1,0.4,1,0.417
45,"these are cheap made. they do not spray well. i am sorry i bought them.",1,-0.2,0.333,-0.276
46,"the first six months where great, on need to place the bag once. however this vacuum lost it power switch yesterday. turn it on and start clean up, and when time to turn it off the switch would not work! try and try and the the would not turn off. so i plugged it from the wall. the reason this i a big deal i when someone pay close to 100 dollar for a duct it should last more than six months, and the other reason i when i plug it back in or plug it there are spark at least half ch long come from the outlet. this not on will hurt someone, but will make the outlet in the house no good either. a far a care goes it i well maintain. bag change and belt ( which it doesn't need one because it never work long enough ). i this worth 90 dollar, no. if you take the top off to look at the motor and power switch it held together by cardboard. and the switch i cheap plastic so no wonder why it quit work. check to see if there i a place switch, and guess what, eureka ha continue the belt and bag, and no power switch. so to bring this to a end, the 20ft power cord i short, the bag bee to smell aft while, all plastic, switch fail, all this the ha for it i power. save the money and buy the cheap bissell and hoover bagged upright. for the money they off more.",1,0.105,0.538,0.858
47,"the box or carton fall apart a you try to stall a real let down",1,-0.4,0,-0.202
48,"i cannot rate this because i haven't recieved it. i recieved the staple but not the staple yet. nralph lloyd",1,0,0,0
49,"regret have purchase these spray bottle. although the spray i accept the screw - on cap leak no matte how much you tight it. the bottle always seem wet on the outside with the content. if the bottle happen to fall sideways, it will leak fluid all over the surface where you store it.",1,-0.16,-0.6,-0.765
50,"very poor quality! feel apart the first time use.",1,-0.4,0,-0.57
51,"stiff plastic. hard to affix and doesn't feel very secure.",1,0.1,0,-0.393
52,"mr. heater claim these will work on low and high pressure system. these will not work with high prssure a claim. blow orings out!",1,-0.2,-1,-0.556
53,"for outdoor use but rust aft firts water.",1,0,0,0
54,"horrible quality. i work in the automotive industry and try use these, but half of them were open somewhere in the wire and didn't work. some other had 3 - 5ohms resistance. should be virtual nothing.",1,-0.6,0.333,-0.307
55,"sprayer broke within a week. i was real appoint.",1,-0.2,-1,-0.421
56,"the whole concept of a response card i great but turn technology i target already overcharge college student. the advertise these to school until the response card i require in class and it cost everyone $40. oh and a of recent you also need a license for all of the one already bought, so that i another $35. i would never voluntarily but anything from this company.",1,0.6,1,0.372
57,"came in broken look like someone threw the box against the wall!",1,0.1,-0.333,-0.224
58,"damage when arrive",1,-0.6,-1,-0.494
59,"too small. take too much energy, i. e. 3 hour in the oven, to charge it.",1,0,-1,0.273
60,"this i junk!!! would not even come close to fitting my 4 cell c maglight. buy beware.",1,0,-1,0
61,"purchase 3 in february for use for spray bleach for sink and toilet clean purpose. one last a month, the other last 3 months and the 3rd one last about 1 month so i am back in september try to find something else. maybe it was the bleach? maybe if you want to spray water these might work. not my worry anymore. won't be buy this again.",1,0,-0.5,0.66
62,"i can't use i not simple like the add said, and have the metal buckle at front so i damage one of my furniture.",1,-0.1,0,-0.68
63,"k",1,0,0,0
64,"this stuff i a joke. it doesn't set, it just thick.",1,0.4,1,0.296
65,"bad plastic in this duct. the hook that hold to the peg board are broken off",1,-0.4,-1,-0.765
66,"the wash work fine, but i on receive 82 in the box. i realize this aft stall them, and now i can't turn the order. i am not please withe hillman group",1,0.067,0,-0.501
67,"don't waste your money. on this duct; in addition, i would not commend to a friend. this pump would not hold suction with the tank just 2 feet away.",1,0.1,-0.333,0.481
68,"they both bent aft a couple use. these were the low quality forceps i have ever own.",1,0,-1,-0.273
69,"great",1,0.6,1,0.625
70,"very appoint in the duct.",1,0,0,0
71,"i notice this too late to turn my order, but the screw i receive had head that look like a combination of square and phillips drive. they didn't work well with a # 2 square drive or a phillips drive bit.",1,0.4,0,0.11
72,"plug pop out like other. clamp i too short inside it. work great otherwise, but don't expect the female portion to work consistent or proper. inside just broke on me. another poor duct in the trash!",1,0.1,0.143,-0.704
73,"this couple ha no friction fit so, although the hose fit to the couple, they immediate slip apart! worthless! i don't know if it make any difference, but i purchase this from govacuum.",1,0.04,0.333,-0.163
74,"the one from the sell was crap, however that was solve. i still had to purchase one for class and it was far more expensive than necessary. this ha the equivalent of $1 production cost and $25+ extra charge.",1,0,-1,0.153
75,"the duct i probably not at fault. don't believe that this will allow you to run your rv ac on a all suitcase generator like i did.",1,0.3,0,0.687
76,"low quality, broke aft use it a short time, one that isn't broken yet doesn't work well.",1,-0.2,-0.5,-0.487
77,"the ratchet i poor design, with too shallow of an incline between notch to allow it to hold. can't clamp it, even empty, without it spring open. even bend the ratchet inward more couldn't fix the problem. avoid if you actual need to clamp and hold. functional if you just need to get a grip on an iv hub.",1,-0.2,-0.5,-0.448
78,"leak, hard worth the trouble to turn it. price was cheap emough.",1,-0.1,-0.2,-0.557
79,"it was okay. very nice fit",1,0.4,1,0.776
80,"possibly an old batch: doe not work. harden very viscous, impossible to mix thorough with epoxy. zero tensile strength aft 24 hour of thin sheet steel clamp in place, fall apart with light pressure.",1,0.1,0,0.25
81,"low density i an understate. these are the cheap little foam strip. they may work for you, but i found the complete form under any weight and fell apart very easily.",1,0,1,0.457
82,"these were ackward and didn't work that great. the strap kept fall off.",1,0.6,1,-0.51
83,"it dose confirm the pin out but it test a bad cable good with all green light.",1,0,0.333,-0.226
84,"package got here leak and smear all over the bag",1,-0.3,-1,-0.599
85,"clorox clean ate through plastic, fell apart, stopped spray and start spitting out in all different directions, got bleach clean in my eye",1,0.2,0.333,0.542
86,"on about a fifth of the peg lock actual stay in my peg board - - the re just popped out a soon a i put them in, or a soon a i put something on the hook. very appoint.",1,0,1,0
87,"another honeywell aquastat that doesn't work, just a many other note on the internet. doe seem to be an inordinate high numb of failure on this it.",1,-0.3,-1,-0.691
88,"real good stuff. great buy for my use of coat wood fish bait. love it!",1,0.6,0.5,0.91
89,"item was the wrong item and apparent the model i need i no longer avail.",1,-0.3,-1,-0.649
90,"turn. i, m not sure what it would fit????",1,0.2,1,0.361
91,"poor sign. do not commend",1,0,-1,-0.671
92,"i purchase this at home pot base on the overwhelming posit view on amazon to pair my headlight mount bracket. nni clean the surface use alcohol and some paper towel. next, i mix the two part equal ( 50 / 50 ) and attempt to apply a very generous amount of the material onto the surface of the broken part and set it in position. now the grey stuff smell like diarrhea. i'm not even try to be funny here, it real smell that bad. if you're try this stuff out, use it outdoor or in your garage. where ever you use it, make sure you have plenty of ventilate cause this stuff will stink up the place. nnthe next day, i began mount the headlight back onto my car. needless to say, both bracket broke when i wasn't even apply much pressure. not sure if what i got was a dud but this i sure unacceptable. the condition in which the epoxy was mix was in door and humidity was low.",1,-0.018,-0.091,-0.658
93,"i know you get what you pay for, but this was way below that standard. the movement would bind to the point of not bee operational so i spent hour clean, file and stone to get it to the point of have the full range of travel. even aft all the clean up work on the vise, the bottom thread shaft i so out of round i had to slot the hand crank end plate to allow for the wobble of the thread shaft. i would have sent it back, but i was press for time and i need this style of tool to finish work on our pinewood derby car.",1,0.2,0.333,0.927
94,"in the picture it look like a spade tip but it isn't. it a round tip. i now have to grind it to a flat tip because i'm not spend $7 to ship them back. can you folk not use mislead picture please?!! and amazon; how about small envelope to ship these the in? the s & h cost me more than the tip themselves!",1,0.3,0,0.79
95,"the foam sleeve ha too small diameter for the cartridge. i tore foam sleeve and smash some of the fin on the cartridge instaling it. i don't think that i can move sleeve without cuting it or damage the cartridge more.",1,-0.1,-1,-0.202
96,"junk. all 3 sprayer broke within a few months.",1,-0.2,-1,-0.421
97,"i bought them for my garden need, never thought that a simple sprayer bottle might not work - - they do not work at all! you can get a hand jury try to squeeze anything out of these the, to no avail. ooops pardon me, once i manage to get a weak straight stream out of them, for a few second. btw, they were made all the way in china.",1,0,0,0.38
98,"i won't buy these again. one didn't work when i receive it. one stopped work aft about a week. the last one last a month.",1,-0.2,0,-0.226
99,"doesn't work for go upstairs. i saw their infomercial and they advertise go up the stair with a fridge. we try it and the fridge tilt and became uneven and i had to hold onto it to prevent it from fall on my friend who was on the other side. my arm were purple the next day. i follow the instruction and even copy their infomercial video on how to use it for go up stair but the fridge kept tilt. just use a dolley for a fridge.",1,-0.2,0,0.285
100,"it work took forever to get",1,0,0,0
101,"way too light for what it i suppose to do. i on use it once and coudln't see where it was do anything. so aft about f minute, i pack it up and threw it in the attic.",1,0,-1,0
102,"this i crap! don't waste your money on this very very poor",1,-0.4,-1,-0.641
103,"i receive wrong item",1,-0.4,-1,-0.477
104,"well, for me it a bad experience with this item. in my case, it wok fine on 3 months, aft that this have an erratic perfomance. at this mommnet i take a decisition: don't use it anymore.",1,-0.1,-0.333,-0.153
105,"turn to knowledge if meet advertise info",1,0,1,0
106,"i am so appoint. i bought this for a wedding for this month. when they arrive i love them and kept them in the box. i just open them to try them on with my dress and the back heel of both i color and look cheap. i try to turn them but it i beyond the window. when i receive them i look them over and the color was fine - it appear that in just a few months the leather ha turn yellow and look terrible. i will not buy from this sell again!",1,0.2,0.5,0.466
107,"battery did not hold a charge, would not work. turn for a fund",1,0,-1,0
108,"i am quite appoint that the staple do not work in staple although the code match. the original staple and staple were purchase through uline and code match but staple do not work. amazon was cheap but if they don't work, it not cheap!",1,0,0.333,-0.108
109,"it doe not taste like toothpaste. it leave a weird feel.",1,-0.067,0,-0.461
110,"this duct i not safe to use with jack slick than snot",1,0.3,-1,-0.341
111,"useless; connect middle strap doe not hold",1,-0.4,0,-0.421
112,"these spray bottle are useless. they don't spray well and will on spray anything when the valve i open all the way. i was real appoint.",1,-0.4,0.333,-0.559
113,"all three leak where the cap screw to the bottle - appoint...",1,-0.2,-1,-0.421
114,"own these clip for about a year, most with them sitting in a draw. when i thought i had found an issue with faulty equipment it was always these clip cause a false posit. one word for these - garbage.",1,0,-1,-0.318
115,"horrible quality, the clamp aren't even crimp to the wire. i had to solder the clamp the wire too make them useable.",1,-0.6,-0.333,-0.542
116,"i order clear and got frost. left convo but no response. not happy.",1,0.2,-1,-0.718
117,"very cheap",1,0,1,0
