"id","text","rating","afinn","lsd","vader"
1,"  Do not fit to connect my heater with the Hot Max hose and now that its open, it is open i can't return it !",1,0.111,0.5,-0.34
2,"  Poor quality, they unscrew too easily so when you're spraying the nozzle sometimes detaches from the bottle. I would not buy again.",1,-0.556,0,-0.178
3,"  Purchased 3 in February for use for spraying bleach for sink and toilet cleaning purposes. One lasted a month, the other lasted 3 months and the 3rd one lasted about 1 month so I am back in September trying to find something else. Maybe it was the bleach?  maybe if you want to spray water these might work.  Not my worry anymore. won't be buying this again.",1,-0.333,-0.5,0.403
4,"  Be careful when you buy an item like this. It's important to buy the model that is designed for compact fluorescent bulbs. This particular model is designed for incandescent bulbs. As the sun hits the light sensor, it begins to flicker and  to dim and eventually turns off by mid-day. The sensor is essentially behaving like a dimmer. Sometimes light from the bulb itself will reflect into the light sensor and result in dimming of the bulb.\n\nChoose a different brand or model that is designed to be used with compact fluorescent lightbulbs. Because electricity through the sensor flows in an all or nothing fashion, the bulb will not appear to be dimmed. Like all of these automatic dawn to dusk controllers, any light that reflects into the sensor can still affect the function of the device; in my case it was causing intermittent blinking or random on/off behavior.\n\nMany factors affect the function of these devices. Sometimes it's the shape and color of the light fixture. Sometimes it's the length of the light bulb or intensity of the bulb. I also don't like the appearance of the lightbulb after it is lengthened by this device. My solution was to buy a different model/brand (from a big box store) designed for compact fluorescent bulbs. I wrote a review of a similar product and I find it works when I use short LED bulbs. Your mileage will vary.",1,0.278,-0.091,0.844
5,"  I followed the instructions precisely and I could not tell that the squeaks were reduced at all... I do like the joist finder. I have used it on other projects.",1,0.333,1,0.361
6,"  Box received with 50% of staples broken, Amazon did not reply to our complaint, once they have payment, you are on your own!!!",1,-0.333,-0.333,-0.668
7,"  Not good for under mount sink clips. Too liquidity.",1,-0.556,-1,-0.341
8,"  bad 2 not good dang sucks never buy ever",1,-0.704,-1,-0.585
9,"  I received some with the tabs broken off the back and they don't install easily",1,-0.333,0,-0.629
10,"  Bought these hoping to get a good deal on the toothbrushes.  I've used Braun toothbrush heads for 7 years now, and I've never had the bristles separate from the brush head.  Each of the 4 in this package lasted about a month and then the bristles separated from the brushhead (some getting caught in the teeth).\n\nI suspect these are either:  Fake, or factory seconds (rejects).",1,-0.111,-0.429,-0.421
11,"  Son buenos.",1,-0.111,0,0
