"id","text","rating","afinn","lsd","vader"
1,"result negotiations employ 130 blue - white - collar employee oulu plant terminate.",-1,0,0,0
2,"many commercial vessel got stuck narrow bay bothnia, ice thick, around aaland island.",-1,-0.4,0,-0.25
3,"media group talentum issue warn.",-1,-0.4,0,-0.103
4,"agricultural newspaper maaseudun tulevaisuus 318,000 read, represent crease 6 %.",-1,0,0,0
5,"tax crease 31.6 50.0 year.",-1,0,0,0
6,"`` can say numb deal become normalize moment, therefore decide value apartment now sale, '' add.",-1,-0.2,-1,0
7,"separate announce helsinki stock exchange, atria reveal 's third quarter fit decline eur13 .9 m third quarter last year eur12 .7 m year 's q3.",-1,0.2,1,0.361
8,"crease 91.6 109mn correspond period 2005.",-1,0,0,0
9,"paper stock among biggest fallers, stora enso 2.30 pct 14.01, m - real 2.86 pct 5.09 upm - kymmene 1.14 pct low 19.10.",-1,0,0,-0.273
10,"commission come fell 4.6 5.1 correspond period 2007.",-1,0,0,0
11,"20 october 2010 - environmental manage lassila & tikanoja oyj hel: lat1v, l & t, said monday expect operate, exclude non - recurring item, whole 2010 slight low.",-1,-0.2,-1,0.075
12,"'s annual loss amount eek 18mn, compare eek 7.3 2008.",-1,-0.6,-1,-0.318
13,"adpnews - feb 5, 2010 - real estate investor sponda oyj hel: sda1v said today slipped loss 81.5 usd 11.8 m 29.3 2008.",-1,-0.6,-1,-0.318
14,"finnair believe strike will cause daily loss excess 2mn due cancel reservation passenger re - routing.",-1,-0.333,-1,-0.586
15,"forest industry group stora enso oyj issue thursday ( 20 march ) warn first quarter 2008.",-1,-0.4,-1,-0.103
16,"personnel reduction will carry anjalankoski, hollola, jyvaskyla, jarvenpaa, karhula, turku valkeakoski it.",-1,0,0,0
17,"small investor voice fear share will end risk investor.",-1,-0.2,-1,-0.477
18,"accord, addition normal seasonal fluctuate market situate weaken autumn 2008.",-1,0,0.333,-0.421
19,"administrator indicate need 900 job cut irish insure next 15 months.",-1,-0.2,0,-0.273
20,"service firm tietoenator buck general trend, hold flat 22.70, slipping back early gain.",-1,0.4,0,0.527
21,"steelmaker said drop explain continue economic certainty, mix current drought bank lend, result decline demand duct custom find increasing difficult fund operate.",-1,-0.2,-1,-0.477
22,"dilute earn p share ( eps ) stood 0.25 versus 0.42.",-1,0.2,0,0.296
23,"( adpnews ) - feb 3, 2010 - - base steel maker rautaruukki oyj ( hel: rtrks ), ruukki, said today slipped large - - expect pretax loss 46 ( usd 64.5 m ) four quarter",-1,-0.6,-1,-0.318
24,"30 november - office furniture maker martela oyj hel: maras said today will make redundant three people nine will laid permanent 's office staff factory worker.",-1,0,-1,0
25,"airline finnair start temporary layoff cabin crew february 2010.",-1,0,0,0
26,"numb salary employee group administrate employee miss sievi it 17.",-1,-0.3,-1,-0.459
27,"earn p share ( eps ) amount eur1 .37, eur2 .30.",-1,0.2,0,0.296
28,"venue quarter fell 8 percent ( euro ) 2.4 billion compare year early.",-1,0,0,0
29,"konecranes oyj kcr1v fh fell 5.5 percent 20.51 euro, biggest fall since june.",-1,0,0,0
30,"relate city damage comment mr ashley criticising city investor analyst `` cry baby ''.",-1,-0.4,-1,-0.84
31,"stora chief execute jouko karvinen describe russian tariff hike threat future forest duct industry.",-1,-0.4,-1,-0.527
32,"adpnews - jul 17, - - base steel maker rautaruukki oyj ruukki hel: rtrks said today slipped loss 184 usd 259.7 m first half 2",-1,-0.6,-1,-0.318
33,"finnair said cancellation flight cause daily loss x20ac 2.5 us$ 3.",-1,-0.6,-1,-0.318
34,"plan close two three line plant, 450 job threat.",-1,-0.4,-1,-0.527
35,"suominen corporate make wipe, nonwovens, flexible package, expect change market situate reduce suominen 's nonwovens wet wipe previous estimate volume.",-1,0,1,0.226
36,"operate loss totalled 0.9, 2.7.",-1,-0.6,-1,-0.318
37,"operate loss totalled 3.2, compare 7.2 third quarter 2008.",-1,-0.6,-1,-0.318
38,"finnair 's total traffic crease 8.7 % term venue passenger kilometres.",-1,0,0,0
39,"media advisory, ntsb said subsequent test, `` train detection system intermittent fail. ''",-1,-0.4,-1,-0.542
40,"baltic state port 11.9, 14.2, operate ebit -2.2, -1.7.",-1,0,0,0
41,"venue quarter total 27.4 billion, 2 percent 28.1 billion four quarter 2008.",-1,0,0,0
42,"capacity cut 1.4 %, passenger load factor 7.8 percentage point.",-1,-0.2,0,-0.273
43,"qualcomm estimate first - quarter 46 50 cent share, exclude certain item, analyst estimate 61 cent share.",-1,0.1,-1,0.557
44,"automate solute developer cencorp corporate ( omx helsinki: cnc1v ) issue thursday ( 18 september ) warn third quarter 2008.",-1,-0.4,-1,-0.103
45,"yit 's baltic first three quarter 2008 total 106.2 euro, represent drop 29 percent year year.",-1,-0.2,0,-0.273
46,"department store division 's fell 8.6 % 140.2.",-1,0,-1,0
47,"four quarter 2008, crease 121.4 165.5 four quarter 2007.",-1,0,0,0
48,"- demand fireplace duct low expect, especial germany.",-1,-0.2,0,-0.382
49,"port operate margin negate 5.9 %.",-1,0,-1,0
50,"eps dropped eur0 .2 eur0 .3.",-1,0,0,0
51,"operate 12 - month period crease eur2 .9 m turnover crease eur24 .5 m, compare financial year 2004.",-1,0,0,0
52,"addition, 29 employee can laid notice whole workforce can laid short period need.",-1,0,0,0
53,"venue slight, x20ac 495 $ 634, compare x20ac 497 year early.",-1,0,0,0
54,"jul. 18 - - police look man say terrorize three male gunpoint east maple avenue afternoon, shoot one kidnapping another.",-1,-0.4,-1,-0.772
55,"cash operate activities negate 0.3, compare 30.9.",-1,0,-1,0
56,"`` cut frequency new york last year, explain fall, '' said.",-1,-0.2,0,-0.273
57,"`` see market continue tight magazine paper, target close deal end year. ''",-1,0,0,0
