"id","text","rating","afinn","lsd","vader"
1," personnel reduction   carried   anjalankoski , hollola , jyvaskyla , jarvenpaa , karhula , turku  valkeakoski units .",-1,0,0,0
2," suominen corporation  makes wet wipes , nonwovens ,  flexible packaging  starting employer-employee negotiations   tampere plant    lay   25 employees .",-1,0,0,0.226
3," airline estimated   cancellation   flights due   closure  european airspace ,   process  recommencing traffic ,  caused     loss  eur20m , including  costs  stranded passengers ' accommodation .",-1,-0.6,0,-0.318
4,"several large stocks tacked lower , however .",-1,0,0,-0.296
5,"compared   ftse 100 index ,  rose 36.7 points (  0.6 % )   day ,    relative price change  -0.2 % .",-1,0,0,0
6,"``  's  issue  thieves stealing   building sites , '' said mr smith .",-1,0,-1,-0.791
7,"revenue   quarter fell 8 percent  ( euro ) 2.4 billion compared   year earlier .",-1,0,0,0
8,"operating loss totalled  0.9  ,       2.7  .",-1,-0.6,-1,-0.318
9," capacity  cut  1.4 % ,  passenger load factor   7.8 percentage points .",-1,-0.2,0,-0.273
10,"  confirmed  estimate  lower revenue   whole    year-ago  93.9  usd 137.3 m  given   interim report  august 5 .",-1,0,1,-0.296
11,"``  considerably weaker u.s. dollar  british pound   impact    average prices  euros , '' upm said .",-1,0,-1,-0.493
12,"according    ,  addition  normal seasonal fluctuation  market situation  weakened  autumn 2008 .",-1,0,0,-0.318
13," q1   ,   's operating loss totalled  0.3  , compared      3.6   q1  2008 .",-1,-0.6,-1,-0.318
14,"  strike , finnair estimates  incur   loss   eur2m  eur2 .5 m per day .",-1,-0.4,-1,-0.421
15,"  case ,  effect   negative   .",-1,-0.4,-1,-0.572
16,"23 april 2010 -  construction  engineering  outotec oyj hel : ote1v said today  slipped    loss  eur7 .3 m   first quarter  2010      eur12 .5 m   corresponding period last year .",-1,-0.6,-1,-0.318
17,"operating   non-recurring items   8.3    first nine months  2008 , compared   8.4   corresponding period  2007 .",-1,0,0,0
18,"( adpnews ) - feb 3 , 2010 - -based steel maker rautaruukki oyj ( hel : rtrks ) ,  ruukki , said today  slipped   larger--expected pretax loss   46  ( usd 64.5 m )   fourth quarter    ",-1,-0.6,-1,-0.318
19,"initially ,   said  maximum  15 people   made redundant   parent    15   subsidiaries .",-1,0,-1,0
20," offer , deemed  low  finnlines ' board , stands  4 pm tomorrow .",-1,0,0,-0.273
21,"due   rapid decrease    , personnel reductions   carried    wider scale  initially expected .",-1,0,0,0
22,"``  implementation   programs   ,    , negative impacts  2006  2007 earnings , '' mr meiklejohn said .",-1,-0.4,-1,-0.572
23," textiles  clothing group marimekko oyj posted     7.99 mln euro $ 10.4 mln  2006 , compared  8.4 mln euro $ 10.9 mln  2005 .",-1,0,0,0
24,"  software group affectogenimap oyj said    halved  1.2 mln euro ( $ 1.5 mln )   first nine months  2006  2.2 mln euro ( $ 2.8 mln )    period  2005 .",-1,0,0,0
25,"earnings per share ( eps ) amounted   loss  eur0 .38 .",-1,-0.2,-1,-0.026
26,"  's hobby hall 's  decreased  10 % ,  international  fell  19 % .",-1,0,0,0
27,"operating  excluding non-recurring items totaled  5.4  compared   5.5    corresponding period  2007 .",-1,0,-1,0
28,"-  group 's    period   37.5  (  48.2  , 1-9/2008 )  result  taxes   loss   -3.5 ( +1.2 )  .",-1,-0.6,-1,-0.318
29," sale  result   capital loss  eur5m  solidium ,  obtained tikkurila shares  march 2010 .",-1,-0.2,0,-0.026
30,"  plans  close two   three lines   plant ,   450 jobs   threat .",-1,-0.4,-1,-0.527
31,"    eaten   weak us dollar .",-1,-0.4,-1,-0.44
32,"salcomp oyj ,   maker  mobile phone chargers , monday posted  eur1 .49  loss   second quarter compared   1.70      period  previous year .",-1,-0.6,-1,-0.318
33,"last year 's third quarter result   burdened  costs stemming  restructuring   us .",-1,-0.4,-1,-0.402
34," fair value    's investment properties went    2.768 billion   end     2.916 billion  year earlier .",-1,0.4,1,0.572
35," suominen flexible packaging ltd , owned  local textile  suominen corporation group ( hel : suy1v ) , said today    start employee negotiations concerning  entire personnel   .",-1,0,1,0.226
36,"cuts equivalent   costs   35-45 employees   target ,   said .",-1,-0.2,0,-0.296
37,"nokia  certainly disagree  qualcomm 's views   patent situation .",-1,0,-1,-0.052
38,"  building  home improvement trade ,  decreased  6.3 % , totalling  154.1  .",-1,0.4,1,0.459
39," group 's operating loss   0.8  ,       2.5   2004 .",-1,-0.6,-1,-0.318
40,"   tiimari  went   8 %   11.8  ,  gallerix stores saw 29 % growth   2  .",-1,0.4,0,0.382
