"id","text","rating","afinn","lsd","vader"
1,"  point  order, mr speaker.  know   just come   chair,   shall  brief.    state  environment, food  rural affairs     start   debate,   chosen   take part,      understand   wind   debate      opening remarks  interventions. bearing  mind  importance   debate,  seems disrespectful  ,   will seem  others listening   debate,  just us  parliamentarians. will  give  guidance   rules governing      ?",1,0.4,0.333,0.361
2,"will   please confirm   directive  budgetary frameworks   member states will apply   united kingdom,   second regulation  budgetary surveillance   member states applies   united kingdom,    regulation  enforcement   member states also applies   united kingdom?   twin proposals   case,    apply   euro members     affect  member states. surely   must confirm     massive extension  european economic ,   uk   comply   lot  .rose -rose -will   confirm    two big new regulations  relate directly   united kingdom? one relates  budgetary surveillance   member states,    relates  enforcement  ""macro-economic imbalances"",   commission  elegantly describes .   new powers  new regulations.     consenting  ?     properly elected british   chosen  certain course  action   deficit   balance  payments-  whatever-   help    eu marking  homework, condemning   using moral suasion  say     wrong?",0,0.127,0.556,0.954
3,"forty years   last experiment,    right     consider  fact   population  changed?    older population  will benefit   extra hour. farming  also changed hugely,  much  milking  done  cattle  kept inside,     reason   change  .   surprised       supportive   .",1,0.4,1,0.727
4,"   sure whether  can speak  behalf   old liberal party,    used    member,   can certainly speak  behalf   liberal democrats.   urge liberal democrat members  support  amendment    pressed   vote.     said,  amendment   represent  separation   civil services     party seek.   simply  measure   devolution politically-   devolving  power ,   removing  power   uk prime .  seems  perfectly sensible suggestion  transfer power  senior appointments  scotland   politician- uk prime -  head   home civil service   united kingdom,  cabinet .   might think     purely symbolic gesture,    provide  protection   process  appointment   civil service  scotland,    exist now. given  history  prime ministerial interference  senior civil service appointments   suspect   going   united kingdom level- least   previous prime - seems  entirely sensible thing  .  raises  question    retains  power   prime ,     civil service,  interfere  senior appointments  united kingdom level- issue  seems   disappeared   ,  comparison  previous drafts. perhaps    reason     nervous   amendment.  come back   point  devolution.  seems perfectly reasonable    different system even   question  scotland, compared   rest   united kingdom.    think  threatens  unity   civil service,   provides  sensible way forward. speaking   outsider,  think   calman commission provides  sensible way forward   devolution  scotland,   approve   amendment   vote     committee   divide  .  remind       committee,    allowed speak     debate.    explain precisely   ends    member  perth  north perthshire  desires  moving  amendment can  achieved      stands.     grateful     put   record exactly    ,   can see   power. however,  seems   claiming   exists.   lady saying       might   member  think  appropriate  ministers  hire  fire individual civil servants?   sure whether  's point  sensible.  said  independent scientific advisers   civil servants.    know?  seems   saying    now  principles-based ,  opposed   rules-based ,    question :  principle   previous rule represent?  principle   previous rule represented,  seems  ,   principle  ministers  respect  impartiality   civil service. however,  principle     ,      design  new clause  try  insert .      principle   involved,  principle  involved?  ministers.",1,0.108,0.696,0.984
5," apologise  missing  beginning    's speech.   sure   point   made,    made two important points  identifying   fiscal responsibility lies, one part     halving  amount    . however, surely one important benchmark    start . neither  transparency     balance sheet-obviously,      go  -  transparency     balance sheet,    , along      member  stone ,  right    member  wokingham   everybody else   conservative benches, go  ,  clear.   important   understand   starting point ,   think    go, rather  simply halving      balance sheet.rose- beg  differ.  think   ,   know    intelligent  thoughtful individual, will  gone   corporate project solutions website  www.cps.co.uk  seen three excellent pamphlets written   truly-one called ""simply red"", one "" price  irresponsibility""    "" hidden debt bombshell"".  ,   called  greater transparency.   mentioned  word ""transparency"",   knows  well     generally accepted accounting principles today say   one acquires   company  bank     50 per cent. stake, one   consolidate  balance sheet.  means    must  much  honest   debt  acquire   acquire  banks.  addition,    rule   pension liabilities  companies    shown  balance sheet;     likewise.",1,0.187,0.545,0.968
6,"     voting   .",0,0,0,0
7," right  lady waxes lyrical   importance   low-carbon economy,      case    previous labour , emissions barely changed     rising   party left office?    fact      labour members   chamber today show  little commitment  party    issue? congratulate  right     newish appointment.  constituents  concerned   many renewable  carbon commitments   previous  put   backs   poor  energy bills, particularly     renewable heat incentive, carbon capture  storage commitments  feed- tariffs.     looking   least well-,   previous   busy plunging  fuel poverty?",0,0.133,0.273,0.871
8,"    agree     lot  odd things   situation,  least  word ""pauchle""   fact     demonstrations without   member  bethnal green  bow ,  also  fact    offence   committed  uk law,     tried within  uk?   offence   committed,   committed within  uk,      charged   uk,     extradited.",1,-0.033,-0.333,0.077
9," followed closely  right  's comparison   american constitution   effect   treaty.  parallel,   takes    logical conclusion,  presumably   european union    power  declare war  france.    serious proposition    making?",0,-0.4,0,-0.637
10," response      member  alyn  deeside ,   specifically mentioned     postal ballot  parliamentary elections.  recollection   paperwork   issued  scotland   electors tick boxes  say   want  postal ballot   elections.  might seem like  nit-picking point,  will   confirm   ticking  box marked, "" elections,""  will  entitled  receive  postal ballot   referendum?will  parliamentary  focus   pertinent point   2007 elections  scotland? many elderly voters  extremely confused.   many elderly constituents   proud   voted  every election since   given  opportunity   .  introduction  new voting systems  2007 made  ballot papers confusing  ,    disturbed  .     accept  holding another vote    day   scottish elections will provide scope  confusion,  many  will therefore  disfranchised   referendum?   grateful   parliamentary   giving way .    accept   scotland  will   first-past--post election   scottish ,  alternative vote system,    must explain      also  yes/ vote?    fine      yes/ vote-  straightforward-   additional complications.    point    just made concede  point?    point   must grasp.",0,0.157,0.2,0.96
