"id","text","rating","afinn","lsd","vader"
1,"on a point of order, mr speak. i know you have just come to the chair, so i shall be brief. the secretary of state for environment, food and rural affair was here at the start of the bate, but ha chosen not to take part, while the minister who i understand i to wind up the bate was not here for the open mark or intervention. bear in mind the importance of this bate, that seem respectful to me, a it will seem to other listen to the bate, not just u a parliamentarian. will you g some guidance on the rule govern who should be here and when?",1,0.4,1,0.885
2,"will the minister please confirm that the direct on budgetary framework for all member state will apply to the unite kingdom, that the second regulate on budgetary surveillance for all member state apply to the unite kingdom, and that the regulate for enforce for all member state also apply to the unite kingdom? there are twin proposal in each case, some of which apply on to euro member and some of which affect all member state. sure the minister must confirm that that i a mass extension of european economic govern, and the uk ha to comp with a lot of it. rose - rose - will the minister confirm that there are two big new regulations that relate directly to the unite kingdom? one relate to budgetary surveillance on all member state, and the other relate to enforce against "" macro - economic imbalance "", a the commission so elegant scribe them. these are new power in new regulations. why are the govern consent to them? if this house and a proper elect british govern have chosen a certain course of action on the deficit or the balance of payment - or on whatever - how doe it help to have the eu mark the homework, condemn it and use moral suasion to say that this house i wrong?",0,0.1,0.444,0
3,"forty year aft the last experiment, i it not right for the govern to consider the fact that the population ha change? we have an old population who will benefit from the extra hour. farm ha also change huge, with much more milk bee done and cattle bee kept inside, so there i no reason not to change the time. i am surprise that the govern are not more support of the bill.",1,0.267,0.333,0.74
4,"i am not sure whether i can speak on behalf of the old liberal party, of which i use to be a member, but i can certain speak on behalf of the liberal democrat. i would urge liberal democrat member to support the amend if it i press to a vote. a the hon gentleman said, the amend doe not represent the separate of the civil service which some in hi party seek. it i simply a measure of further devolution political - not by further devolve the power itself, but by move a power from the uk prime minister. it seem a perfect sensible suggestion to transfer power over senior appointment in scotland from a politician - the uk prime minister - to the head of the home civil service for the unite kingdom, the cabinet secretary. some people might think that that i a pure symbolic gesture, but it would provide some protection for the process of appoint to the civil service in scotland, which doe not exist now. given the history of prime ministerial interference in senior civil service appointment that we suspect ha been go on at unite kingdom level - at least under a previous prime minister - that seem an entire sensible the to do. it raise the question why the bill retain the power of the prime minister, a minister for the civil service, to interfere with senior appointment at unite kingdom level - an issue that seem to have appear from the bill, in comparison with previous draft. perhaps that i the reason why the govern are nervous about the amend. i come back to the point about devolution. it seem perfect reason to have a different system even on that question in scotland, compare with the re of the unite kingdom. i do not think that threat the unity of the civil service, and it provide a sensible way forward. speak a an outside, i think that the calman commission provide a sensible way forward for further devolution to scotland, so i approve of the amend and would vote for it if the committee were to divide on it. i should mind the minister that we are in committee, so we are allow speak again in the same bate. she did not explain precise how the end that the hon member for perth and north perthshire sire in move the amend can be achieve through the bill a it stand. i would be very grateful if she were to put on the cord exact how they could be, because i can see no such power. however, she seem to be claim that it exist. i the hon lady say that any govern of whom she might be a member would think it appropriate for minister to hire and fire individual civil servant? i am not sure whether the minister point was sensible. she said that dependent scientific advise are not civil servant. how doe she know? the minister seem to be say that this i now a principle - base bill, a oppose to a rule - base bill, but then the question i: what principle did the previous rule represent? the principle that the previous rule represent, it seem to me, was the principle that minister should respect the impartiality of the civil service. however, that principle i not in the bill, and we have had to sign a new clause to try to insert it. if that i not the principle that was involve, what principle was involve? but not minister.",1,0.117,0.625,0.983
5,"i apologise for miss the beginning of the hon gentleman speech. i am sure that this point ha been made, but he ha made two important point about identify where the fiscal responsibility lie, one part of which i about halve the amount that i out there. however, sure one important benchmark i where we start from. neither the transparency of what i on balance sheet - obvious, that i what the govern go on about - nor the transparency of what i off balance sheet, which i what i, along with my hon friend the member for stone, my right hon friend the member for wokingham and everybody else on the conservative bench, go on about, i clear. it i important that we understand what the start point i, and then think about where to go, rather than simply halve what i out there on balance sheet. rose - i beg to diff. i think that the minister, whom i know to be an intelligent and thoughtful individual, will have gone to the corporate project solute website at www. cps. co. uk and seen three excellent pamphlet written by your truly - one call "" simply re "", one "" the price of irresponsibility "" and the other "" the hidden debt bombshell "". through these, we have call for great transparency. the minister mention the word "" transparency "", but he know a well a i do that general accept account principle today say that if one acquire any other company or bank with a more than 50 p cent. stake, one ha to consolidate the balance sheet. that mean that the govern must be much more hon about the debt they acquire when they acquire those bank. in addition, there i the rule that the pension liabilities of company have to be shown on balance sheet; the govern should do likewise.",1,0.212,0.5,0.994
6,"but the hon gentleman i vote against the bill.",0,0,-1,0
7,"the right hon lady wax lyrical about the importance of a low - carbon economy, but i it not the case that under the previous labour govern, emission bare change at all and were rise when h party left office? doe not the fact that there are so few labour member in the chamber today show how little commitment h party ha to this issue? i congratulate my right hon friend on hi newish appoint. my constituent are concern about the many renew and carbon commitment that the previous govern put on the back of the poor through energy bill, particular those such a the renew heat incentive, carbon capture and storage commitment and feed - in tariff. how are this govern look aft the least well - off, whom the previous govern were busy plunge to fuel poverty?",0,0.225,0.385,0.975
8,"doe the hon gentleman agree that there are a lot of odd the about this situate, not least the word "" pauchle "" and the fact that we have had demonstrate without the hon member for bethnal green and bow, but also the fact that if an offence had been committed under uk law, it would have been try within the uk? if an offence ha been committed, it was committed within the uk, but because it i not charge in the uk, people are to be extradite.",1,0.133,0.333,0.676
9,"i follow close the right hon gentleman comparison between the american constitute and the effect of the treaty. the parallel, if he take it to it logical conclusion, i presumably that the european ion could have the power to declare war on france. i that a serious position that he i make?",0,-0.4,0,-0.637
10,"in response to my hon friend the member for alyn and deeside, the minister specifically mention people who have a postal ballot for parliamentary election. my collection of the paperwork that i issue in scotland i that elector tick box to say that they want a postal ballot for all election. that might seem like a nit - pick point, but will the minister confirm that by tick a box mark, "" all election, "" people will be entitle to receive a postal ballot for the referendum? will the parliamentary secretary focus on the pertinent point about the 2007 election in scotland? many elder voter are extreme fuse. i have many elder constituent who are proud of have vote in every election since they were given the opportunity to do so. the introduction of new vote system in 2007 made the ballot paper fuse for them, and they were disturb by that. doe the hon gentleman accept that hold another vote on the same day a the scottish election will provide scope for fusion, and many people will therefore be franchise in the referendum? i am very grateful to the parliamentary secretary for give way again. doe not he accept that in scotland we will have a first - past - the - post election for the scottish parliament, the alternate vote system, and then we must explain to people that there i also a ye / no vote? it would be fine if we had on the ye / no vote - that i straightforward - but there are additional comply. doe not the point that he ha just made cede my point? that i the point that he must grasp.",0,0.2,0.6,0.933
