"id","text","rating","afinn","lsd","vader"
1,"The Home Secretary is rightly dealing with the theme of values. What about the value to which Lord Carlile referred when he criticised the excessive use of section 44 of the Terrorism Act 2000? He described its use as a substantial encroachment into the reasonable expectation of the public at large that they would face police intervention in their lives only if there was a reasonable suspicion that they would commit a crime. Is not that value threatened if events such as those at the Labour party conference or the instance of the person who was told that she could not walk on a cycle path occur?",-1,-0.15,-0.4,-0.56
2,"Can the Minister tell me why this coalition Government are so determined to pick on children?Does my right hon Friend agree that if the measures were due to financial constraints, the Conservatives would have kept the CTF mechanism in place, given its success, and perhaps cut the contributions with a view to reinstating them when times were better rather than abolishing the funds altogether?",-1,0.24,0.6,0.922
3,"Does the hon Gentleman agree that the programme motion demonstrates a strange order of priorities by giving the law of homophobic hatred an hour, when its likely use in any given year, if implemented, will probably be tiny, while the law of murder is applied every week in our courts?",-1,-0.133,-0.6,-0.778
4,"I understand the Secretary of State's argument, but his concentrating on countries rather than individual cases gives me cause for concern. A particular country could be safe by and large, but it might not be so for certain individuals. A current example is India. By and large, someone returning to India may be relatively safe, but that is not necessarily true if they originate from Kashmir, for example. In concentrating on the country rather than the individual, the danger is that injustice might be done.",-1,0.033,0,-0.562
5,"The Solicitor-General outlines the way in which the police will contact the CPS and how the CPS will make decisions. It seems ambitious to think that that will all be done in 48 hours. Have the pilots achieved that?",-1,0.4,1,0.477
6,"Will the Minister explain how we get around the conundrum that was raised in another place about the contrast between Birmingham and Coventry? She says that an airport can raise charges when there is a problem, but if it has no duty to monitor, how will it recognise that there is a problem? If there is no duty to monitor and a duty to charge, how do we impose the same constraints on an airport such as Coventry as those that apply to the designated airports?",-1,-0.3,-1,-0.931
7,"I am sure that the Minister will agree that half the population are women and the vast majority of them are successful and contributing, not victims, as the Labour party would have us believe. Does she agree that local businesses employing only a small number of people will benefit from more deregulation, which would enable them to offer jobs to even more women, which they can fit in with having children at school?",-1,0.167,1,0.962
8,"I congratulate my hon Friend on the work he put into the Bill, which is a worthwhile contribution to localism. Does he agree that one great virtue of localism is that it gives elected local authorities the opportunity to inculcate their values in the local community? Tendring council might have values it wants to promote in the context of the legislation, but socialist local authorities might want to implement more socialism locally.",-1,0.333,1,0.932
9,"As we are in a vein of transparency, openness and frankness, will the hon Gentleman care to put on record the date on which the Leader of the Opposition agreed to the proposed names?",-1,0.3,0.6,0.772
10,"Does the right hon Lady recognise that it is the very opacity of conventional accounting that worries people when they are confronted by the existence of operations such as Granite, which did not come to the notice of even quite experienced observers of Northern Rock until a relatively late stage in its life and remains the subject of considerable uncertainty? That is one of the reasons why other forms of audit are being sought.Does not what the hon Gentleman is doing run the risk of ensuring that a party that supports this Bill and that moved the amendment will not contribute to the debate?",-1,0.067,-0.143,-0.351
