"id","text","rating","afinn","lsd","vader"
1,"sm",0,0,0,0
2,"tender and touch.",0,0.4,1,0
3,"this i a beautiful middle grade story about b friend, sussy and guy, four grad who do everything together. they end getting a spotted lizard, name h matylda, and make up a warrior origin story for h. short aft, an accident change their live, and sussy decide she must love matylda so deep and care for h so perfect in order to hold onto guy and hi memory. this story was so credibly touch and beautiful, and sussy's journey through h grief move at just the right pace. side note: i cry through most of this book. - - karina glaser from the b book we read in may 2017: https: / / bookriot. com / 2017 / 06 / 02 / riot -...",0,0.156,0.4,0.892
4,"on order at our local bookshop! look forward to this summer read - aloud with the girl.",0,0,1,0
5,"* * spoil alert * * i chose this book because i love children book!!!",0,0.2,0,0.806
6,"o",0,0,0,0
7,"a cute book with playful illustrate & text by leuyen pham. a full view to come when i see the finish book with the die cut in their proper place. ( read a f & g ).",0,0,0.5,-0.026
8,"breathe i a beautiful illustrate picture book that will have children smile. fabulous underwater scene.",0,0.6,1,0.869
9,"decline to com.",0,0,0,0
10,"amy i approach by a woman, camilla jaleski, who claim to be h mother. now amy doesn't know what or who to believe...",0,0,0,0
11,"sobre a gratidao e a importancia de a expressar - mos a todas a pessoas por quem a sentimos.",0,0,0,0
12,"ok, so i read this book because the tim burton movie was about to be lease. i should have just wait for the movie and skipped the book. i couldn't wait to get through the pointless, without a plot book. the book i have include, "" through the look glass "" but i just couldn't be put through any more so i stopped at the end of alice in wonderland.",0,-0.2,-0.5,-0.353
13,"scribe the old - time way of pick apple and the emote and pride anna and h family gain.",0,0.4,1,0.7
14,"comparative lit. student might enjoy use this verse of puss 'n boot in their study. it very charm, and a cat i a cat in any culture.",0,0.5,1,0.735
15,""" no matte what they did, big bob and little bob did not do it the same. "" the spread illustrate that great line are my favorite part.",0,0.25,1,0.71
16,"top 10 project book 2017 ( booklist )",0,0.4,0,0.202
17,"this i an alphabet book for read who know their stuff. a i for salad? i can almost hear the chorus of "" nooooo! "" come from a preschool storytime group. a isn't for salad. however, there i an alligator hold a bowl of salad in the correspond picture. savvy listen will appreciate the goofy humor of lester's book, where "" b i for viking, "" and, my favorite, "" x and y are not important letter. never use them. "" this i b for the kid at the top of our age range, probably 4 year olds. they would need to be old enough to appreciate the joke that i the whole layout of this book, and to know slight more obscure animal like beaver, iguana, and narwhal. luckily, lester include an endpage that explain the joke, if read haven't caught on beforehand. the illustrate are appropriate funky, the "" a "" on the cover i wiggle, a though it can't even sit still for you to start the book. the illustrate are cartoonish, with bold black outline, and the animal all seem a little risque, a though you wouldn't soon find them in a "" proper "" alphabet book. this would slide right to any alphabet theme storytime, or it would go well with any book where the audience ha to correct the read ( for stance, i might pair it with don't forget the bacon, by pat hutchins. ) with four year olds, a possible project idea would be to have them make their own a i for salad letter page, pick a letter and think of the that don't start with that letter.",0,0.371,0.667,0.977
18,"well - written with great illustrate, this book doe a great job of show how the animal he saw l darwin to contemplate the common accept "" truths "" of hi day, without overwhelm the read ( or hearer, in our case ) with science.",0,0.467,0.667,0.96
19,"kitapla ilgili yazimizi okumak icin: http: / / 1cay1kitap. com / bir - seftali - bin...",0,0,0,0
20,"this one i go to get check out a lot in my library just because it about underwear!",0,0,0,0
21,"this book i a true story about henry, who i a slave, and use the underground railroad to escape to freedom. this book i great for young children to learn about the underground railroad. it use easy language for young read and vivid picture to support the text. i would use this book to teach k - 5 student about the underground railroad. it off another perspective of the underground railroad beside the harriet tubman story i learn about in school.",0,0.3,1,0.955
22,"this book scar me a kid. must behave. must not get roll to pastry.",0,0,-1,0
23,"light story for very young kid. very cute character with real life situate. sweet.",0,0.4,1,0.742
24,"i receive a copy of this book from bloomsbury usa children book via netgalley in exchange for an hon view.",0,0,0,0
25,"root, p. ( 2009 ). paula bunyan. new york: farrar, straus and giroux. 0374357595 a new twist on a tall tale, paula bunyan share the story of famous paul bunyan's young sister paula, who isn't such a little sister since she a big a h broth. this book share many of paula's adventure, but particular focus on h love of sing. a love she can't pursue because h voice i so loud that she shatter people window with h volume. it i on when paula goes to the wood that she i final able to sing free and make friend with the wild animal. but when paula encounter a portion of the wood bee cut down, paula must front a problem large than h that ha modern imply. with this create of a new character to enter to the story of america's past, root provide equal foot for girl since paula i just a strong a h broth. activities to do with the book: this would be an excellent picturebook to share if a teach were do a it on american history or tall tale. the story doe assume that the read ha knowledge of paul bunyan and hi exploit, so a teach would have to introduce him first. student could create their own character and tall tale in response to hear or read this book. also, a numb of classic children song are incorporate to the illustrate and could prompt student sing alongs. on a more serious note, a teach could talk about web of relationship among animal and their environment and about forestation and how it ha been a develop problem for over a century. favorite quote: "" everyone know about paul bunyan, with hi woodcutter ax and hi big blue ox, babe. but not many people know about paula bunyan, hi little sister. maybe "" little "" isn't the right word. aft all, she was a tall a a pine tree and a strong a a doz moose. "" "" it got so paula took to humming under h breath instead of sing out loud, just so nobody would holler that she was break their window or chipping their b china. "" "" when the bear growl, she growl right back. "" "" now, folk say the mosquitoes up north are mighty bad, and i believe it true, because one day a few hungry mosquitoes carry off paula's bear. "" for more of my view, visit sjkessel. blogspot. com.",0,0.174,0.394,0.993
26,"lemony snicket i the man.",0,0,0,0
27,"a love quick read with short chapter that make it easy to keep turn the page.",0,0.4,1,0.796
28,"my copy ha a different cover.",0,0.4,0,0.34
29,"this book was a little dark for me. it was very episodic, with the dog move on from place to place and struggle to survive, lose most people it love along the way. i was just glad it was over by the end, but then around age 12, i was a fan of "" gray dawn "", a date but excite story of a loyal collie misadventure. this was just too grim for me and didn't have enough to make up for it.",0,0.343,0,0.814
30,"i did a book port on h. she an credible woman.",0,0,1,0
