"id","text","rating","afinn","lsd","vader"
1,"whatever  quality   appeals  carle fans,  miss  entirely.",1,-0.4,1,-0.153
2,"see review  five little sharks swimming   sea.",1,0,0,0
3,"jane yolen   quote  sums   feelings    perfectly:  "" may adore love  forever,   hear       overbearing  smothering mother  infantilizes  son  can  tell   loves     fast asleep.  also contend   drugs  cocoa.     man's baby daughter wakes  sixteen years later  finds  fondling    room,    calling 911  going  therapy.""",1,0.4,0,0.938
4,"first  ,    hideous. just stare   cover   . really take  .   review hits  things  bugged      , especially  way  financial difficulties associated  paying  college  waved .      issues,   just reeks  fakeness.  isn't  true .    pop therapist's thought experiment.    substantial  cotton candy,   think   notice .  want  real    kid overcoming significant challenges  work  conservation?   boy   jaguar  talk   kid   alan rabinowitz didn't let  stutter stop   pursuing  interests.   wangari's trees  peace:  true   africa  talk   wangari maathai started   small dream  ended  changing  world.   dozens  genuine     impart similar lessons   didactic waste  paper,   significantly better written  illustrated.",1,0.2,-0.067,0.887
5,"just   family  two dads  four adopted  doesn't make    interesting.  didn't get  true sense  anyone's personality;  omniscient narration seemed    place,   didn't really care     .  , however, like  short notes  started  chapter.    nice touch. maybe   entire    epistolary,    liked  .",1,0.433,1,0.169
6,"   much name drooping   not serve  overall plot.  kirov's inspiration comes   legend   ""fisher king.""  however,  found  storyline     weak  bad imitation : ""deathly hallows.""",1,-0.2,-0.6,-0.459
7," rather unpleasant little picture  features dated gender roles--mom's  tired  cook, heaven forbid dad  !-- addition  dreadful role modeling     behave  restaurants.  child screams, crawls   table, disturbs  diners,  finally trips  waiter carrying food.   annoying  dangerous behavior shouldn't  presented  funny--especially   audience   still learning  basics    act  public.",1,-0.143,-0.5,-0.952
8,"dumb.    nothing  dispel african stereotypes.",1,-0.6,-1,-0.511
9,"  not enjoy    .  's voices didn't ring true.",1,0.4,0,-0.607
10," toy  animated movie franchise  become one    popular   history  cinema, launching  pixar brand farther  higher  anyone   ever guessed. pixar refused  lower  standards  quality   second  third toy  films, , earning  respect  many   used  mediocre film sequels.   little  serves   nice purpose.  gives us another experience   set    america  come  love, gleaning    additional smile  two  connection   christmas season.     ; simply  unambitious christmas      fond   toy  movies.  like  idea.",1,0.371,0.636,0.944
11,"   fourth   way       just  jumble   boy  trying  get  ""borrowed"" bicycle back. not newbery   nor    jerry spinelli .",1,0,-1,0
12,"  really looking forward    .  loved  first two (  four stars   stars  summer)    yearning  know     conclusion  gladys' .   tell  parents?  ,    ?     next review  wrote?   archenemy (  forgot  name)  back?   can see,    unanswered questions,   pretty antsy  excited   . "" ,    give  one star?"",  ask, confused.   answer.  actually  truly   page 18.  looked ahead  saw    charissa   crush  parm. well, charissa  parm?   girls.  lesbian issue  not portrayed  unbibical, instead,   portrayed  perfectly fine!   just really uncomfortable   - already!-   ,  frankly,  don't think  author   included .  reason   one star review?    content ( like lesbian toleration) really went against -  god's beliefs.",1,0.2,0,0.96
