"id","text","rating","afinn","lsd","vader"
1,"Whatever the quality is that appeals to Carle fans, I miss it entirely.",1,-0.714,1,-0.153
2,"See review of Five Little Sharks Swimming in the Sea.",1,-0.143,0,0
3,"Jane Yolen has a quote that sums up my feelings about this book perfectly:  ""You may adore Love You Forever, but I hear it as a story about an overbearing and smothering mother who infantilizes her son and can only tell him she loves him when he is fast asleep. I also contend that she drugs his cocoa. And that when the man's baby daughter wakes up sixteen years later and finds him fondling her in her room, she will be calling 911 and going into therapy.""",1,0.429,0,0.867
4,"First of all, the illustrations are hideous. Just stare at that cover for a while. Really take it in.  This review hits the things that bugged me the most about this book, especially the way the financial difficulties associated with paying for college were waved off.  But more than those issues, this book just reeks of fakeness. This isn't a true story. This is a pop therapist's thought experiment. It's about as substantial as cotton candy, and I think kids will notice that.  Want a real book about a kid overcoming significant challenges to work in conservation? Read A Boy and a Jaguar and talk with your kid about how Alan Rabinowitz didn't let his stutter stop him from pursuing his interests. Or read Wangari's Trees of Peace: A True Story from Africa and talk about how Wangari Maathai started with a small dream and ended up changing the world. There are dozens of genuine books out there that impart similar lessons as this didactic waste of paper, and they're significantly better written and illustrated.",1,0.143,-0.067,0.928
5,"Just because a family has two dads and four adopted kids doesn't make them all that interesting. I didn't get a true sense of anyone's personality; the omniscient narration seemed all over the place, and I didn't really care about any of the characters. I did, however, like the short notes that started each chapter. That was a nice touch. Maybe if the entire book had been epistolary, I would have liked it more.",1,0.476,1,0.683
6,"There is too much name drooping that does not serve the overall plot.  Kirov's inspiration comes from the legend of the ""Fisher King.""  However, I found the storyline to be a very weak and bad imitation of: ""Deathly Hallows.""",1,-0.429,-0.667,-0.551
7,"This rather unpleasant little picture book features dated gender roles--Mom's too tired too cook, heaven forbid Dad do it!--in addition to dreadful role modeling about how children should behave at restaurants. The child screams, crawls under the table, disturbs other diners, and finally trips a waiter carrying food.  This annoying and dangerous behavior shouldn't be presented as funny--especially to an audience that is still learning the basics of how to act in public.",1,-0.347,-0.571,-0.952
8,"Dumb. This book does nothing to dispel African stereotypes.",1,-1,-1,-0.511
9,"I did not enjoy this book at all. The children's voices didn't ring true.",1,0.429,0,-0.607
10,"The Toy Story animated movie franchise has become one of the most popular in the history of cinema, launching the Pixar brand farther and higher than anyone would have ever guessed. Pixar refused to lower their standards of quality in the second and third Toy Story films, too, earning the respect of many who are used to mediocre film sequels.  This little book serves a very nice purpose. It gives us another experience with a set of characters that America has come to love, gleaning from them an additional smile or two in connection with the Christmas season. That's what this book is; simply an unambitious Christmas story for those who are fond of the Toy Story movies. I like that idea.",1,0.388,0.5,0.952
11,"I read a fourth of the way through and to me is was just a jumble while the boy was trying to get his ""borrowed"" bicycle back. Not Newbery to me nor is it A Jerry Spinelli book.",1,-0.143,-1,0
12,"I was really looking forward to reading this book. I LOVED the first two ( All Four Stars and The Stars of Summer) and I was yearning to know what would be the conclusion of Gladys' story. Would she tell he parents? If so, what would they do? What would be the next review she wrote? Would her archenemy ( I forgot his name) be back? As you can see, with all those unanswered questions, I was pretty antsy and excited to read this. "" Then, why did you give it one star?"", you ask, confused. Here's your answer. I actually only truly read to page 18. I looked ahead and saw that there was Charissa had a crush on Parm. Well, Charissa and Parm? They're both girls. The lesbian issue was not portrayed as unbibical, instead, it was portrayed as perfectly fine! I am just really uncomfortable reading about that- already!- in a book, and frankly, I don't think the author should have included it. The reason for the one star review? Some of the content ( like lesbian toleration) really went against my- and God's beliefs.",1,0.143,0,0.964
13,"Ah, Christian fiction. I knew people were often not on board with this book, finding it to not be kosher, if you will (had to), but I didn't know why until I picked it up. It's kind of a shame that this book is a super Christian message about the maker and not just a lesson learning story or a cultural teaching story. It's really a shame because Mitchell Heinze's artwork has a real texture to it that I liked. I wish that people wouldn't bulldoze their faith around and would instead try to just tell a story and include elements of their culture in that story. I read a children's book written for the same age level about a month ago. A big plot point was the Jewish holiday Rosh Hashanah, and I wasn't offended in the least. That story taught me something. This story was just an anecdotal overview about the Christian god and why he needs to be followed, and I didn't enjoy the preaching in the least. I would recommend this book less for an age level than for a social demographic.",1,0.071,0.2,0.856
14,"What is the point to write something totally similar to another book by the same author - [Book: Double Act]. Despite the fact the author tried to choose another characters and to put them into another situation, for me this one was 100% similar to the one mentioned before.",1,-0.143,-1,0
15,"This is like reading the Bible except I didn't find the Bible (at least the parts that I've read) dragging.  It's a bit disturbing for a children's book, isn't it? I mean, a girl willingly strayed from her mother to go to a pilgrimage with an angel to see the Child-Christ in the manger ... and the angel let that happen why? Actually, the girl ran after the lamb because she wanted to stroke its soft fleece and she told the angel that and the angel just said, hey whatever you're coming with us. Dear angel, what very important part did that little girl play in the birth of Jesus Christ for you to have her tag along and not just return her to her mother like how you saved the drowning guy somewhere in the story? In the Bible, parents were known to be told to sacrifice their children to prove their faith to God (at least the petty, vindictive, old testament god) but at least they know what will happen to their child if their child disappears. Elisabet's mother was tormented for 50 years not knowing what happened to her little girl. Okay, let's not blame the angel because towards the end it was said she was abducted by people during the war ... yes let's make this a political thing as if it's not confusing to begin with. And then in the end the book still implied that the pilgrimage was what really happened so ... yeah. Psychological roller coaster? Anyone?  Is this a book I'd read to children? Eesh.",1,-0.059,0.333,0.724
16,"This book was just silly. Even for a Goosebumps book - and that's saying a lot.  Evan, the main character, is a FLIPPIN' MORON. Really, really, deeply stupid. I mean, I couldn't even believe how stupid the character was.  He tells everyone in his school about Monster Blood. What it did (turned his dog gigantic when he ate some) and insisting that it's real. Yeah, that's going to make you a lot of new friends at your new school, bub. What an idiot.  And there's a bully that always picks on Evan. One of his favorite tricks is offering Evan his hand to shake while apologizing, and then crushing Evan's hand into pulp. Evan NEVER learns. He ALWAYS takes the proffered hand. The bully uses this trick on Evan three times in the course of the book. THREE TIMES.  In another scene, the bully uncharacteristically apologizes for punching Evan and offers Evan a free punch. ""Go on. Hit me as hard as I can. I won't hit back."" Even a 4-year-old could tell you that this is a trap and a stupid idea. But Evan does it. Of course, a teacher is watching and Evan's the one who gets in trouble. He's an idiot.  Luckily, Evan's non-girlfriend (I mean, come on, they're 12) Andrea aka Andy shows up. She is about 50x smarter, stronger, braver, and more able to kick ass than Evan. And Evan never fails to act like a total jackass with her. I have no idea what she sees in this kid. But at least she offers the reader some relief from the onslaught of stupidity.  But the plot is stupid also. A hamster eating Monster Blood and turning giant? A hamster. Seriously??!!? And the ending of the Monster Blood suddenly reversing it's effects because ""today is it's expiration date"" was beyond lame.  Tons of fat-shaming in the book. I mean, the teacher (who's a jerk) is obese. We get it. You can stop the endless references to waddling, multiple chins, and calling him fat. We got it the first 30 times. Jeez. It was relentless and unending.  Just a very dumb book with almost no redeeming qualities. Avoid at all costs.",1,-0.477,-0.435,-0.985
17,"I'm really glad that there are so many people out there who liked this book. I love Wendy Mass. I hate giving a negative review. I'm going to test this out on kids, but I thought it was really stupid. Over-the-top stupid. I'll definitely change my rating if I find any kids who like it!",1,-0.107,0,-0.437
18,"Ugh, very unlikable main character.",1,-0.143,-1,-0.421
19,"Caveat: I haven't read Max's Words, so I'm not sure how this book compares.[return][return]This text felt way too long when reading the book aloud to my daughter. Almost every line is a piece of dialog from one of three boy characters. Their lines are right after another, which makes it difficult to read them in different voices. And the fact that they're all boys around the same age would make that difficult anyway.",1,-0.429,-0.5,-0.732
20,"Yellow & Pink is an unusual picture book, especially in that it appears to be an allegory about the human struggle between the various explanations for our existence and, ultimately, the existence of all things. Yellow and Pink, each a kind of humanoid being, come up with their own theories about how they might have been formed. Pink says that they obviously must have been created by someone, while Yellow figures that they probably came about by some kind of accident. The issue is never really resolved, leaving the reader to wonder what the truth is about how Yellow and Pink came into existence, and what their story says about our own world.  This isn't really typical William Steig material, excepting for the realistically open-ended finish and the wry humor. I would give one and a half stars to Yellow & Pink.",1,-0.048,0.25,-0.113
21,"Not surprised to see this on the banned books list.  Creepy little story about a 5 year old girl who finds a baby buried in her sandbox and then walks all over town with the baby trying to give it away to complete strangers. *shudders*  Not something I would have read to my children when they were small.",1,-0.714,-1,-0.567
22,"I didn't like the allusion to a violent death near the end of the book. Why put that in a children's book?",1,-0.429,-0.333,-0.872
23,"Generally I love Jan Brett's work. Her illustrations are phenomenal and I usually love her stories.  But this one sucks. It's the weirdest, most inane story ever. I guess one reason I like Jan Brett's stories is because they are based off folktales, or stuff that could be a folktale. They seem down to earth and ""real."" But Hedgie Blasts Off is about a hedgehog who flies into space to fix a fictional geyser. There is no lesson to be learned from this book and while the artwork is nice, it's nothing to write home about. I read it to my son once and we are taking it back to the library immediately.  I get that children's books don't have to have a point, but I prefer them to, and I think my 4 year old does too.",1,0.191,0.091,0.579
24,"Not a lot happened, basic predictable plot, few very visible women (and the ones that were shown were pretty negatively portrayed).",1,0.143,-1,0.494
25,"Doomsday strikes Stoneybrook. Karen and her family have to fight back against the imperial warlords who are threatening to take over Earth. Each member of Karen's family makes a vow to help prevent the aliens from winning. But, through reasons out of their control, they each break their vow and bring the aliens one step closer to wreaking havoc over the small town in Connecticut. Only Karen can help them, but to do will involve spying on her own side. Can she live with that guilt?  Duh, of course she can, she's Karen.",1,-0.206,-0.455,-0.818
26,"This book is so sexist and depressing it makes me want to barf. Even as a little kid the whole concept of a tree (i.e. the woman) sacrificing herself to accommodate some ungrateful man seemed utterly fucked.",1,-0.619,-0.6,-0.882
27,"Travesty.",1,-0.714,0,-0.572
28,"LIES. That's what this book is made of. When I saw it sitting with the new titles, I got kind of excited...""Ooh! Maybe a book to show the dangers of thumbsucking & help kids quit!"" Nope. Not in the least. In fact, this book is the opposite. Anyway, like the little girl in this book, I was a chronic thumbsucker, to the point I needed braces later in life because of what it did to my teeth. As an adult I'm still a nervous eater, nail biter, pen chewer & ever so occasional smoker :/ (Freud wasn't joking about oral fixations).  Aaalright, okay, probably -too- in depth a review of a silly kids' book, but thumb sucking is serious business & things are kinda slow today thanks to sportsball & snow. Someone needs to make a healthy coping mechanisms book for kids & not this book of lies.  Final rating = 0 (if 0 stars was an option)",1,0.214,0.231,-0.181
29,"I am not a fan of Nate. I know that the rudeness toward Artur is supposed to be seen as unjust but I can't help thinking the kids who read this will emulate Nate and treat people who look or speak differently or who come from a different place poorly.  I'm disappointed that this is popular book.",1,0.086,-0.6,-0.488
30,"Arthur's grandfather has gone missing four years ago. Arthur lives with his grandmother, mostly happy, except for wishing his parents would stop their job-hunting to come live with him again. As an evil plot emerges to take away his grandmother's land, he turns to the Minimoys, a tiny people inches tall, to warn them of the impending disaster and seek the rubies he suspects must be hidden with them.  This was a disorienting read. Arthur is supposed to be ten, but he often feels younger than that as he's careening around playing with his toys. That wouldn't be a problem, though. The bigger problem is that the plot seems determined to give a ten-year-old boy a plot better suited to a young adult novel.  He falls in love with a girl based on looking at her picture. This attitude doesn't change despite the fact that she's an enormous jerk to him the ONE DAY they are together---he's head over heels for her. Then he ends up in a bar getting drunk, depressed because she went and danced with someone else. But when she's threatened, his heroism rises up and he battles hordes of henchmen . . .  . . . Yeah.  The crazy pocketknife Betameche has is about the only saving grace. Some of the madcap actually works, especially when he's involved. But the plot's very jerky even when it isn't swinging into way-too-old territory (and did I mention there's a scene with Arthur's grandmother flirting with a police officer? Not what you'd exactly expect out of Grandma, honestly).  In short, this is a waste of time. For a good action novel featuring very tiny people, try something like Puddlejumpers by Mark Jean. I rate this book Not Recommended.  See my reviews and more at https://offtheshelfreviews.wordpress....",1,-0.185,-0.154,0.925
31,"So far, this one strikes me as awfully overt in it's racism. The brown-skinned people in turbans are all portrayed as dirty and scheming and bent on intentionally serving the wrong god, whom they know to be evil but serve anyway. Granted, this is probably how Lewis would have described actual Muslims and Persians and Arabs and Indians (not that he would distinguish between any such groups), but it's disturbing to see it so acceptably allowed in a book ostensibly for children.  Make an off color twitter joke and you'll be hounded out of work and home by the global community. Write a racist diatribe aimed at manipulating children and be treated as a ""beloved children's author."" I guess you never can tell what people will choose to care about.",1,-0.319,-0.143,-0.601
32,"We didn't finish this and to be honest we only got a few pages in before giving up. I could see right away on Julia's face that she wasn't into it and I'd be lying if I said I was.  I'm all for children learning new words but this just doesn't seem geared towards toddlers at all. There aren't too many I don't think. judging from the pages I read, but there are enough that it takes away from the fun of the book in my opinion.  If a book is going to teach new words to kids the execution needs to be far better than this - this will bore them.",1,0.286,0.25,0.815
33,"I loved the first book, Go the Fuck to Sleep, but felt like the second one just fell apart. Not even Stephen Fry and Bryan Cranston editions of the audiobook can quite save it. Yes, as others have mentioned, it's just the same joke, but with that title, I expected as much. That's not really the problem though. The problem is that the rhyming scheme breaks up too much and too early. A little of that would have been fine and been a good way to portray the rising anger. Sadly, instead it just seemed more like laziness.",1,-0.055,-0.231,0.939
34,"Execrable. The blatant racism (imagine Calvin and Hobbes, with the Taco Bell chihuahua as Calvin, and without the intellectual weight and transcendent art) would be enough to sink it, and the incredibly retrograde sexism/gender stereotyping, and the groaningly cutesy-pootsy prose and verse are just superfluous reasons to despise Skippyjon Jones. When one considers that, like Hecate of old, it has gone on to breed monsters (Skippyjon in space! Skippyjon in the old west! Skippyjon touring the box factory!)one starts to wish that one had access to a time machine, and could travel back to intercept and incinerate the original manuscript en route to the publisher.  The only positve quality about the book is that the art is really quite good; the fact, though, that it is in service to such an irredeemable pile of garbage mitigates one's esteem for it significantly.",1,0.071,-0.125,0.391
35,"It is rare that I can find no charm at all in a picture book, but this one is awful. The story itself is didactic to the point where it's obvious the book is only trying to teach us to write a decent thank you note without any other kind of story. The teacher named Miss Doover (get it? Do-Over... ha ha) makes the main character rewrite his thank you note over and over again, in class, in front of all the other students. Overall, I can think of no child I would want to share this with and I think it would be terrible as a read aloud.",1,-0.033,0.333,0.355
36,"Sorry, James Marshall did this sort of stuff a lot better. Perhaps this should have been done in a real graphic novel format, because this really feels like one. And what IS it with Elephant changing color and having teeth in some pictures and none in others?",1,0.214,0.333,0.77
37,"Possibly the least satisfying series finale I have ever read. An absolute disgrace.",1,-0.714,0,-0.689
38,"Really disappointed in this book. Movie is nothing like the book and so much better",1,0.048,0.333,-0.324
39,"Cleanliness:  Children's Bad Words  Mild Obscenities and Substitutions - 2 Incidents: stupid, pouh  Name Calling - 4 Incidents: funny old tramp, stupid old tramp  Religious & Supernatural - 2 Incidents: Father Christmas is mentioned: ""If you don't (behave), I'll tell Father Christmas about your rude manners."" The little boy says he doesn't believe in him but then is convinced. Mentions a pilgrimage to the shrine of Saint Sara and the story behind how she was sainted.  Violence - None  Romance Related - 1 Incident: ""Breast"" pocket.  Attitudes/Disobedience - 8 Incidents: Lying: an old man lies, saying he is the children's grandfather in order to get alms from the crowd. Stealing/Lying: An old man steals some food and then says he doesn't know how it got in the buggy. Lying: An old man lies about Father Christmas giving the children a house so they won't feel so bad. (the children had previously asked Father Christmas to give them a house.) A boy wants to leave his family to go with the gypsies: '""Why can't I go?"" asked Paul rebelliously.' Lying: An old man lies again about Father Christmas and the house the children want. Lying: An old man lies to a policeman about why the gypsies left. Lying: An old man lies, saying a dog has won many ribbons when he hasn't. Lying: An old man lies, saying he's never been one to fear work.  For a full report, which includes Conversation Topics and Parent Takeaway, visit my website and sign up for the free subscription offered in The Book Store.",1,-0.265,-0.4,-0.995
40,"So, that sucked. It is totally unbelievable that all that happened on one road trip and it was even funny.  Smile/ sisters was better.",1,0.357,0.2,0.728
41,"I give up with this series. And not just because my library's copy of Book 12 was stolen, either.  It's a romance series. Okay, granted, it's taken me 11 books to realize this but I've been wasting my time with 11 books that chronicle the excruciating detail of a forbidden romance. Okay, so it's not between a guy and a girl (or a girl and a girl or a guy and a guy) but it's between a girl and a mustang stallion. Instead of forbidden sex being the ultimate high, forbidden RIDES are the ultimate high.  Other problems with this book:  * What the hell happened to all of the other horses in this series? Dark Sunshine and her unborn foal entered in Book 2 or 3 and have done not much of anything ever since. Did Sam the Girl forget about this horse? How do you forget about a pregnant mare?  * Usually when the kid gets in trouble with her parents, I side with the kid and feel the punishment was unfair. Not this time. I sided with the parent/step-parent combo. I don't think it has to do with me getting old, either. But someone needs to smack some sense into this kid. Please.  * Still no such thing as an albino horse. Sorry, but genetics is a bitch that way.  * No resolution to the basic problems presented. The back blurb states that there is a mystery to be solved. Where? Where the fuck is it? Wherever the stolen Book 12 of my library went?  In conclusion -- skip this series and go with The Black Stallion (up until Walter Farley dies, then forget it.)",1,-0.455,-0.556,-0.996
42,"This is a story about what happened at a zoo in Tokyo during World War 2. It has a very bad ending. And a bad beginning and a bad middle.",1,-0.929,-1,-0.94
43,"I so wanted to love this. I love books and I love puzzles. But I also love strong characters (not caricatures) and crisp writing (not constant puns and lame dialogue). Disappointing.",1,0.265,0.429,0.88
44,"Morally wrong.",1,-0.714,0,-0.477
45,"Just terrible. A New Age re-envisioning of Baba Yaga as not the wicked witch of Russian folklore but a poor misunderstood creature that radiates the moral ""Don't judge by appearances.""",1,-0.786,-0.333,-0.782
46,"This book will have readers looking for a Higher Power to end this novel. The story is about a ten-year old girl named Lucky who lives in a disfunctional town in the middle of nowhere in California. A series of unrealistic, unfortunate events brings Brigitte (BrigEET) from France to be Lucky's guardian. Lucky has a job cleaning up after the members of various addicts anonymous meetings. This is where she begins her search for her higher power, which ultimatley leads to her running away. This book has no actual plot and unrelatable charachters that never really develop. I'm not really sure how this book won The Newberry. What I am sure of though is that Lucky is an ungrateful little girl that does not know how good she has it in life. In short, the lack of a story line and unrelatable charachters will leave readers scratching their heads and wishing for an end to this book!",1,0.257,0.2,0.558
47,"ther's something silly about it",1,-0.429,0,0.026
48,"Do NOT read this book to your little ones. It is horrible. The mermaid's mother would not help rescue her own daughter, and then she threatens to hurt Sofia's family if she does not find her. I cannot believe I just read this to my little girls.",1,-0.314,-0.6,-0.925
49,"Um...a girl goes to wolf camp and comes back acting like one. The next summer her parents send her to bear camp? Strange.",1,0,0,0.178
