"id","text","rating","afinn","lsd","vader"
1,"NYT: Winners at the ",-1,0.111,1,0.477
2," @goldietaylor: Huckabee. ",-1,0.111,0,0
3," @GretchenCarlson: ""Take a bottle of white out with me to Pres Obamas policies"" @GovernorPerry #GOPDebate @FoxNews @foxnewspolitics",-1,0.111,0,0
4,"I can't wait for Hillary Clinton to put the ",-1,0.111,-1,0
5,"Trump didn't pledge to not run third party, but I'll pledge to vote third party if he's the nominee. http://t.co/3teP5ZSZUn #GOPDebate",-1,0.111,1,0.444
6,"God blessed our country, the Republican candidates....but NOT them democrats. -Rubio #Paraphrase #GOPDebates you... http://t.co/PgijYpJZdf",-1,0.333,1,0.718
7," @laurenreeves: ""Stay tuned for closing statements, final thoughts, and God."" And then I turned off the TV, I'm good. #GOPDebates",-1,0.556,1,0.612
8,"How's this for an accurate description of our system? https://t.co/E68Hblfc2G. The #GOPDebate illustrated this in a wonderful, scary fashion",-1,0.333,0.333,0.128
9,"Other than ""DOWN WITH THE EPA!"" #GOPDebate",-1,0.111,0,0
10,"Kept wondering where The Donald left his pinky ring and gold chains were, what with his used car salesman gesturing/talk. #GOPDebate",-1,0.111,1,0
11,"Cruz: ""I receive the word of God everyday..."" God: ""Don't blame me for this guy. There are pills for those voices.""#GOPdebates",-1,0.111,-1,0.641
12," @jarodzsz: i'm really disappointed that no one threw their prosthetic leg last night at the ",-1,-0.222,-1,-0.706
13,"Am I the only one perved out by Scott Walker's wink at the beginning of the ",-1,0.111,0,0
14,"restorereality: Fuck ya Donald Trump you rocked ",-1,-0.778,0,-0.542
15," @TheBaxterBean: WHY IS IT TAKING SO LONG FOR TED CRUZ TO RENOUNCE HIS CANADIAN CITIZENSHIP? http://t.co/6d6xVAfpf1 ",-1,0.111,-1,0
16,"@PostGraphics @FactTank Rate of speech can indicate confidence.Too fast, a swindler;too slow,unprepared #GOPDebate http://t.co/Fs7R705Es9",-1,0.111,-0.333,0
17," @msgoddessrises: No doubt! Huge bump! ",-1,0.037,-1,0.186
18,"GOD loves me even if I don't do as he says! Oops.. He forgives me not you! ",-1,0.333,1,0.869
19,"The answer to the most important question of the #GOPDebate is yes, Joe Flacco is, in fact, an elite quarterback. #RavensNation",-1,0.444,0,0.585
20," @ShawnDrurySC: Jeb: My father was...OH NEVERMIND. Parenting is so overrated. ",-1,0.111,0,0
21,"hadiyah: Rand Paul rocking that Wet and Wavy. Ooh Kill'em! ",-1,0.111,-1,0
22,"What is ""the Alinsky model, takingadvantage of useful idiots"" #GOPDEBATES #BenCarson",-1,0.556,0,0.44
23," @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP",-1,-0.556,-1,-0.691
24," @Popehat: ",-1,0.111,0,0
25,"Cancelled ",-1,-0.111,0,-0.25
26," @cavaticat: I didn't watch the ",-1,0.111,0,0
27," @ncsr18: Muppet show. ",-1,0.111,0,0
28," @RWSurferGirl: Tonight we learned that @GovChristie thinks he can remove our civil rights to fight terrorism. ",-1,-0.111,0.2,-0.802
29,"Chris Christie and Rand Paul feud in tense national security face-off at ",-1,-0.333,-1,-0.34
