"token","lsd","n"
"product",0,137
"time",0,76
"bought",0,71
"quality",1,64
"price",0,59
"buy",0,57
"fine",0,56
"job",0,54
"fit",1,51
"light",0,51
"item",0,49
"2",0,48
"plastic",0,48
"3",0,47
"1",0,44
"4",0,42
"hard",-1,41
"recommend",0,40
"money",0,39
"5",0,38
"spray",0,38
"cheap",1,36
"easy",1,35
"floor",0,34
"hold",0,33
"purchased",0,32
"stuff",0,32
"unit",0,32
"cleaning",1,31
"clips",0,31
"bottles",0,30
"box",0,30
"door",0,30
"size",0,30
"toothbrush",0,30
"bit",0,29
"broken",-1,29
"clean",1,29
"screws",-1,29
"handle",0,28
"wire",0,28
"brush",0,27
"bottle",0,26
"bulb",0,26
"heavy",-1,26
"metal",0,25
"set",0,25
"teeth",0,25
"disappointed",-1,24
"led",0,24
"lot",0,24
"power",0,24
"expected",0,23
"head",0,23
"pretty",0,23
"received",0,23
"replacement",0,23
"tool",0,23
"vacuum",0,23
"maglite",0,22
"nice",1,22
"perfect",1,22
"poor",-1,22
"weight",0,22
"amazon",1,21
"bright",1,21
"easily",1,21
"excellent",1,21
"read",0,21
"waste",-1,21
"arrived",0,20
"bad",-1,20
"feel",0,20
"glue",0,20
"happy",1,20
"short",0,20
"day",0,19
"love",1,19
"months",0,19
"screw",-1,19
"stars",0,19
"tape",0,19
"expensive",0,18
"found",0,18
"hose",0,18
"makes",0,18
"purchase",0,18
"return",0,18
"reviews",0,18
"worth",1,18
"6",0,17
"bag",0,17
"base",0,17
"buying",0,17
"cleaner",1,17
"home",0,17
"house",0,17
"inch",0,17
"pump",0,17
"quick",0,17
"shop",0,17
"staples",0,17
"thermal",0,17
"10",0,16
"board",0,16
"couple",0,16
"easier",1,16
"flashlight",0,16
"instructions",0,16
"local",0,16
"lock",0,16
"move",0,16
"original",0,16
"thin",0,16
"times",0,16
"wrong",-1,16
"advertised",0,15
"brand",0,15
"cans",0,15
"degrees",0,15
"difficult",-1,15
"issue",0,15
"nails",0,15
"shipping",0,15
"strong",1,15
"tight",0,15
"wall",0,15
"bottom",0,14
"days",0,14
"floors",0,14
"hand",0,14
"heads",0,14
"life",0,14
"load",0,14
"low",0,14
"moving",0,14
"peg",0,14
"pegboard",0,14
"pressure",0,14
"standard",0,14
"store",0,14
"tools",0,14
"vac",0,14
"water",0,14
"air",0,13
"break",0,13
"cheaper",1,13
"clip",0,13
"close",0,13
"compound",0,13
"description",0,13
"difference",0,13
"gas",0,13
"guess",0,13
"heat",0,13
"holds",0,13
"recommended",0,13
"straight",0,13
"top",0,13
"8",0,12
"battery",0,12
"broke",-1,12
"cell",0,12
"cost",0,12
"half",0,12
"highly",0,12
"idea",0,12
"inside",0,12
"jack",0,12
"kit",0,12
"lasted",0,12
"picture",0,12
"pieces",0,12
"project",0,12
"properly",1,12
"purpose",0,12
"reason",0,12
"regular",0,12
"returned",0,12
"review",0,12
"sizes",0,12
"straps",0,12
"week",0,12
"wood",0,12
"50",0,11
"amount",0,11
"brighter",1,11
"cut",0,11
"drill",0,11
"effective",1,11
"fast",0,11
"forceps",0,11
"furniture",0,11
"grip",0,11
"grout",0,11
"held",0,11
"install",0,11
"leads",0,11
"leak",-1,11
"minutes",0,11
"model",0,11
"paste",0,11
"piece",0,11
"resistance",0,11
"shipped",0,11
"simple",0,11
"slip",0,11
"sonicare",0,11
"stopped",0,11
"super",1,11
"test",0,11
"true",1,11
"useless",-1,11
"white",0,11
"batteries",0,10
"body",0,10
"care",1,10
"color",0,10
"decent",1,10
"extra",0,10
"fan",0,10
"gun",0,10
"holes",0,10
"hoping",1,10
"junk",-1,10
"leaks",-1,10
"maglites",0,10
"month",0,10
"package",0,10
"pay",0,10
"person",0,10
"products",0,10
"quickly",0,10
"replace",0,10
"stop",0,10
"strap",0,10
"strips",0,10
"switch",0,10
"system",0,10
"terrible",-1,10
"100",0,9
"15",0,9
"add",0,9
"bent",0,9
"brushes",0,9
"check",0,9
"china",0,9
"compared",0,9
"deal",0,9
"edge",0,9
"larger",0,9
"loose",0,9
"motor",0,9
"paper",0,9
"people",0,9
"perfectly",0,9
"real",0,9
"repair",1,9
"results",0,9
"run",0,9
"running",0,9
"safe",1,9
"sheet",0,9
"soft",0,9
"spraying",0,9
"stairs",0,9
"steel",0,9
"style",0,9
"supposed",0,9
"wide",0,9
"wires",0,9
"ago",0,8
"cable",0,8
"cap",0,8
