"token","afinn","n"
"eur",0,324
"mn",0,193
"company",0,182
"finnish",0,141
"profit",0,135
"million",0,124
"net",0,109
"sales",0,109
"operating",0,93
"period",0,86
"2009",0,85
"mln",0,85
"2008",0,79
"oyj",0,75
"quarter",0,72
"2010",0,71
"2007",0,70
"finland",0,65
"loss",-1,61
"share",1,58
"compared",0,55
"2006",0,54
"euro",0,50
"market",0,50
"helsinki",0,45
"services",0,41
"business",0,40
"decreased",0,38
"shares",1,38
"based",0,36
"percent",0,36
"hel",0,35
"operations",0,34
"2005",0,32
"contract",0,31
"earlier",0,31
"fell",0,31
"omx",0,30
"pct",0,30
"total",0,30
"mobile",0,29
"result",0,29
"solutions",1,28
"production",0,27
"bank",0,26
"financial",0,26
"january",0,26
"maker",0,26
"plant",0,26
"paper",0,25
"1",0,24
"agreement",1,24
"billion",0,23
"corporation",0,23
"eur0",0,23
"technology",0,23
"totalled",0,23
"growth",1,22
"increased",1,22
"nokia",0,22
"russia",0,22
"3",0,21
"construction",0,21
"half",0,21
"rose",0,21
"5",0,20
"increase",1,20
"products",0,20
"building",0,19
"capital",0,19
"lower",0,19
"price",0,19
"september",0,19
"stock",0,19
"4",0,18
"earnings",0,18
"euros",0,18
"industry",0,18
"investment",0,18
"usd",0,18
"announced",0,17
"equipment",0,17
"months",0,17
"people",0,17
"plc",0,17
"reported",0,17
"signed",0,17
"stora",0,17
"systems",0,17
"time",0,17
"20",0,16
"6",0,16
"board",0,16
"enso",0,16
"expected",0,16
"june",0,16
"lay",0,16
"march",0,16
"october",0,16
"steel",0,16
"system",0,16
"totaled",0,16
"turnover",0,16
"8",0,15
"ceo",0,15
"companies",0,15
"customers",0,15
"data",0,15
"employees",0,15
"eps",0,15
"international",0,15
"markets",0,15
"month",0,15
"news",0,15
"real",0,15
"report",0,15
"swedish",0,15
"10",0,14
"2",0,14
"2004",0,14
"management",0,14
"1.5",0,13
"15",0,13
"2011",0,13
"30",0,13
"annual",0,13
"april",0,13
"development",0,13
"exchange",0,13
"facility",0,13
"global",0,13
"manufacturer",0,13
"negotiations",0,13
"offer",0,13
"performance",0,13
"pretax",0,13
"product",0,13
"revenue",0,13
"service",0,13
"25",0,12
"9",0,12
"awarded",1,12
"baltic",0,12
"cash",0,12
"handling",0,12
"largest",0,12
