"token","lsd","n"
"hon",0,1748
"government",0,760
"people",0,756
"friend",1,670
"house",0,596
"bill",0,494
"gentleman",0,463
"minister",0,432
"time",0,429
"debate",0,308
"agree",1,305
"parliament",0,265
"secretary",0,252
"committee",0,245
"country",0,234
"vote",0,214
"european",0,212
"amendment",0,210
"issue",0,204
"local",0,186
"constituency",0,181
"support",1,179
"party",0,174
"public",0,174
"home",0,170
"labour",0,164
"legislation",0,164
"clause",0,162
"change",0,149
"election",0,144
"system",0,141
"accept",1,138
"police",0,137
"matter",0,134
"hope",1,132
"deal",0,131
"conservative",0,129
"issues",0,127
"opposition",-1,125
"argument",-1,123
"amendments",0,122
"national",0,121
"court",0,119
"referendum",0,117
"question",0,116
"lady",0,115
"law",0,114
"power",0,114
"british",0,113
"union",0,112
"business",0,111
"view",0,109
"day",0,108
"motion",0,107
"north",0,107
"northern",0,105
"rights",1,104
"ireland",-1,103
"policy",0,103
"speech",0,103
"act",0,101
"money",0,101
"liberal",0,100
"prime",0,100
"tax",0,100
"decision",0,99
"set",0,99
"ministers",0,98
"office",0,98
"simply",0,98
"children",0,97
"understand",1,97
"process",0,95
"forward",1,93
"giving",0,93
"post",0,92
"service",0,92
"uk",0,90
"opportunity",1,88
"speaker",0,88
"elections",0,86
"heard",0,86
"matters",0,86
"council",0,85
"ensure",1,85
"past",0,85
"previous",0,85
"proposals",0,85
"government's",0,84
"united",1,84
"future",0,82
"powers",0,82
"position",0,81
"grateful",1,79
"constituents",0,77
"crime",-1,77
"decisions",0,77
"earlier",0,77
"scotland",0,77
"cent",0,76
"subject",0,76
"human",0,75
"political",0,75
"deputy",0,74
"lords",0,74
"measures",0,74
"mentioned",0,74
"authorities",0,73
"school",0,73
"authority",0,72
"east",0,72
"treaty",0,72
"elected",0,71
"pay",0,70
"schools",0,70
"answer",0,69
"aware",0,69
"care",1,69
"scottish",0,69
"days",0,68
"makes",0,68
"concern",-1,67
"months",0,67
"move",0,67
"wrong",-1,67
"evidence",0,66
"housing",0,66
"proposed",0,66
"basis",0,65
"parliamentary",0,65
"parties",0,65
"regional",0,65
"concerns",0,64
"services",0,64
"surely",0,64
"10",0,63
"health",0,63
"justice",0,63
"person",0,63
"situation",0,63
"terms",0,63
"measure",0,62
"real",0,62
"reason",0,62
"report",0,62
"scrutiny",0,62
"south",0,62
"wales",0,62
"principle",1,61
"result",0,61
"talking",0,61
"front",0,60
"hear",0,60
"taking",0,60
"1",0,59
"article",0,59
"assembly",0,59
"chamber",0,59
"difficult",-1,59
"proper",1,59
"west",0,59
"treasury",0,58
"voting",0,58
"ago",0,57
"benefit",1,57
"economy",0,57
"education",0,57
"introduced",0,57
"london",0,57
"means",0,57
"eu",0,56
"gentleman's",0,56
"increase",0,56
"private",0,56
"programme",0,56
"called",0,55
"community",0,55
"information",0,55
"kingdom",0,55
"absolutely",0,54
"apply",0,54
"effect",0,54
"hours",0,54
"job",0,54
"life",0,54
"provide",1,54
"referred",0,54
"4",0,53
"economic",0,53
"explain",0,53
"line",0,53
"majority",0,53
"period",0,53
"proposal",0,53
"review",0,53
"action",0,52
"chancellor",0,52
"approach",0,51
"countries",0,51
"happen",0,51
"speak",0,51
"constituencies",0,50
"date",0,50
"england",0,50
"provision",0,50
"respect",1,50
"social",0,50
"term",0,50
"told",0,50
"constitutional",0,49
"database",0,49
"difference",0,49
"feel",0,49
"level",0,49
"record",0,49
"allowed",1,48
"benches",0,48
"considered",0,48
"democrats",0,48
"including",0,48
"account",0,47
"banks",0,47
"bring",0,47
"communities",0,47
"current",0,47
"jobs",0,47
"leader",0,47
"reading",0,47
"reasonable",1,47
"share",0,47
"talk",0,47
"world",0,47
"arguments",-1,46
"budget",0,46
"commitment",1,46
"dna",0,46
"lot",0,46
"properly",1,46
"reform",0,46
"stage",0,46
"circumstances",0,45
"concerned",-1,45
"forces",0,45
"happened",0,45
"recognise",0,45
"remember",0,45
"tabled",0,45
"times",0,45
"views",0,45
"words",0,45
"address",0,44
"behaviour",0,44
"criminal",-1,44
"figures",0,44
"force",0,44
"lord",0,44
"week",0,44
"welsh",0,44
"2",0,43
"agreement",1,43
"funding",0,43
"learned",1,43
"represent",0,43
"voted",0,43
"based",0,42
"boundary",0,42
"child",0,42
"coalition",0,42
"coming",0,42
"decide",0,42
"democrat",0,42
"families",0,42
"friends",1,42
"minister's",0,42
"moment",0,42
"parents",0,42
"sector",0,42
"select",0,42
"women",0,42
"cuts",0,41
"europe",0,41
"free",1,41
"idea",0,41
"involved",0,41
"legal",0,41
"strong",1,41
"access",0,40
"comments",0,40
"commons",0,40
"financial",0,40
"intervention",0,40
"leave",0,40
"provisions",0,40
"rate",0,40
"start",0,40
"achieve",1,39
"agreed",1,39
"democracy",0,39
"impact",0,39
"major",0,39
"politics",0,39
"return",0,39
"rose",0,39
"chief",0,38
"debates",0,38
"inquiry",0,38
"officers",0,38
"paper",0,38
"raised",0,38
"reasons",0,38
"required",0,38
"special",1,38
"conservatives",0,37
"consultation",0,37
"convention",0,37
"development",0,37
"fuel",0,37
"half",0,37
"judgment",0,37
"procedure",0,37
"significant",1,37
"society",0,37
"trade",0,37
"20",0,36
"arrangements",0,36
"control",0,36
"create",1,36
"expressed",0,36
"foreign",0,36
"held",0,36
"independent",0,36
"live",0,36
"prison",-1,36
"putting",0,36
"rightly",1,36
