"id","text","rating","afinn","lsd","vader","sums"
441,"""We don't win anymore.  We lose to China.  We lose to Mexico.  We lose to everybody."" -TrumpPreach it, sir, preach it! #GOPDebate",1,0.8,-0.5,-0.888,3.376
398," @brianmrosenthal: ICYMI: At #GOPDebate, @RandPaul calls out Houston Mayor Annise Parker over #HERO controversy: http://t.co/qxB1edQOzN",1,0,-1,0.652,3.304
280,"Cruz: ""I receive the word of God everyday..."" God: ""Don't blame me for this guy. There are pills for those voices.""#GOPdebates",-1,0,-1,0.641,3.282
586,"Actually Trump, we live in the least violent time in human history. #GOPDebate",1,-0.6,-1,0.485,2.97
205,"No channel to watch now. #CNN is liberal,#FNC &amp; @megynkelly r #RNC hitman #crony . @realDonaldTrump dont join #GOPDebate anymore #GoTrump",-1,0,1,-0.475,2.95
335," @MiaHoll18: @BradThor If Mr. Trump runs as an Independent the Republicans can't win either. ",1,0.8,1,-0.472,2.944
60,"The Republican Party wakes up with a huge hangover, a splitting headache and no idea why it's in bed with Donald Trump. #GOPDebate #RSG15",-1,0,-1,0.421,2.842
505,"Yeah all the candidates are going to repel Obamacare and replace it with something! Go GOP! ",1,0.2,-1,0.418,2.836
349,"@mcbyrne Trump did NOT threaten Megyn Kelly, drama queen. #GOPDebate #FOXNEWSDEBATE #FoxDebate",1,-0.4,1,0.292,2.8
521,"I missed the #GOPDebate (driving The Mother Road) but I did take a very satisfying bowel movement in Bushland, Texas. http://t.co/e0HUW70rRR",1,-0.4,1,0.591,2.8
45,"The real voice of the #GOP in the #GOPDebate was @realDonaldTrump. @FoxNews don't be mad, he's only parroting what you have been sying 4yrs.",-1,-0.6,-1,0.388,2.776
138,"#GOPDebate Final Statement: Please Pander to Religious Nutjobs and Illiterates. Go!##FOXNEWSDEBATE#GOP#GOPDebates #RWNJ",-1,0.2,-1,0.38,2.76
454,"""I defunded Planned Parenthood. I created a culture of life."" PP = healthier people, parents &amp; babies &amp; LOWERS no. of abortions. #GOPDebates",1,-0.2,1,-0.347,2.694
94," @Kjhobbs1985: @TheDemocrats not really... like the @ppact videos you're not watching anyway. ",-1,0.4,1,-0.324,2.648
369," @FoxNews: .@ScottWalker pledges to lower the tax rate and reform the tax code, if elected president. #GOPDebate http://t.co/sknHfYkw3U",1,0,1,-0.296,2.592
448,"I don't dislike Jeb as much as most ",1,-0.4,-1,0.292,2.584
482,".@ppact can sell baby parts for profit, or whatever you want to call it, but Trump can't call a woman a slob. #GOPDebate #PC #Trump2016",1,0.2,-1,0.273,2.546
199," @funnyordie: It's not whether you win or lose, Donald. The only thing that matters in life is not winding up like you. #GOPDebate",-1,0.467,0.333,-0.777,2.488
334,"When @megynkelly says, for t sake of #argument, #LetMePlayTheDevilsAdvocate, she means it &amp; no one does it better. #GOPDebate #KellyFile",1,0.1,1,-0.202,2.404
500,"Chris Christie: Pro-Life Republicans Should Never Apologize for Being Pro-Life http://t.co/mDMnEd8lGq ",1,-0.2,1,-0.076,2.4
38," @DemocracyMatrz: Did Trump just admit to buying influence while at the same time declaring the need for campaign finance reform??? ",-1,-0.2,1,0.327,2.4
100," @DemocracyMatrz: Did Trump just admit to buying influence while at the same time declaring the need for campaign finance reform??? ",-1,-0.2,1,0.327,2.4
132,"@juliaturner @Slate It's about time they admit to something. Truthfully if the didn't then we would call them out on it. ",-1,-0.2,1,0.572,2.4
149," @Popehat: #GOPDebates Paul: ""I want to collect more records from terrorists and fewer from Americans.""",-1,0.2,-1,-0.62,2.4
442,"At last @JebBush trying to unite and pitch to by not attacking @realDonaldTrump ",1,-0.2,1,0.357,2.4
463,"No doubt! Huge bump! ",1,-0.067,-1,0.186,2.372
145,"@RealAlexJones @libertytarian @JakariJax @LeeAnnMcAdoo Wether @realDonaldTrump is a trojan horse or not, is he worth a punt? #GOPDebate",-1,0.4,1,-0.169,2.338
173,"Watching the #GOPDebates I can't help but think of Claire Underwood referring to political debates as ""spectacle"" in season 3 #Profound",-1,0.4,1,-0.16,2.32
537,"While I wasn't too impressed with her questions last night, @megynkelly 's dress rocked!!! #whoareyouwearing #GOPDebate @FoxNews",1,0.6,0,-0.531,2.262
452,"@realDonaldTrump lives to fight another day. Odds seem to ever be in his favor. ",1,0.1,-1,0.026,2.2
79," @ShannonSanford9: Undoubtedly @FoxNews doesn't want @TedCruz to have any questions. ",-1,0.2,1,-0.057,2.114
499,"Christie, Huckabee, Walker get top marks... who didn't score well last night http://t.co/3aFiekciTk #GOPDebate",1,0.4,1,-0.004,2.008
1,"For your entertainment. ",-1,0,1,0.421,2
2," @SalMasekela: Is Kasich aware that he's making sense? ",-1,0,1,0,2
