"id","text","rating","afinn","lsd","vader"
1,"  tiny hooks",1,0,0,0
2,"    brought  vacuum   says  screw  bag   bottom   vacuum cleaner   never put  screw holes   button   vacuum cleaner  screw  bag !",1,0.4,-0.2,0.293
3,"   not work......  not know  boiler   far gone,    not stop  leakage.    worth  effort    try  bottles.",1,0.1,0.333,0.057
4,"  didn't work   well    moving.",1,0,1,-0.206
5,"  first spray bottle  used gave   ghost  3 weeks. leaked    place  spray didn't work.  contained  mixture  vinegar, water,   bleach...nothing    caused  amount  deteriation...save  bucks  go elsewhere..",1,0,-1,-0.557
6,"     therefore  not scrub  tile grout lines  well  .",1,0,1,0.273
7,"  didn't se em  pi ck  di rt ve ry  ll  . broom wo uld wo rk better",1,0.4,1,0.44
8,"  doesn't fit  blades properly.  kinda dangerous  try  use.",1,0.2,0.333,-0.602
9,"  doesn't fix anything... weak .",1,-0.4,-1,0.341
10,"   purchased  pump less  60 day ago    laying   van   snow today 12/4/13 troubleshooting   wouldn't start.  checked  filter,  pump runs   not pump fuel,   trickle   carb. hope    fluke   ordered another one today.  local napa  one  wanted   hundred dollars    not complaining    .  read  one    reviews   pump   one year warranty   not able  find    use . amazon seems     30 day return policy.",1,0.4,0.2,0.709
11,"     vacuum  replace  1.5 hp shopvac   used  years.  straight    box,  new 4.5 hp vacuum seemed not   working.   expected 3x  suction,   got 1/10  suction   old vacuum.   couldn't pick   paper clip.   changed filters  tried  bag,   still wasn't working.   contacted shop-vac   mailed   new motor     install .   installed ,   still couldn't pick   toothpick.   contacted shop-vac .   said    likely  obstruction   hose.  pretending not   offended,  agreed  check  hose,    clear.   said, sorry",1,-0.114,0,0.546
12,"   not fit,  sending  back",1,0.2,-1,-0.276
13,"   owned  original sonicare  years   loved .      model,  expected   good performance     original.    sorely disappointed   fact   screw  brush heads  flimsy  didn't screw    base unit securely.   found  transfer   ultra-sonic vibrations  dampened   fact   brush heads didn't remain tightly connected   base unit.   using  model   year,   receiving negative feedback   dental hygienist.   ended  buying another brand  electronic toothbrush  still weren't getting  results  expected.  finally   sonicare flexcare model  snap  style heads.   model works beautifully.    recommend  not  sonicare products  screw  style brush heads   continuously loosen    base unit  degrades  performance.   snap  style heads available   sonicare models remain securely attached   base unit  therefore, transfer  ultrasonic vibrations   brush head   teeth  effectively.",1,0.175,-0.333,0.927
14,"  wrong size, no idea  plat form  different sizes.",1,-0.3,-1,-0.649
15,"   clips  like    rest.   try  compress   connect  something  slip   rubber coating     pain  actually use ",1,0,0.333,-0.202
16,"   teeth  not line   difficult  use     rebend  teeth line   can catch hair,  use  clean  dogs ears  hair growth.  disappointed :(",1,0.05,-0.333,0.105
17,"  don't waste  money  thees slippery little devils",1,-0.2,-1,-0.267
18,"  plastic fan blade  damaged  (bent)    motor  not turn.  since    plastic blade,   no way  bend  back  shape without breaking .",1,0.2,-1,-0.421
19,"  arrived broken.",1,-0.2,-1,-0.477
20,"  doesnt fit even though  states   fit  unit   1/  larger.",1,0.2,1,0.1
21,"   disappointed   defective part,didn't work now looking  another one,  go   basement  turn  heater manually every hour    zero chicago temperature",1,-0.4,-1,-0.718
22,"  wrong size!!!  much  hassle  return!",1,-0.4,-1,-0.645
23,"    one   15 years ago   napa store.   always worked great   temperature reading  always consistent  four  thermometers   garage   trust .  ordered  one  another  site.  thermometer  calibrated  india   always 5  6 degrees fahrenheit higher  four  thermometers   garage including  gas furnace thermometer.   not trust  calibration   new thermometer.  also  not trust anything  india.  know   unit  made  china     calibration certificate  foil calibration stamp  india.",1,0.3,0,0.458
24,"   nails  shipped within reasonable . however  frameing nailer  scheduled   shipped later.  hadna project scheduled   nailer  scheduled outside  date  need. therefore  nailer  canceled  thennails  not work   nailer purchased locally.nthe frameing nailer   shipped twice even though  order  cancelled.  times    refused.",1,-0.3,0,-0.494
25,"   fragile peg board clips.    broken  shiped.",1,-0.2,-1,-0.477
26,"  didn't work  ",1,0,0,0
27,"   chose  rating    no lower rating.  standard (conventional) bulb  came   flashlight  brighter  produces  far better pattern.",1,0.1,1,0.75
28,"  screw  cap pops  ugh!!",1,0,-1,-0.584
29,"     50va, not  75va.   transformer  not large enough   application.",1,0,0,0
30,"  not good   mount sink clips.  liquidity.",1,-0.4,-1,-0.341
31,"  cheap, worst peg hook   ever seen,   person   can see    get",1,-0.6,0,-0.625
32,"  0  3  .  great  storing liquid...terrible  spraying liquid.   three sent  duds.",1,0,0,0.625
33,"     no give    1 star   not   ps4     x box one  order  twice  go   thing twice can't rate    don't get ",1,-0.2,0,-0.296
34,"  not   good      one stripe  goes      trying  carry --one stripe  not enough    not keep  balance     safety comes   question.  not use   anything  . wasted  money,  high hopes    disappointed.nnfor  safety aspect   never recommend   -- otherwise  used good material    say.",1,0.143,0.25,-0.14
35,"    honest,  fact    not  anything  actually hold  pads   ridiculous.    use  get   polish  residue   wood floors.   waste.   returning  even though   lose money  .nit  not good.   cheap.    love   shark sonic duo now   see  else   ()",1,-0.04,0,-0.858
36,"  don't work  metal pegboard",1,0,0,0
37,"  don't expect    good - slippery - can't control  amount.",1,0.6,0,-0.341
38,"  nails looked like   just thrown   box.    not screw shank!nvery disappointed  ...take  advice   not order   people   ",1,0,0.333,0.685
39,"  no, no , no.  poor. save  money.",1,-0.12,-1,0.402
40,"    like playing slip  slide  moving 200+ lbs  [insert noun ]?  ,      ! essentially suspenders + somewhat functioning stopper mechanism +  piece  fabric = shoulder dolly.nnthe stopping mechanism slips... uhh, goodbye fingers!nthe shoulders can  shoulder  much, hello back pain!nthe piece  fabric doesn't secure anything --  .nna design overhaul  needed. good  super muscular dudes.",1,0.233,0.333,0.853
41,"   slightly rusted   can't even lock . absolutely useless.",1,-0.4,-1,-0.475
42,"  description says   22-1/4 wide.   needed   fit   22    doesn't.  otherwise,     perfect.",1,0.4,1,-0.128
43,"    received  .  got 25 lids   two cups.  thought  package stated 25 lids  cups.   wanted  exchange    right amount  amazon  allows   return .  not happy  ",1,0.6,0.333,-0.318
44,"  moves  v e r y  slowly, seems like  dinosaur compared   philips sonic care.  doesn't work well  .  don't like  small round head, either.  trashed mine.",1,0.4,0.6,0.417
45,"    cheaply made.   not spray well.   sorry   .",1,-0.2,0.333,-0.151
46,"   first six months  great,  needed  replace  bag . however  vacuum lost  power switch yesterday. turned    started cleaning ,     turn    switch  not work! try  try   thing  not turn .   unplugged    wall.  reason    big deal   someone pays close  100 dollars      last   six months,    reason    plug  back   unplug    sparks  least half inch long coming   outlet.  not   hurt someone,   make  outlet   house no good either.  far  care goes   well maintained. bag change  belt (  doesn't need one   never worked long enough).   worth 90 dollars, no.   take  top   look   motor  power switch  held together  cardboard.   switch  cheap plastic  no wonder   quit working. checked  see     replacement switch,  guess , eureka  discontinued  belts  bags,  no power switch.    bring    end,  20ft power cord  short,  bag beings  smell  ,  plastic, switch fails,   thing     power. save  money    cheaper bissell  hoover bagged uprights.   money  offer .",1,0.057,0.667,0.724
47,"   box  carton falls apart   try  install  real let ",1,0,0,0
48,"   cannot rate    haven't recieved .  recieved  stapler   not  staples yet.nralph lloyd",1,0,0,0
49,"  regret  purchased  spray bottles. although  spray  acceptable  screw- cap leaks no matter  much  tighten .  bottle always seems wet   outside   contents.   bottle happens  fall sideways,   leak fluid    surface   store .",1,-0.15,-0.5,-0.523
50,"   poor ! feel apart  first  used.",1,-0.4,-1,-0.525
51,"  stiff plastic. hard  affix  doesn't feel  secure.",1,0.1,0,-0.348
