"id","text","rating","afinn","lsd","vader"
1,"  tiny hooks",1,0,0,0
2,"  So I brought this vacuum and it says to screw the bag into the bottom of the vacuum cleaner but they never put the screw holes in the button of the vacuum cleaner to screw the bag in!",1,0.4,-0.2,0.326
3,"  Did not work......I do not know if boiler was too far gone, but it did not stop any leakage. But it was worth my effort and I did try 2 bottles.",1,0.1,0,0.569
4,"  Didn't work out so well while I was moving.",1,0,1,0.338
5,"  First spray bottle I used gave up the ghost in 3 weeks. Leaked all over the place and spray didn't work. It contained a mixture of vinegar, water,  and bleach...nothing that should have caused that amount of deteriation...SAVE YOUR BUCKS AND GO ELSEWHERE..",1,0,-1,-0.557
6,"  Very light and therefore did not scrub our tile grout lines very well at all.",1,0,1,0.338
7,"  Didn't se em to pi ck up di rt ve ry we ll at all. broom wo uld wo rk better",1,0.4,1,0.44
8,"  Doesn't fit the blades properly. Was kinda dangerous to try and use.",1,0.2,0.333,-0.602
9,"  Doesn't fix anything...very weak .",1,-0.4,-1,0.341
10,"  I purchased this pump less than 60 day ago and I was laying under my van in the SNOW today 12/4/13 troubleshooting why it wouldn't start. I checked the filter, the pump runs but will not pump fuel, only a trickle at the carb. Hope this is a fluke as I ordered another one today. My local NAPA has one but wanted over a hundred dollars so I am not complaining about the price here. I read in one of the other reviews that the pump has a one year warranty but am not able to find out how to use it. Amazon seems to only have a 30 day return policy.",1,0.4,0.2,0.799
11,"  I bought this vacuum to replace a 1.5 hp shopvac that I used for years.  Straight out of the box, this new 4.5 hp vacuum seemed not to be working.  I expected 3x the suction, but I got 1/10 the suction of my old vacuum.  I couldn't pick up a paper clip.  I changed filters and tried the bag, but it still wasn't working.  I contacted Shop-Vac and they mailed me a new motor that I had to install myself.  I installed it, but it still couldn't pick up a toothpick.  I contacted Shop-Vac again.  They said that there was likely an obstruction in the hose.  Pretending not to be offended, I agreed to check the hose, and it was clear.  They said, Sorry",1,-0.033,-0.5,0.83
12,"  did not fit, am sending it back",1,0.2,-1,-0.276
