"id","text","rating","afinn","lsd","vader"
1,"  result   negotiations  employment  130 blue -  white-collar employees   oulu plant   terminated .",-1,-0.143,0,0
2,"many   commercial vessels  got stuck   narrow bay  bothnia ,   ice  thicker ,  around  aaland islands .",-1,-0.714,0,-0.25
3," media group talentum  issued   warning .",-1,-1,0,-0.34
4,"agricultural newspaper maaseudun tulevaisuus  318,000 readers , representing  decrease  6 % .",-1,-0.143,0,0
5,"  taxes decreased   31.6    50.0   year  .",-1,-0.143,0,0
6,"``  can say   number  deals  become normalized   moment ,  therefore   decided  devalue  apartments now  sale , ''  added .",-1,-0.143,-1,0.077
7,"  separate announcement   helsinki stock exchange , atria revealed    's third quarter profits declined  eur13 .9 m   third quarter  last year  eur12 .7 m   year 's q3 .",-1,-0.143,0,0.44
8,"  decreased   91.6    109mn   corresponding period  2005 .",-1,-0.143,0,0
9,"paper stocks  among  biggest fallers ,  stora enso  2.30 pct  14.01  , m-real  2.86 pct  5.09   upm-kymmene 1.14 pct lower  19.10  .",-1,-0.143,0,-0.296
10,"commission income fell   4.6    5.1    corresponding period  2007 .",-1,-0.143,0,0
11,"20 october 2010 -  environmental management  lassila & tikanoja oyj hel : lat1v ,  l&t , said monday  expects  operating  , excluding non-recurring items ,   whole 2010   slightly lower    .",-1,-0.143,-1,-0.228
12,"  's annual loss amounted  eek 18mn , compared     eek 7.3   2008 .",-1,-1,-1,-0.318
13,"adpnews - feb 5 , 2010 -  real estate investor sponda oyj hel : sda1v said today   slipped    loss   81.5  usd 11.8 m        29.3   2008 .",-1,-1,-1,-0.318
14,"finnair believes  strike will cause  daily  losses  excess   2mn due  canceled reservations  passenger re-routing .",-1,-0.429,-1,-0.494
15," forest industry group stora enso oyj issued  thursday ( 20 march )   warning   first quarter 2008 .",-1,-1,-1,-0.34
16," personnel reduction will  carried   anjalankoski , hollola , jyvaskyla , jarvenpaa , karhula , turku  valkeakoski units .",-1,-0.143,0,0
17,"small investors  voiced fears   shares will end   risk investors .",-1,-0.286,-1,-0.402
18,"according    ,  addition  normal seasonal fluctuation  market situation  weakened  autumn 2008 .",-1,-0.143,0,-0.318
19," administrators  indicated  need  900 job cuts   irish insurer   next 15 months .",-1,-0.429,0,-0.296
20," services firm tietoenator  bucking  general trend , holding flat  22.70  ,  slipping back  earlier gains .",-1,0.429,0,0.34
21," steelmaker said   drop    explained   continuing economic uncertainty , mixed   current drought  bank lending , resulting   decline  demand   products  customers find  increasingly difficult  fund operations .",-1,-0.429,-1,-0.758
22,"diluted earnings per share ( eps ) stood   0.25 versus  0.42 .",-1,0.143,0,0.296
23,"( adpnews ) - feb 3 , 2010 - -based steel maker rautaruukki oyj ( hel : rtrks ) ,  ruukki , said today  slipped   larger--expected pretax loss   46  ( usd 64.5 m )   fourth quarter    ",-1,-1,-1,-0.318
24,"30 november  -  office furniture maker martela oyj hel : maras said today   will make redundant three people   nine will  laid  permanently    's office staff  factory workers .",-1,-0.143,-1,0
25," airline finnair  starting  temporary layoffs  cabin crews  february 2010 .",-1,-0.143,0,0
26," number  salaried employees  group administration employees   dismissed   sievi units  17 .",-1,-0.143,-1,0.077
27,"earnings per share ( eps ) amounted  eur1 .37 ,   eur2 .30 .",-1,0.143,0,0.296
28,"revenue   quarter fell 8 percent  ( euro ) 2.4 billion compared   year earlier .",-1,-0.143,0,0
29,"konecranes oyj kcr1v fh fell 5.5 percent  20.51 euros ,  biggest fall since june .",-1,-0.143,0,0
30,"relations   city    damaged  comments  mr ashley criticising city investors  analysts  `` cry babies '' .",-1,-0.429,-1,-0.827
31,"stora chief executive jouko karvinen  described  russian tariff hikes   threat   future   forest products industry   .",-1,-0.714,-1,-0.527
32,"adpnews - jul 17 ,  - -based steel maker rautaruukki oyj ruukki hel : rtrks said today  slipped    loss   184  usd 259.7 m   first half         2",-1,-1,-1,-0.318
33,"finnair said   cancellation  flights  cause daily losses   x20ac 2.5  us$ 3  .",-1,-0.143,-1,-0.402
34,"  plans  close two   three lines   plant ,   450 jobs   threat .",-1,-0.714,-1,-0.527
35," suominen corporation  makes wipes , nonwovens ,  flexible packaging , expects changes   market situation  reduce   suominen 's nonwovens  wet wipes   previously estimated volumes .",-1,-0.143,1,0.226
36,"operating loss totalled  0.9  ,       2.7  .",-1,-1,-1,-0.318
37,"operating loss totalled  3.2  , compared      7.2    third quarter  2008 .",-1,-1,-1,-0.318
38,"finnair 's total traffic decreased  8.7 %  terms  revenue passenger kilometres .",-1,-0.143,0,0
39,"  media advisory ,  ntsb said   subsequent testing , ``  train detection system intermittently failed . ''",-1,-0.714,-1,-0.511
40,"  baltic states   reports     11.9  ,    14.2  ,   operative ebit   -2.2  ,    -1.7  .",-1,-0.143,0,0
41,"revenue   quarter totaled 27.4 billion ,  2 percent  28.1 billion   fourth quarter  2008 .",-1,-0.143,0,0
42," capacity  cut  1.4 % ,  passenger load factor   7.8 percentage points .",-1,-0.429,0,-0.273
43,"qualcomm estimated  first-quarter   46  50 cents  share , excluding certain items ,   analyst estimate  61 cents  share .",-1,0.143,-1,0.67
44," automation solutions developer cencorp corporation ( omx helsinki : cnc1v ) issued  thursday ( 18 september )   warning   third quarter  2008 .",-1,-0.429,-1,-0.178
45,"yit 's baltic    first three quarters  2008 totaled 106.2  euros , representing  drop  29 percent year  year .",-1,-0.429,0,-0.273
46," department store division 's  fell  8.6 %   140.2  .",-1,-0.143,-1,0
47,"  fourth quarter  2008 ,   decreased   121.4    165.5    fourth quarter  2007 .",-1,-0.143,0,0
48,"- demand  fireplace products  lower  expected , especially  germany .",-1,-0.429,0,-0.402
49,"reported operating margin   negative 5.9 % .",-1,-0.714,-1,-0.572
50,"eps dropped  eur0 .2  eur0 .3 .",-1,-0.143,0,0
51,"operating    12-month period decreased  eur2 .9 m  turnover increased  eur24 .5 m ,  compared   financial year 2004 .",-1,0.143,0,0.273
52," addition ,   29 employees can  laid    notice   whole workforce can  laid   short periods  needed .",-1,-0.143,0,0
53,"revenue  slightly  ,   x20ac 495  $ 634  , compared   x20ac 497   year earlier .",-1,-0.143,0,0
54,"jul. 18 -- police  looking   man   say terrorized three males  gunpoint  east maple avenue  afternoon , shooting one    kidnapping another .",-1,-1,-1,-0.625
55," cash  operating activities   negative  0.3  , compared   30.9    .",-1,-0.714,-1,-0.572
56,"``  cut  frequency  new york last year ,  explains  fall , ''  said .",-1,-0.429,0,-0.273
57,"``  see   market continues   tight  magazine papers ,   target   close  deals   end   year . ''",-1,-0.143,0,0
58,"  bad news   barbeque season .",-1,-1,-1,-0.542
59,"result  taxes decreased  nearly  14.5  , compared  nearly  20mn   previous accounting period .",-1,-0.143,0,0
60," high court    fined seven local asphalt companies     lion ( $ 117  )  operating  cartel .",-1,-0.143,0,0
61," employment contracts  14   employees will end  march    result    's previous employer-employee talks .",-1,-0.143,0,0
62," international electronic industry  elcoteq  laid  tens  employees   tallinn facility ; contrary  earlier layoffs   contracted  ranks   office workers ,  daily postimees reported .",-1,-0.143,-1,0
63,"arcelormittal chief executive officer lakshmi mittal  already cut output   furnaces .",-1,-0.429,0,-0.273
64,"operating loss increased   17mn   loss   10.8   2005 .",-1,-0.619,-1,-0.361
65,"currently ,   foresees  pre-tax   remain    level   reached  700,000 usd 934,000 , compared  previous projections   slightly better pre-tax  .",-1,0.286,1,0.46
66," lay-offs will affect 240 people    total 320 okmetic employees   .",-1,-0.143,0,0
67," currency effect   3.0 pct ,  20 mln euro ( $ 31.3 mln ) , negative impact   revenue .",-1,-0.714,-1,-0.572
68,"  result   negotiations ,   will terminate total 5 employment contracts .",-1,-0.143,0,0
69,"operating loss  non-recurring items   0.9  , compared      11.5   2008 .",-1,-1,-1,-0.318
70,"  decreased   220.5    470.0    corresponding period   .",-1,-0.143,0,0
71,"aspocomp   large factory  china   factory building project  india   halted due  financing problems .",-1,-0.714,-1,-0.402
72," total  16.5  passenger ship journeys took place   northern baltic sea  2007 , slightly   16.5   2006 .",-1,-0.143,0,0
73," 1411 cet , arcelormittal  lost 7.26 %   17.38  euronext paris , coming   lead   blue-chip fallers .",-1,-1,-1,-0.318
74," measures result  decreased demand  technical design  product information .",-1,-0.429,0,-0.128
75," sweden ,    oversupply  pharmacies .",-1,-0.143,0,0
76,"according  arokarhu ,    purchases    scanned   cash register computer disappeared   total sum key  pressed .",-1,-0.429,0,-0.226
77,"operating loss amounted   0.7  compared      0.8    second quarter  2005 .",-1,-1,-1,-0.318
78," september alone ,  market declined  10.2 percent year--year  19.28  liters .",-1,-0.714,0,-0.25
79," construction  yit  reducing  number  start-ups  market-financed residential units  2007   2,300   previously announced 2,700 .",-1,-0.143,0,0.077
80,"ruukki group calculates    lost  4mn   failed project .",-1,-0.857,-1,-0.681
81,"operating  fell   35.4    68.8   2007 , including vessel  gain   12.3  .",-1,0.429,0,0.527
82,"salonen added  data shows producers ' pulp inventories  north america  declining . '",-1,-0.143,0,0
83,"  information  released  5 september 2008 , nokia 's american depositary shares fell  8 % .",-1,0.143,0,0.296
84,"operating  totalled  30.2  ,    43.8   year earlier .",-1,-0.143,0,0
85,"operating loss totaled  0.3  compared      2.2    corresponding period  2007 .",-1,-1,-1,-0.318
86," staff reduction will start immediately , glaston added .",-1,-0.143,0,0
87,"additionally ,   will terminate  maximum nine salaried  senior salaried employees ' employment contracts .",-1,-0.143,0,0
88,"rapala vmc corporation stock exchange release october 10 , 2008  11.45  kaupthing bank oyj ( `` kapthing '' )  informed rapala vmc corporation ( `` rapala '' )    interrupted  liquidity providing  rapala 's share   time  .",-1,-0.286,0,0
89,"  also upset     machinery  work  taken   poland .",-1,-0.714,-1,-0.382
90,"external     printing  fell  43.7 % , partly due   termination   printing contract  ilkka-yhtyma 's printing house -print oy  sector player hss media ab  december    fall  printing prices .",-1,-0.143,0,0
91," software  hardware developer elektrobit oyj hel : ebg1v ,  eb , said today  will temporarily lay    200 people   maximum  90 day   , aiming  achieve cost savings   1.7  usd 2m   second half  2010 .",-1,-0.143,1,0
92,"coca-cola   market leader  manufacturers   market share  36.9 % ,  2.2 %   corresponding period  2004-2005 .",-1,0.143,0,0.296
93,"outokumpu 's steel mill  tornio ,   ,   suspected source .",-1,-0.429,-1,-0.226
94,"  building  home improvement trade ,   totalled  1,173  ,    1,566   year earlier .",-1,0.429,1,0.459
95,"earnings per share eps  2005 decreased  eur0 .66  eur1 .15  2004 .",-1,0.143,0,0.296
96,"55 workers  +_m+_l will  affected   close- .",-1,-0.429,-1,-0.153
97,"`` capital expenditure  energy efficiency  unfortunately fallen along   decline   economy .",-1,-0.714,-0.333,-0.077
98," result will also  burdened  increased fixed costs associated  operations  china ,  restructuring costs  japan .",-1,-0.286,-1,-0.153
99,"  baltic countries ,  fell  42.6 % .",-1,-0.143,0,0
100,"also  city 's insurance  ,  p & c insurance ,  said  will  pay compensation .",-1,-0.429,1,-0.103
101," group 's operating loss   0.8  ,       2.5   2004 .",-1,-1,-1,-0.318
102,"pretax loss totalled  49.9  , compared   loss   15.4    corresponding period  2008 .",-1,-1,-1,-0.557
103,"-based stockmann group  closed seven franchising sports stores nike  russia .",-1,-0.143,0,0
104,"stora enso oyj said  second-quarter result  fall  half compared    period  2007 .",-1,-0.143,0,0
105," part   reorganisation measures  will take place  spring 2006 , tamglass finton will start personnel negotiations  will affect  entire staff  33 .",-1,-0.143,0,0
106,"finnlines estimated   annual general meeting  2008 will  financially  tough year due  large investments .",-1,-0.143,-1,-0.128
107," terms   aforementioned funding  considerably   bank 's current cds levels   market    maturity ranging  1  7.5 years .",-1,-0.143,1,0
108,"  result , 12 people will  made redundant   total  67 persons  laid  temporarily .",-1,-0.143,-1,0
109," fair value change  investment properties   15.8  , compared   22.9    third quarter   .",-1,0.429,1,0.572
110," technology  raute corporation ( omx helsinki : rutav ) issued  tuesday ( 23 september )   warning   financial year 2008 .",-1,-1,-1,-0.34
111,"myllykoski ,  one paper plant   , one   us  three  germany ,  revenues  eur286m   first half  2010   operating loss  eur12m , reuters said .",-1,-1,-1,-0.318
