"id","text","rating","afinn","lsd","vader"
1,"a a result of the negotiations the employ of 130 blue - and white - collar employee at the oulu plant would be terminate.",-1,0,0,0
2,"many of the commercial vessel had got stuck in the narrow bay of bothnia, where the ice i thick, and around the aaland island.",-1,-0.4,0,-0.25
3,"finnish media group talentum ha issue a fit warn.",-1,0.067,0.333,0.542
4,"agricultural newspaper maaseudun tulevaisuus had 318,000 read, represent a crease of 6 %.",-1,0,0,0
5,"fit before tax crease to eur 31.6 mn from eur 50.0 mn the year before.",-1,0.2,1,0.361
6,"`` we can say that the numb of deal ha become normalize by the moment, and therefore we have decide to value our apartment now on sale, '' he add.",-1,0.1,-1,0.34
7,"in a separate announce to the helsinki stock exchange, atria reveal that the company 's third quarter fit decline from eur13 .9 m in the third quarter of last year to eur12 .7 m in this year 's q3.",-1,0.2,1,0.361
8,"net sale crease to eur 91.6 mn from eur 109mn in the correspond period in 2005.",-1,0,0,0
9,"paper stock were among the biggest fallers, with stora enso down 2.30 pct to 14.01 eur, m - real down 2.86 pct to 5.09 eur and upm - kymmene 1.14 pct low at 19.10 eur.",-1,0,0,-0.273
10,"commission come fell to eur 4.6 mn from eur 5.1 mn in the correspond period in 2007.",-1,0,0,0
11,"20 october 2010 - finnish environmental manage company lassila & tikanoja oyj hel: lat1v, or l & t, said monday it expect it operate fit, exclude non - recurring item, for the whole 2010 to be slight low than in 2009.",-1,0,0,0.42
12,"the company 's annual loss amount to eek 18mn, compare to a fit of eek 7.3 mn in 2008.",-1,-0.2,0,0.052
13,"adpnews - feb 5, 2010 - finnish real estate investor sponda oyj hel: sda1v said today that it slipped to a net loss of eur 81.5 million usd 11.8 m in 2009 from a fit of eur 29.3 million in 2008.",-1,-0.2,0,0.052
14,"finnair believe the strike will cause it daily net loss in excess of eur 2mn due to cancel reservation and passenger re - routing.",-1,-0.333,-1,-0.586
15,"finnish forest industry group stora enso oyj issue on thursday ( 20 march ) a fit warn for the first quarter 2008.",-1,-0.1,0,0.273
16,"the personnel reduction will be carry out in anjalankoski, hollola, jyvaskyla, jarvenpaa, karhula, turku and valkeakoski it.",-1,0,0,0
17,"small investor have voice fear that the share will end up with risk investor.",-1,-0.2,-1,-0.477
18,"accord to the company, in addition to normal seasonal fluctuate the market situate ha weaken during autumn 2008.",-1,0.4,0.333,-0.103
19,"the administrator have indicate a need for 900 job cut at the irish insure over the next 15 months.",-1,-0.2,0,-0.273
20,"it service firm tietoenator was buck the general trend, hold flat at 22.70 eur, aft slipping back from early gain.",-1,0.4,0,0.527
21,"the steelmaker said that the drop in fit was explain by the continue economic certainty, mix with the current drought in bank lend, result in a decline in demand for it duct a custom find it increasing difficult to fund operate.",-1,-0.1,0,-0.153
22,"dilute earn p share ( eps ) stood at eur 0.25 versus eur 0.42.",-1,0.2,0,0.296
23,"( adpnews ) - feb 3, 2010 - finland - base steel maker rautaruukki oyj ( hel: rtrks ), or ruukki, said today it slipped to a large - than - expect pretax loss of eur 46 million ( usd 64.5 m ) in the four quarter of 2009 from a",-1,-0.6,-1,-0.318
24,"30 november 2009 - finnish office furniture maker martela oyj hel: maras said today that it will make redundant three people and other nine will be laid off permanent from the company 's office staff and factory worker.",-1,0,-1,0
25,"finnish airline finnair i start the temporary layoff of cabin crew in february 2010.",-1,0,0,0
26,"the numb of salary employee and group administrate employee to be miss from the sievi it i 17.",-1,-0.3,-1,-0.459
27,"earn p share ( eps ) amount to eur1 .37, down from eur2 .30.",-1,0.2,0,0.296
28,"venue in the quarter fell 8 percent to ( euro ) 2.4 billion compare to a year early.",-1,0,0,0
29,"konecranes oyj kcr1v fh fell 5.5 percent to 20.51 euro, the biggest fall since june.",-1,0,0,0
30,"relate with the city have been further damage by comment from mr ashley criticising city investor and analyst a `` cry baby ''.",-1,-0.4,-1,-0.84
31,"stora chief execute jouko karvinen ha describe the russian tariff hike a a threat to the future of the forest duct industry in finland.",-1,0,-1,-0.25
32,"adpnews - jul 17, 2009 - finland - base steel maker rautaruukki oyj ruukki hel: rtrks said today it slipped to a net loss of eur 184 million usd 259.7 m for the first half of 2009 from a net fit of eur 2",-1,-0.2,0,0.052
33,"finnair said that the cancellation of flight would cause daily loss of x20ac 2.5 million us$ 3 million.",-1,-0.6,-1,-0.318
34,"the company plan to close two of the three line at the plant, where some 450 job are under threat.",-1,-0.4,-1,-0.527
35,"finnish suominen corporate that make wipe, nonwovens, and flexible package, expect change in the market situate to reduce sale of suominen 's nonwovens and wet wipe from the previous estimate volume.",-1,0,1,0.226
36,"operate loss totalled eur 0.9 mn, down from a fit of eur 2.7 mn.",-1,-0.2,0,0.052
37,"operate loss totalled eur 3.2 mn, compare to a fit of eur 7.2 mn in the third quarter of 2008.",-1,-0.2,0,0.052
38,"finnair 's total traffic crease by 8.7 % in term of venue passenger kilometres.",-1,0,0,0
39,"in a media advisory, the ntsb said that aft subsequent test, `` the train detection system intermittent fail. ''",-1,-0.4,-1,-0.542
40,"in the baltic state the company port net sale of eur 11.9 mn, down from eur 14.2 mn, and an operate ebit of eur -2.2 mn, down from eur -1.7 mn.",-1,0,0,0
41,"venue for the quarter total 27.4 billion, down 2 percent from 28.1 billion in the four quarter in 2008.",-1,0,0,0
42,"a capacity was cut with 1.4 %, the passenger load factor was down 7.8 percentage point.",-1,-0.2,0,-0.273
43,"qualcomm estimate a first - quarter fit between 46 and 50 cent a share, exclude certain item, below the analyst estimate of 61 cent a share.",-1,0.12,0,0.727
44,"finnish automate solute developer cencorp corporate ( omx helsinki: cnc1v ) issue on thursday ( 18 september ) a fit warn for the third quarter of 2008.",-1,-0.1,0,0.273
45,"yit 's baltic sale in the first three quarter of 2008 total 106.2 million euro, represent a drop of 29 percent year on year.",-1,-0.2,0,-0.273
46,"the department store division 's sale fell by 8.6 % to eur 140.2 mn.",-1,0,-1,0
47,"in the four quarter of 2008, net sale crease to eur 121.4 mn from eur 165.5 mn in the four quarter of 2007.",-1,0,0,0
48,"- demand for fireplace duct was low than expect, especial in germany.",-1,-0.2,0,-0.382
49,"port operate margin was a negate 5.9 %.",-1,0,-1,0
50,"eps dropped to eur0 .2 from eur0 .3.",-1,0,0,0
51,"operate fit for the 12 - month period crease from eur2 .9 m while turnover crease from eur24 .5 m, a compare to the financial year 2004.",-1,0.2,1,0.361
52,"in addition, a further 29 employee can be laid off until further notice and the whole workforce can be laid off for short period if need.",-1,0,0,0
53,"venue was slight down, at x20ac 495 million $ 634 million, compare to x20ac 497 million a year early.",-1,0,0,0
54,"jul. 18 - - police are look for a man who they say terrorize three male at gunpoint on east maple avenue this afternoon, shoot one of them and kidnapping another.",-1,-0.4,-0.333,-0.772
55,"net cash from operate activities was a negate eur 0.3 mn, compare to eur 30.9 mn in 2009.",-1,0,-1,0
56,"`` we cut our frequency to new york last year, which explain the fall, '' he said.",-1,-0.2,0,-0.273
57,"`` we see that the market continue to be tight in magazine paper, and our target i to close the deal by the end of the year. ''",-1,0,0,0
58,"this i bad new for the barbeque season.",-1,-0.6,-1,-0.542
59,"result before tax crease to near eur 14.5 mn, compare to near eur 20mn in the previous account period.",-1,0,0,0
60,"a high court in finland ha fine seven local asphalt company more than lion ( $ 117 million ) for operate a cartel.",-1,0.4,0,0.494
61,"the employ tract of 14 of the employee will end in march 2009 a a result of the company 's previous employer - employee talk.",-1,0,0,0
62,"the international electronic industry company elcoteq ha laid off t of employee from it tallinn facility; contrary to early layoff the company contract the rank of it office worker, the daily postimees port.",-1,0.4,-1,0.34
63,"arcelormittal chief execute office lakshmi mittal ha already cut output at some furnace.",-1,0.1,0,0.077
64,"operate loss crease to eur 17mn from a loss of eur 10.8 mn in 2005.",-1,-0.6,-1,-0.557
65,"current, the company foresee it pre - tax fit to remain below the 2009 level when it reach eur 700,000 usd 934,000, compare with previous projection of a slight better pre - tax fit.",-1,0.25,1,0.772
66,"the lay - offs will affect 240 people out of the total 320 okmetic employee in finland.",-1,0,0,0
67,"the currency effect had a 3.0 pct, or 20 mln euro ( $ 31.3 mln ), negate impact on the venue.",-1,0,-1,0
68,"a a result of the negotiations, the company will terminate total 5 employ tract.",-1,0,0,0
69,"operate loss before non - recurring item was eur 0.9 mn, compare to a fit of eur 11.5 mn in 2008.",-1,-0.2,0,0.052
70,"net sale crease to eur 220.5 mn from eur 470.0 mn in the correspond period in 2009.",-1,0,0,0
71,"aspocomp ha a large factory in china and a factory build project in india that was halt due to finance problem.",-1,0,-1,-0.077
72,"a total of 16.5 mn passenger ship journey took place in the northern baltic sea in 2007, slight down from 16.5 mn in 2006.",-1,0,0,0
73,"at 1411 cet, arcelormittal had lost 7.26 % to eur 17.38 on euronext paris, come at the lead of the blue - chip fallers.",-1,-0.6,-1,-0.318
74,"the measure result from crease demand in technical sign and duct information.",-1,-0.2,0,-0.128
75,"in sweden, there i an oversupply of pharmacy.",-1,0,0,0
76,"accord to arokarhu, some of the purchase that had been scanned to the cash register computer appear when the total sum key was press.",-1,0,1,0
77,"operate loss amount to eur 0.7 mn compare to a fit of eur 0.8 mn in the second quarter of 2005.",-1,-0.2,0,0.052
78,"in september alone, the market decline by 10.2 percent year - on - year to 19.28 million lit.",-1,-0.4,0,-0.25
79,"finnish construction company yit i reduce the numb of start - ups of market - financed residential it in 2007 to about 2,300 from the previous announce 2,700.",-1,-0.2,-1,-0.34
80,"ruukki group calculate that it ha lost eur 4mn in the fail project.",-1,-0.2,-1,-0.527
81,"operate fit fell to eur 35.4 mn from eur 68.8 mn in 2007, include vessel sale gain of eur 12.3 mn.",-1,0.3,1,0.71
82,"salonen add that data show produce ' pulp inventory in north america are decline. '",-1,0,0,0
83,"when this information was lease on 5 september 2008, nokia 's american depositary share fell by 8 %.",-1,0.2,0,0.296
84,"operate fit totalled eur 30.2 mn, down from eur 43.8 mn a year early.",-1,0.2,1,0.361
