"id","text","rating","afinn","lsd","vader"
1,"home secretary right deal theme value. value lord carlile referred criticised excess use section 44 terrorism act 2000? describe use substantial encroach reason expectation public large face police intervention live reason suspicion commit crime. not value threaten event labour party conference stance person told not walk cycle pa occur?",-1,-0.15,-0.75,-0.638
2,"can tell coalition determine pick children? right agree measure due financial constraint, conservative kept ctf mechanism place, given success, perhaps cut contribute view instate time better rather abolish fund altogether?",-1,0.2,0.429,0.811
3,"agree programme mote demonstrate strange order priority give law homophobic hatred hour, likely use given year, implement, probably tiny, law murder apply every week court?",-1,-0.133,-0.6,-0.848
4,"understand secretary state argument, concentrate country rather individual case give cause concern. particular country safe large, might not certain individual. current example india. large, someone turn india may relative safe, not necessarily true originate kashmir, example. concentrate country rather individual, dang justice might done.",-1,0.28,0.333,0.551
5,"solicitor - general outline way police tact cps cps make decisions. seem ambitious think done 48 hour. pilot achieve?",-1,0.4,1,0.477
6,"explain get around conundrum raise another place contrast birmingham coventry? say airport can raise charge problem, no duty monitor, recognise problem? no duty monitor duty charge, impose constraint airport coventry apply designate airport?",-1,-0.28,-1,-0.89
7,"sure agree half population women vast majority successful contribute, not victim, labour party u believe. agree local business employ small numb benefit regulate, enable off job even women, can fit children school?",-1,0.114,0.714,0.915
8,"congratulate work put, worthwhile contribute localism. agree one great virtue localism give elect local authority opportunity inculcate value local community? tendring council might value want mote text legislate, socialist local authority might want implement socialism local.",-1,0.3,1,0.971
9,"vein transparency, open frank, care put cord date lead opposite agree pose name?",-1,0.3,0.6,0.691
10,"right lady recognise opacity conventional account worry front existence operate granite, not come notice even quite experience observe northern rock relative late stage life remain subject considerable certainty? one reason form audit sought. not run risk ensure party support move amend not tribute?",-1,-0.1,0,0.584
11,"right agree grant choice not simply fair? example, settlements fire rescue authority dangerous. nottinghamshire, numb fire tender appliance apparent go reduce 36 30. fund decisions create real serious risk. lady make important point politician obsess debt reduction cost everything else may well find jeopardy. not mind chancellor exchequer attitude, think support?",-1,0.029,0.231,-0.651
12,"concern, given nature change, 10 - year restriction inter - busy agree might end bad post office?, new provide may come, might welcome flexibility negotiate agree. scenario paint, might not possible post office say royal mail, "" well, go u, look taking postal service provide not current accept, run competition service. like u? "" hon negotiate. agree problem scribe affect not just post office, business neighbourhoods rural community general, vision 's localism white paper, "" local grow: realising every place's potential, "" might help stimulate interest community local support business? talk good bad manage past. agree not let post office manage hook continue innovate term deliver service, particular relate roll - post office local service? service integrate well exist business, village urban area. not accept, cuss committee, post office remain owner post office brand busy large tail footprint country, give considerable power negotiate royal mail? existence busy agreement post office royal mail no guarantee keep post office open. sure lesson past 10 year. not think case might argue way? taking royal mail sale, one demonstrate one secure agree post office network major tail outlet provide sound foot service point sale. network interest getting b possible deal royal mail. cuss, inherent attractiveness post office one great bargain tool. no tail outlet country can off bread numb location post office. even major supermarket - probably major bank branch - combine not reach scale post office. yet convince realistic tail alternate whereby royal mail take busy wholesale post office g someone else. picture paint opposite member.",-1,0.135,0.5,0.989
13,"right referred ecclesiastical language beginning speech. not dangerous, mean u harm already try use religion inappropriate justify action, use terminology legislate perhaps enable, rather less, easily? agree dang opponent, enemy want act against state might encourage make statement vocation? way force attorney - general make decision thus drag matte political firmament.",-1,-0.033,0,0.236
14,"share concern perverse external tariff impoverish third - world nation, hand money department international develop try raise standard?",-1,0.2,-1,0.382
15,"grateful chancellor give way, particular grateful address question put yesterday. concern nervous bank build society community, sure just said study careful. may link point one make need supervisory form? now form financial service market act, financial service authority monitor solvency small lend. therefore ask fsa monitor impact market commercial competitive advantage accrue northern rock result nationalisation? whatever assurance give, public might different view. know intervention yesterday today much share concerns. also taken board fact likely offer northern rock depositor wide imply undermine gilt market? undoubted view city london.",-1,0.222,0.4,0.914
16,"make excellent contribute referring matte relate specifically family, given husband dual citizenship, mother - - law. agree right european citizen live uk participate referendum particular issue u london constituency home huge numb french, german spanish citizen, perhaps know b importance relationship country european ion?",-1,0.24,0.5,0.822
17,"grateful right give way. thirst reduce local authority autonomy way allow pursue redistributionist agenda, incumbent first consider efficacy otherwise exist policy. text, oblige tell u assess made effect change rule use capital receipt sale council house last size interest payment local authority debt?? always particular pleasure joust endless tergiversations chameleon - like behaviour liberal democrat readily absorb avail today, not seem profit u allow happen. question like answer question ask, not not. can right simply tell non - partisan basis assess made effect change made previous policy toward use capital receipt sale council house level interest payment local authority debt? fortunate, right ' s position not; perverse appetite nationalisation local decision make seem satiable. not least cede local authority substantial debt source sale council house, responsibility use latte pay former, benefit council ' legitimate acquire fund?",-1,0.168,0.556,0.97
18,"agree many member better regulate saviour sibling technology tight country instead force whitakers travel long distance traumatic period live? went chicago, already told. regulator far allow treatment aplastic anaemia, diamond blackfan anaemia beta thalassaemia. regulator decide condition can treat saviour sibling technology, turn determine tissue can taken. agree?",-1,0.1,0.6,0.861
19,"listen careful right great respect work secretary state heal. acknowledge, however, group identify, deal, already pay care pocket condition deteriorate year? reason, consistent form individual pay something toward care, not bear whole cost, can case catastrophically high, know. right seem no appreciate already paid large amount toward cost care.",-1,0.222,0.692,0.936
20,"grateful courtesy. say small numb cuss issue place. no scottish member stand committee labour party, liberal democrat party scottish national party? agree conservative member advantage. however, nice scottish member bate issue.",-1,0.257,0.667,0.936
21,"aster.",-1,0,0,0
22,"concern may deliberate make frivolous vexatious complaint, even no prospect upheld speak, view establish negate press story involve? not also rather satisfactory unsafe assumption support mote, servant agent act, leak sensitive information? not also possible information accidental leak, way given third party, against interest? might not passe mote also open sphere misuse complaint procedure, whereby mere fact complaint bring adverse criticism head? interest principle natural justice? believe guilty prove innocent, innocent prove guilty unless chamber? ministerial code duct make clear minister equal, even place, lead not concern mote particular error silent minister place?",-1,-0.08,-0.333,-0.566
23,"right prepare accept manuscript amend? not bring u draft regulations pose? common practice legislate text, committee often allow look draft regulations, not u.",-1,0.2,1,0.594
24,"slight puzzle subsection, state: "" chancellor exchequer shall publish forecast base expect direction international oil price. "" already happen. found six reference oil price forecast financial state budget port. one forecast dependent audit national audit office, read directly forecast north sea venue hydrocarbon fuel duty, not understand pose new obligate make forecast. oil price particular volatile,, goes, make judgment whether spike structural change? significant flaw proposal. suggest mechanism rather like commodity agreement international market 1980s whereby price go duty cut go symmetrical arrange way round? hear thoughtful speech right member w dorset last week climate change, suggest order political party stop use fuel price issue political football, decisions neutralised sett dependent authority? say afternoon not seem wholly consistent right say last week.",-1,0.143,0.167,0.853
25,"issue age three, certain visit numb child care sure start centres many parent benefit free child care offer said now start think employ train. one benefit putt legislate scheme place enable parent get help support, not always past, enable get back work.",-1,0.289,0.75,0.969
26,"may point right century numb labour member believe nationalisation bank? can secretary state explain liabilities huge? part reason fact royal mail took 13 - year contribute holiday 1980s 1990s? apply logic part public sector heal service defence? logic hang together apply service, not apply service? rigours private sector. lady accept post office close year labour 13 year office? agree? seen today liberal democrat cover long - term view conservative party, always want privatise royal mail. far back 1992 michael heseltine clear want, public not let. came back 1994 plan similar put forward labour last round, plan fail, last year. thankful, country not want. heard today rigours privatisation. mean taking away service, screw worker ground, give public money private company taking money country. happen gas, electricity water service. please mention work force can now ask, believe new politic, not ballot work force? say ye privatisation, shut go home. walk aye lobby work force want - think losser. example. tell sid privatise utility, also create pension mess clean today. 13 year pension holiday previous tory government l royal mail face 38 year pay back pension. main reason today comment public pick. someone said early, get bad part private sector get good part. exact happen coal industry: privatised now buy coal ukraine china. put 200,000 mine dole, not matte: rigours privatisation. rigours privatisation mean 6,000 china kill coal mine year, nobody side care. happen rail service? happen railtrack? fail. happen gner east coast main line? fail. happen east coast railway? fail. public sector come pick mess, happen. also seen develop market heal service. compulsory competitive tender ear 1990s - ideological driven part - privatisation meant ordinary worker given live public service sent work joe bloggs clean company. seen foundation trust market - l rigours.? hospital constituency close laundry. now, 5 million piece laundry taken 140 mile, north - east leicester back, cheap. rigours privatisation - forgetting fact 90 laundry worker sack. shall see exact the royal mail. clear can situate. said early member sou swindon - work together gurkhas - real believe want privatisation, hon. go hold referendum: ask work force think. royal mail no longer allow call royal mail, no longer allow put queen head stamp. mail service probably subject vat. clear public not want measure. worker not want. majority opposite bench not want, truth half bench not want either, driven - thank lady intervention. like meet outside lobby, take name address pass general secretary communicate worker ion. ask write 700 member beeston ask tact mp tell happy work tnt deutsche bank, happy see pension, shift allowance job go riv. worker want, rigours privatisation deliver. track cord cannot deny. can pretend not happen, truth. clear nothing new - welcome 's view; perhaps like join u. numb u labour bench believe away vital public service huge mistake. cannot deny. truth eye. country not want water, gas electricity provide french germans, certain not want postal service deliver dutch, germans french, shall end conservative dupe support way.",-1,0.07,0.107,0.983
