"id","text","rating","afinn","lsd","vader"
1,"the home secretary i right deal with the theme of value. what about the value to which lord carlile referred when he criticised the excess use of section 44 of the terrorism act 2000? he describe it use a a substantial encroach to the reason expectation of the public at large that they would face police intervention in their live on if there was a reason suspicion that they would commit a crime. i not that value threaten if event such a those at the labour party conference or the stance of the person who was told that she could not walk on a cycle pa occur?",-1,-0.071,-0.714,-0.638
2,"can the minister tell me why this coalition govern are so determine to pick on children? doe my right hon friend agree that if the measure were due to financial constraint, the conservative would have kept the ctf mechanism in place, given it success, and perhaps cut the contribute with a view to instate them when time were better rather than abolish the fund altogether?",-1,0.429,0.5,0.89
3,"doe the hon gentleman agree that the programme mote demonstrate a strange order of priority by give the law of homophobic hatred an hour, when it likely use in any given year, if implement, will probably be tiny, while the law of murder i apply every week in our court?",-1,-0.048,-0.6,-0.848
4,"i understand the secretary of state argument, but hi concentrate on country rather than individual case give me cause for concern. a particular country could be safe by and large, but it might not be so for certain individual. a current example i india. by and large, someone turn to india may be relative safe, but that i not necessarily true if they originate from kashmir, for example. in concentrate on the country rather than the individual, the dang i that justice might be done.",-1,0.543,0.333,0.912
5,"the solicitor - general outline the way in which the police will tact the cps and how the cps will make decisions. it seem ambitious to think that that will all be done in 48 hour. have the pilot achieve that?",-1,0.714,1,0.477
6,"will the minister explain how we get around the conundrum that was raise in another place about the contrast between birmingham and coventry? she say that an airport can raise charge when there i a problem, but if it ha no duty to monitor, how will it recognise that there i a problem? if there i no duty to monitor and a duty to charge, how do we impose the same constraint on an airport such a coventry a those that apply to the designate airport?",-1,-0.095,-1,-0.882
7,"i am sure that the minister will agree that half the population are women and the vast majority of them are successful and contribute, not victim, a the labour party would have u believe. doe she agree that local business employ on a small numb of people will benefit from more regulate, which would enable them to off job to even more women, which they can fit in with have children at school?",-1,0.306,0.714,0.949
8,"i congratulate my hon friend on the work he put to the bill, which i a worthwhile contribute to localism. doe he agree that one great virtue of localism i that it give elect local authority the opportunity to inculcate their value in the local community? tendring council might have value it want to mote in the text of the legislate, but socialist local authority might want to implement more socialism local.",-1,0.571,1,0.927
9,"a we are in a vein of transparency, open and frank, will the hon gentleman care to put on cord the date on which the lead of the opposite agree to the pose name?",-1,0.571,0.6,0.691
10,"doe the right hon lady recognise that it i the very opacity of conventional account that worry people when they are front by the existence of operate such a granite, which did not come to the notice of even quite experience observe of northern rock until a relative late stage in it life and remain the subject of considerable certainty? that i one of the reason why other form of audit are bee sought. doe not what the hon gentleman i do run the risk of ensure that a party that support this bill and that move the amend will not tribute to the bate?",-1,0,0,0.686
11,"doe my right hon friend agree that some of these grant choice are not simply about fair? for example, some of the settlements for the fire and rescue authority could be very dangerous. in nottinghamshire, the numb of fire tender appliance i apparent go to be reduce from 36 to 30. these fund decisions are create real serious risk. the hon lady i make an important point about how politician who are obsess with debt reduction at the cost of everything else may well find themselves in jeopardy. doe that not mind h of the chancellor of the exchequer attitude, who i think she i support?",-1,0.184,0.286,-0.343
12,"i the hon gentleman concern that, given the nature of change, a 10 - year restriction on the inter - busy agree might end up bee bad for the post office? under the bill, new provide may come in, so it might welcome the flexibility to negotiate the agree. in the scenario that the hon gentleman paint, might it not be possible for the post office to say to royal mail, "" well, if you are go to do this to u, we will look at taking postal service from provide from whom we do not current accept them, and run them in competition with your service. would you like u to do that? "" it would be an hon negotiate. doe my hon friend agree that the problem he scribe affect not just post office, but business in neighbourhoods and rural community in general, and that some of the vision in the government localism bill and in the white paper, "" local grow: realising every place's potential, "" might help to stimulate interest in community and local govern to support those business? my hon friend talk about good and bad manage in the past. doe he agree that we should not let post office manage off the hook and that they should continue to innovate in term of how they deliver their service, particular in relate to the roll - out of the post office local service? that service could integrate well to exist business, both in village and urban area. doe the hon gentleman not accept that, a cuss in committee, the post office remain the owner of the post office brand and the busy with the large tail footprint in the country, which give it considerable power in negotiate with royal mail? the existence of busy agreement between the post office and the royal mail ha been no guarantee of keep post office open. sure that i the lesson of the past 10 year. doe the hon gentleman not think that the case might be argue the other way? in taking royal mail to sale, one ha to demonstrate that one ha a secure agree with the post office network a a major tail outlet that provide a sound foot for service at the point of sale. it i in the network interest in getting the b possible deal for royal mail. a we have cuss, that i the inherent attractiveness of the post office and one of it great bargain tool. no tail outlet in this country can off the bread and numb of location of the post office. even the major supermarket - and probably all the major bank branch - combine do not reach the scale of the post office. i am yet to be convince that there i a realistic tail alternate whereby the royal mail could take it busy wholesale out of the post office and g it to someone else. that i the picture paint by some opposite member.",-1,0.37,0.526,0.996
13,"my right hon friend referred to ecclesiastical language at the beginning of hi speech. i not it dangerous, when those who mean u harm already try to use religion inappropriate to justify their action, to use terminology in our legislate that would perhaps enable them to do that more, rather than less, easily? doe my hon friend agree that there i a dang that our opponent, enemy and people who want to act against the state might be encourage to make such statement and vocation? in that way they could force the attorney - general to make a decision and thus drag the matte to the political firmament.",-1,0.095,0,0.823
14,"doe my hon friend share my concern that it i perverse that the external tariff impoverish third - world nation, and that we then hand money over through the department for international develop to try to raise their standard?",-1,0.429,-0.5,0.7
15,"i am grateful to the chancellor for give way, and i am particular grateful that he i address the question that i put to him yesterday. there i concern and nervous in the bank and build society community, and i am sure that what he ha just said will be study careful. may i link this point to the one that he was make about the need for supervisory form? between now and the form of the financial service and market act, the financial service authority will have to monitor the solvency of all the small lend. will he therefore ask the fsa to monitor the impact on the market of any commercial or competitive advantage that accrue to northern rock a a result of nationalisation? whatever assurance he give the house, the public might have a different view. my hon friend know from my intervention yesterday and today that i very much share hi concerns. ha he also taken on board the fact that the likely offer of northern rock to depositor could have such wide imply that it could undermine the gilt market? that i undoubted the view in the city of london.",-1,0.507,0.455,0.964
16,"my hon friend i make an excellent contribute and referring to matte that relate specifically to my family, given that my husband ha dual citizenship, a doe my mother - in - law. doe he agree that the right of european citizen live in the uk to participate in the referendum i a particular issue for those of u with london constituency that are home to huge numb of french, german and spanish citizen, who perhaps know b about the importance of relationship between country in the european ion?",-1,0.524,0.6,0.922
17,"i am grateful to the right hon gentleman for give way. before thirst to reduce local authority autonomy in such a way a to allow him to pursue hi redistributionist agenda, it i incumbent on him first to consider the efficacy or otherwise of exist policy. in that text, will he oblige the house by tell u what assess he ha made of the effect of the change in the rule on the use of capital receipt from the sale of council house in the last parliament on the size of interest payment on local authority debt? where i it? it i always a particular pleasure to joust with the minister but the endless tergiversations and chameleon - like behaviour of the liberal democrat could readily absorb all the time avail for bate today, and it doe not seem very profit for u to allow that to happen. the question that i would like answer i the question that i did ask, not that which i did not. can the right hon gentleman simply tell me on a non - partisan basis what assess he ha made of the effect of the change made in the previous parliament on policy toward the use of capital receipt from the sale of council house on the level of interest payment on local authority debt? fortunate, the right hon gentleman position will not do; it i a perverse a hi appetite for nationalisation of local decision make seem satiable. doe he not at least cede that where a local authority ha substantial debt and some source from the sale of council house, it ha a responsibility to use the latte to pay off the former, before benefit from other councils' legitimate acquire fund?",-1,0.441,0.556,0.977
18,"would the hon gentleman agree with many other member that it i better to regulate saviour sibling technology tight in this country instead of force people such a the whitakers to travel long distance at a traumatic period in their live? they went to chicago, a we have already been told. the regulator ha so far allow such treatment for on aplastic anaemia, diamond blackfan anaemia and beta thalassaemia. the regulator decide which condition can be treat by the saviour sibling technology, which in turn determine which tissue can be taken. would the hon gentleman agree with that?",-1,0.347,0.6,0.905
19,"i am listen careful to the right hon gentleman and i have great respect for the work that he did a secretary of state for heal. doe he acknowledge, however, that the group of people he i identify, with whom the bill deal, have already been pay for their care out of their own pocket a their condition ha deteriorate over the year? for that reason, the bill i consistent with the form in which individual pay something toward their own care, but do not have to bear the whole cost, which can in some case be catastrophically high, a we know. the right hon gentleman seem to have no appreciate that these are people who will already have paid out a large amount toward the cost of their own care.",-1,0.486,0.692,0.869
20,"i am grateful to the minister for hi courtesy. the minister say that a small numb of people cuss the issue in the other place. why were there no scottish member on the stand committee from the labour party, the liberal democrat party or the scottish national party? i agree that conservative member are at a advantage. however, it would have been nice if some scottish member had bate these issue.",-1,0.51,0.667,0.936
21,"it was a aster.",-1,0.143,0,0
22,"i my hon friend concern that people may deliberate make frivolous or vexatious complaint, even if they have no prospect of bee upheld by the speak, with a view to establish negate press story about the minister involve? i it not also a rather satisfactory and unsafe assumption for those support the mote that it i the minister, or a servant or agent act for the minister, who leak sensitive information? i it not also possible that the information was accidental leak, or in some way given by a third party, against the interest of the govern? might not passe this mote also open up the sphere for misuse of the complaint procedure, whereby the mere fact of a complaint would bring down adverse criticism on the head of the govern and the minister? i the hon gentleman interest in the principle of natural justice? doe he believe that people ought to be guilty until prove innocent, or that people ought to be innocent until prove guilty unless they are in this chamber? the ministerial code of duct make it clear that all minister are equal, even those in the other place, so i the lead of the house not concern that this mote i particular in error because it i silent about the minister in the other place?",-1,0.029,-0.286,0.725
23,"i my right hon friend prepare to accept manuscript amend? why doe he not bring before u a draft of the regulations that he pose? that i common practice in the legislate text, and committee are often allow to look at the draft regulations, but we do not have them before u.",-1,0.429,1,0.573
