"id","motion_party","party","text","rating","afinn","lsd","vader"
1,"labour","conservative","Has any estimate been made of the number of couples who will come forward to adopt children as a consequence of the amendments but who are currently unwilling to adopt as individuals?",-1,0.2,0.5,0.372
2,"labour","conservative","rose-I thank the shadow Chancellor for giving way. May I say that as a bystander, rather than a participant, in the last Parliament, I was always struck by his excellent manners? As a mother of three children, I am very hot on manners. In particular, when my children make a mess that I have to clear up, I encourage them to say sorry. Would the shadow Chancellor like to apologise to the Government and the people of Britain for the mess he has left for this Government to clean up?",-1,0.091,0,0.937
3,"labour","conservative","The right hon Gentleman told my right hon and learned Friend the Member for Sleaford and North Hykeham  that it was his participation in 12 debates that led the Modernisation Committee to its conclusions, but that is not the case. One of my objections to the way in which that Committee dealt with the matter is that it made no analysis of the way in which programming motions were debated in the previous Session.The reference is presumably to Members for whom it is convenient to attend only on a Wednesday afternoon. How has the Prime Minister's voting record improved since deferred voting?This subject is truly a House of Commons matter. It affects the rights of all Members of Parliament to fulfil the important function of scrutinising legislation and of tabling and debating amendments to ensure that the Executive is held to account. The right hon Member for Bishop Auckland  made his point well. Although the term ""modernisation"" is frequently used, what is done in its name does not strengthen Parliament, the Chamber or the rights of hon Members on both sides of the House to hold the Executive to account. Instead, it strengthens the Executive. Since I became shadow Leader of the House, I have objected strongly, and shall continue to do so until I leave this post, on a point of principle that the so-called Modernisation Committee should be chaired by a Minister--specifically, the Leader of the House, who has a responsibility to protect the rights and duties of Members of Parliament. The Modernisation Committee under this Government and formed by this Government is no less than a tool of this Government. It is outrageous that it should be used in such a way by them, and by the Leader of the House in particular, to introduce changes that affect the Standing Orders and the rights of the House so that we depart from the tradition of seeking consensus across the House. Consensus should not be sought in just one Committee, because that goes against the grain of what we have always understood to be the rights of hon Members.As always, my right hon Friend is right. However, I add a caveat. The new Liberal Democrat Chief Whip for the Modernisation Committee expressed concern about the way in which legislation passed through the House, especially in the previous Parliament. I hope that my right hon Friend is as hopeful as I am about that development. That Chief Whip was worried, as many of us were, about the guillotining of the Political Parties, Elections and Referendums Bill and the fact that more than 600 Lords amendments were not scrutinised by the Chamber. Much of the Bill will need to be tidied up and put right by us because problems were not properly addressed at the time. Indeed, just before the House rose for the general election, the imprints--an important aspect of the Bill--had to be reconsidered. It is to no one's advantage if legislation is not properly scrutinised and challenged before it becomes an Act. I suspect that much of the legislation that was passed in the previous Parliament will cause great problems, not least because people ask about our intention behind the laws that we enact. If it has not even been scrutinised or debated, if there is no official record of the intent of the House at the time, how can we say that we are the legislators? Once it is seen that Parliament did not address matters, people outside will second-guess its intent. That is not the way in which any legislature should behave. I say to the right hon Member for Livingston  in all sincerity that it is the job of the Leader of the House to ensure that there are procedures that respect the right of all of us--in government or in opposition or on the Front or Back Benches--not only to challenge the Executive but to do our job in scrutinising and amending legislation.That is exactly right. I must at this stage put on record my grateful thanks to my hon Friend, who has stood shoulder to shoulder with me in the Modernisation Committee to try to ensure that those of us who have grave concerns have them put on the record of the Committee's proceedings.I totally agree with my hon Friend. Since becoming shadow Leader of the House, I have made that point myself. Indeed, the point is not just that a Select Committee is chaired by a member of the Government--the Leader of the House--but that, interestingly, the Parliamentary Private Secretary to the Leader of the House took a place on that Committee. I do not know whether that will be so in future. The Committee is a tool of the Government. It was intended to be so by this Government. This Government intended to ensure that, under the guise of a Select Committee, they could change the Standing Orders. As my hon Friend has pointed out, given tradition and what we know and understand of Select Committees, it is of course nothing of the sort. I would not necessarily press for such a Committee to be chaired by a member of the Opposition. I would happily accept a Back-Bench Chairman of any party in the House. The Committee deals with matters to do with the House. It is therefore not just entirely inappropriate but obscene that it is chaired by a member of the Government.I shall come to that in a moment when I will be happy to quote--I am sure that the hon Lady will be interested to hear it--the letter that I received at the beginning of the year from the then Leader of the House acknowledging that the motions on programming before the House in November, for which, as I recall, the hon Lady voted enthusiastically, had not worked and that there were great problems. It is only because that went on record that the Modernisation Committee addressed those great problems. If the hon Lady really wants to get to the heart of the matter, let us do so. This is not about the rights of Members of Parliament and scrutiny of legislation. We know the Government's view on scrutinising legislation. Owing to their majority, they are prepared to allow Back Benchers constituency weeks away from this place. It is clear that, according to the Government's philosophy, an MP's role is not, as we have always understood it to be, two-fold--to represent one's constituents and ensure that constituency issues are dealt with, and to scrutinise legislation and hold the Executive to account. The Government are enthusiastically changing that role. They did so in the previous Parliament and they are clearly encouraging it in this one. They want to turn everybody into glorified social workers while they dictate how the country will be run.I shall of course be happy to respond to that intervention in next week's debate, when it would be more appropriate to do so. The hon Gentleman will not be disappointed by my reply. Without going through everything that I said when we dealt with deferred Divisions and programme motions in November, as that is on the record, I shall reiterate my key objections to them. First, deferred Divisions divorce the debate from the vote. It is critical that the vote follows the debate. The ballot paper that can be handed in between 3.30 pm and 5 pm could be filled in by any third party anywhere.  The fact that Labour Members do not think that that is a matter of concern shows clearly that they do not understand the way in which the procedures of the House have developed over many years. They may think that the procedures are old-fashioned and anachronistic, but Members have always been able to go through the Lobby following the debate unencumbered by the influence of any external third party. I am talking about the sort of third-party influence that was seen in the 19th century--that is going back a bit--which affected the way in which Members voted.  We have procedures in this House as a result of which Members are unencumbered when they vote at the sound of the Division Bell immediately following the debate.The hon Lady is clearly one of those who thinks that it does not matter if a third party has access to a Member when voting. Ballot papers that are available in the morning could be filled in by anybody. Coercion could be used. A third party could stand over a Member of Parliament while they filled in that ballot paper. Government Members shake their heads, but the freedom and the right of a Member of Parliament to proceed unaccosted to the Lobby following a debate to make sure that when their vote is cast they are not subject to third-party influence is rooted in history.Never mind Back Benchers--we should also assert the rights of Front Benchers. Let me share with the House the results of an experiment that I carried out a little while ago with one of the deferred Divisions. I simply looked at the questions on the paper, filled it in as I thought fit and waited to see what would happen. I am pleased to say that nothing did. The point is that it represents a departure from an important principle--although it might not be important to the hon Member for Cambridge , who is trying to intervene--which is that we discharge our duties in the Division following a debate.There is a distinction to be drawn. Members of Parliament can be faced with multiple votes on a piece of paper, some of which deal with highly emotive issues that attract especially active lobby groups or constituency activists who want to influence the way in which that Member of Parliament votes. It is quite possible that the day will dawn when the public, having finally realised the way in which our voting system has been changed, will demand to see the hon Lady fill in her ballot paper, and might even stand over while she does it.  Government Members dismiss that scenario, but if they are never subject to third-party influence when they vote, we must all assume that the little notes that they read out so politely during Prime Ministers questions and on every other occasion are not, in fact, written for them by people at Millbank tower. Perhaps the Minister who winds up the debate will tell us whether Millbank tower or the Whips ever issue any direction on how ballot papers are to be filled in. In some ways, programme motions cause me greater concern. When they were introduced, it was suggested that they would benefit the Opposition--that, provided that a final date was agreed for the Bill to complete its passage, the Opposition and any Labour Back Bencher who was sufficiently strong minded to challenge the Government would have the opportunity in the preceding stages to ensure that proper scrutiny and time were given to challenge the detail of the Bill. However, that is not what happened after the change was made to our Sessional Orders in November last year. The change was not made to assist either the Opposition or Back Benchers; it was made purely to ensure not only that the Government got their business but that they did so with important parts of legislation being allowed to proceed through both Houses of Parliament without having been properly scrutinised and without the Opposition having been able to challenge the detail or speak to amendments. I mentioned a letter from the previous Leader of the House, who wrote to me on 30 January: ""You will recall I undertook at business questions . . . in response to Sir Peter Emery, to remind all my Ministerial colleagues of the purpose of the new procedures on programming, given the expressed view from your benches that the Government is not paying sufficient attention to the interests of Opposition parties when establishing programmes for legislation. I have now done so. In particular, I have stressed that . . . it was agreed that in return for the Government securing each Bill by a particular date, the Opposition parties and other non-Government interests would have the major say in how""-- that word was underlined-- ""the available time is used."" Would that that were so. Despite that letter, as legislation proceeded through the House, as Minister after Minister came to the Dispatch Box on Second Reading, and as other Members presided over the Programming Sub- Committees and deliberations in Standing Committee, matters went from bad to worse, culminating in the travesty of proceedings on the Criminal Justice and Police Act 2001. As a result of that, the Modernisation Committee met to recommend further changes. One might have thought that the changes would be designed to make procedures more flexible and to give the House, Back Benchers and the Opposition greater opportunity to challenge and scrutinise. Instead, the Modernisation Committee, chaired by the Leader of the House, produced its first report. As the House will be aware, it contained a memorandum submitted by my hon Friend the Member for Aldridge- Brownhills  and myself, because neither of us were content with the so-called ""repairing"" job that that Committee had attempted in order to correct the clear deficiencies in the Orders to which the House agreed in November last year. I shall not read out the whole memorandum, but I shall repeat some of the points made therein. I should point out that the reason why it was a memorandum and not a minority report was that such are the procedures of the Modernisation Committee that I was prevented from tabling such a report. Because of the shambles resulting from the fact that the rules of that Committee appear to be made up as they go along, I, a member of the official Opposition, was not permitted to table a minority report as I had asked to be allowed to do. Only after my hon Friend and I insisted were we able to get even a memorandum appended to the report of the Committee. The House will not be surprised to hear me repeat that the Modernisation Committee is a tool of government: it has no interest at all in dissenting views or the views of the official Opposition. On Second Reading of the Criminal Justice and Police Bill, the Minister had stated how many sittings of the Standing Committee he thought would be required, but he reneged on that promise when the Programming Sub-Committee met to discuss the matter. The Standing Committee ran out of time to such an extent that, as it reached its final sitting, it had dealt with only 90 of the Bill's 132 clauses. That made it necessary for my right hon Friend the Member for Maidstone and The Weald  and three other Opposition Members to sit in that Committee and demonstrate their grave concern that its proceedings were to be guillotined and that it was being forced to complete its business without having scrutinised important parts of the Bill.I am happy to say that the Hansard Committee record shows that both Chairmen confirmed that there was not time wasting. The hon Member for Southwark, North and Bermondsey  agreed with that. That is mentioned in the memorandum that is attached to the first report of the Modernisation Committee.That is right. It is one of my on-going complaints, which I shall reiterate. Such Committees, especially as they have voting rights, should record their deliberations, including voting records. The hon Member for Doncaster, North  suggested that it was the time wasting of some Conservative Back Benchers that caused the Modernisation Committee to recommend, and the new Leader of the House to agree, as on the Order Paper, that no longer should the House discuss a programme motion for 45 minutes before it goes to the Programming Sub-Committee. That is a serious misjudgment, for two reasons. During a Second Reading debate, some of the issues about which there is concern--for example, what might be in the Bill or how it will be taken forward--emerge only during Back Benchers' representations and contributions. All too often it falls to the Minister who responds to the debate to answer the specific questions that have been raised. It is not until the conclusion of Second Reading that many Back Benchers--it is to be assumed that those who speak on Second Reading often have a particular interest in the subject, and perhaps wish to serve on the Standing Committee--have their specific questions answered. If Back Benchers hear the answers to their questions in the Minister's response, they will have signs of the sort of issues that will be raised in Committee and the time that will be needed, especially in terms of apportionment between certain parts of the Bill. Some parts will be long in print, but they will not take up too much time in Committee. It is often as a result of detail coming forward from Ministers that many amendments need to be tabled. If the House is to be denied the opportunity of a 45-minute debate--a member of the Committee will not necessarily be a member of the Programming Sub-Committee--Back Benchers on both sides of the House will be denied the opportunity to make their contribution to an important part of the deliberations in Committee.We have a dichotomy. What do we mean by modernisation? We know what the Leader of the House--along with many Labour Back Benchers, I suspect--means by it. He means getting away from here at 10 o'clock. I remind the hon Gentleman that there is a balance to be struck between getting away from here at a reasonable time and discharging our duties as Members. That is why I referred to the dual role of a Member. It suits the Government increasingly to regard the role of Members on both sides of the House as being confined to looking after their constituency interests. Important as that is, the role of a Member is that of scrutiny and challenge. We must have ample opportunity, for example, to table amendments at the various stages of a Bill's consideration, and to speak to them if Mr. Speaker has been gracious enough to select them for debate. I am worried that so-called modernisation does not enhance that process. It does not strengthen the ability of Back Benchers to participate. Instead, it restricts it. We are getting rid of the 45-minute debate following Second Reading, and there is concern about the way in which the guillotine will fall, when only outstanding Government amendments will be dealt with. Where does a Back Bencher on either side of the House go to express what may be a deeply held belief about important issues within the context of a Bill? I return to what I have euphemistically described as the actions of the Maidstone Four. They felt obliged to attend a sitting of a Standing Committee in its concluding minutes when the guillotine fell and large and important parts of the Bill concerning the police force had not been dealt with by the Committee. Unless Back Benchers can see in our procedures a reasonable opportunity to table and speak to amendments on matters of importance and often of principle to them, the only alternative will be for more Members to take action such as that taken by my right hon Friend the Member for Maidstone and The Weald or--I hope that this does not happen--action similar to that taken in earlier Parliaments by hon Members on both sides of the House, who felt that the only way to demonstrate their frustration was to wave the Mace about. Let us not go down that route. That is not modernisation. Such action reflects the sheer frustration of Members at the fact that their will is being subsumed by a Government who are unwilling and ungenerous enough not to strengthen the rights of Back Benchers and instead curtail and usurp them through the deliberations of a Committee that is in the palm of government. The Leader of the House ain't seen nothing yet if he thinks that what he saw in the previous Parliament will be acceptable in this Parliament, with badly drafted legislation being guillotined at every stage of its consideration as it passes through the House, and possibly in the upper Chamber, if that is what the Government plan to do. That is not modernisation by anybody's definition. The motion is not about proper scrutiny. It is about getting away from the House by 10 o'clock. That is the benchmark that has been set. The Leader of the House touched on the matter briefly in his remarks last night, when he said: ""it does not seem entirely unreasonable that we should allow colleagues to go home at 10 o'clock at night. Members of any other profession would regard that as a very minimum working condition.""-- I remind the right hon Gentleman of the very definition of ""profession"". People who regard their work in life as professional do not set deadlines for when they clock off. The definition of professional is seeing the job through until it is completed, and doing so in such a way that standards are upheld so as to ensure that the job is well done. If the House and its proceedings are not to be professional in the definition to which I have referred and if we are to clock off before the job is finished or before it has been properly done, it is not only hon Members but the country who will be the poorer. There are many hon Members, including myself, who did not come to this place just to clock off. If that is what the Leader of the House means by modernisation, he should be only too well aware that future generations will spend a great deal of time trying to put right the legislation that the Labour Government, both in the previous Parliament and in this one, bequeathed to the nation, because it will be bad legislation. That will be the hallmark of what the right hon Gentleman and the Labour Government pass on to future generations.The hon Gentleman mentioned my right hon Friend the Member for North-West Hampshire . I hope that the hon Gentleman will not omit to mention that my right hon Friend prepared a minority report on the Modernisation Committee's previous report, which originally introduced programming and deferred Divisions.Notwithstanding our principled objection to the proposals, once they were agreed there was no question of our not participating in the Programming Sub-Committees; we did participate. The right hon Lady wrote the letter because Ministers were not complying as she had expected them to.",-1,0.107,0.215,1
4,"labour","conservative","My hon Friend says he thinks the Select Committee should talk about issues such as Crossrail, but people in my constituency think that an awful lot of money is spent on transport in the south-east and that we in Yorkshire do not get our fair share. Surely if the Committee is going to talk about very expensive projects such as Crossrail, there should be a Yorkshire perspective on it-I hasten to add that I am not volunteering.",-1,0,0.333,0.32
5,"conservative","conservative","My hon Friend is making a powerful speech. Does he agree that this issue has many of the hallmarks of what we faced 75 years ago, in that Daesh is like National Socialism: it is not just a movement trying to take over one country; it is a movement trying to make a race and a belief dominant, and in doing so eliminate its opponents?",-1,0.333,0.429,0.875
6,"labour","conservative","Will the shadow Chancellor clarify his party's position on our proposed spending reductions? Before the general election, it was my distinct impression that the Labour party was planning public expenditure cuts of up to 25% across some Departments. In my constituency of Stourbridge, we were extremely concerned when the results of a freedom of information request on the NHS in the west midlands revealed plans for significant cuts to doctors, nurses and beds in our area. By anyone's definition, they must be front-line services.",-1,0.05,0.2,0.735
7,"conservative","labour","The Secretary of State says that councils are living within their means, but Trafford Council, for which I am the Member of Parliament, is having to draw on its reserves to meet the spending gap it faces as a result of the reduction in the revenue support grant, which, even in a rich authority like Trafford, is not fully compensated by the ability to retain more business rates.I welcome what the Secretary of State says about a review. I am sure he will be interested to know of research conducted recently by Revo with intu shopping centres, which showed that business rates were the single largest deterrent to foreign retailers establishing or expanding in the UK. Would he be willing to meet the researchers behind the report to discuss, in the context of the review, what can be done to ensure that the UK continues to be an attractive destination for foreign retailers?",-1,0.333,0.778,0.989
8,"labour","conservative","Rather than having an EU-wide registration system, it would be far simpler to keep such people in prison and not release them early, which is what happens all too often and allows them to commit further horrific acts.",-1,-0.267,-1,-0.758
9,"labour","labour","This obscure debate is certainly one-sided. I would like to ask my right hon Friend and other hon Members whether they realise the impact of the lack of accommodation in the parliamentary estate. Some Members of Parliament are still working in offices that do not even have windows, never mind accommodation for staff.",-1,0,0.429,0.7
10,"conservative","conservative","Shocking.",-1,-0.4,-1,-0.402
