"id","text","rating","afinn","lsd","vader"
1,"whatever quality appeal carle fan, miss entire.",1,0.067,1,0.178
2,"see view f little shark swimming sea.",1,-0.067,0,0
3,"jane yolen quote sum feel perfect: "" may adore love forever, hear overbear smother mother infantilizes son can tell love fast asleep. also tend drug cocoa. man's baby daughter wake sixteen year late find fondle room, call 911 go therapy. """,1,0.733,0.6,0.931
4,"first, hideous. just stare cover. real take. view hit the bugged, especial way financial difficulty associate pay college wave. issue, just reek fakeness. true. pop therapist thought experiment. substantial cotton candy, think notice. want real kid overcome significant challenge work conservation? boy jaguar talk kid alan rabinowitz let stutter stop pursue interest. wangari's tree peace: true africa talk wangari maathai start small dream end change world. doz genuine impart similar lesson didactic waste paper, significant better written illustrate.",1,0.124,0.067,0.832
5,"just family two dad four adopt make interesting. get true sense anyone personality; omniscient narrate seem place, real care., however, like short note start chapter. nice touch. maybe entire epistolary, like.",1,0.467,1,0.945
6,"much name droop serve overall plot. kirov's inspiration come legend "" fish k. "" however, found storyline weak bad imitate: "" death hallow. """,1,-0.4,-0.6,-0.785
7,"rather pleasant little picture feature date gender role - - mom tire cook, heaven forbid dad! - - addition dreadful role model behave restaurant. child scream, crawl t, disturb din, final trip wait carry food. annoy dangerous behavior present funny - - especial audience still learn basic act public.",1,-0.067,-0.385,-0.75
8,"dumb. nothing dispel african stereotype.",1,-0.733,-1,-0.327
9,"enjoy. 's voice re true.",1,0.467,1,0.718
10,"toy animate movie franchise become one popular history cinema, launch pixar brand farther high anyone ever guess. pixar fuse low standard quality second third toy film,, earn respect many use mediocre film sequel. little serve nice purpose. give u another experience set america come love, glean additional smile two connection christmas season.; simply unambitious christmas fond toy movie. like idea.",1,0.6,0.8,0.955
11,"four way just jumble boy try get "" borrow "" bicycle back. newbery jerry spinelli.",1,-0.067,-1,0
12,"real look forward. love first two ( four star star summer ) yearn know conclusion gladys'. tell parent?,? next view wrote? archenemy ( forgot name ) back? can see, answered question, pretty antsy excite. "", g one star? "", ask, fuse. answer. actual truly page 18. look ahead saw charissa crush parm. well, charissa parm? girl. lesbian issue portray unbibical, instead, portray perfect fine! just real uncomfortable - already! -, frank, think author include. reason one star view? content ( like lesbian tolerate ) real went - god beliefs.",1,0.289,0.385,0.972
13,"ah, christian fiction. knew people often board, find kosher, ( ), know pick. kind shame sup christian message maker just lesson learn cultural teach. real shame mitchell heinze's artwork real texture like. wish people bulldoze faith around instead try just tell include element culture. 's written age level month ago. big plot point jewish holiday rosh hashanah, offend least. taught something. just anecdotal overview christian god need follow, enjoy preach least. commend less age level social demographic.",1,0.079,0.2,0.822
14,"point write something total similar another author - [: double act ]. despite fact author try choose another put another situate, one 100 % similar one mention.",1,-0.067,-1,0.318
15,"like bible except find bible ( least part ) dragging. bit disturb 's,? mean, girl willing stray mother go pilgrimage angel see child - christ mange... angel let happen? actual, girl ran lamb want stroke soft fleece told angel angel just said, hey whatever come u. dear angel, important part little girl play birth jesus christ tag along just turn mother like save drown guy somewhere? bible, parent known told sacrifice prove faith god ( least petty, vindictive, old testament god ) least know happen child child appear. elisabet's mother torment 50 year knowing happen little girl. okay, blame angel toward end said abduct people war... ye make political the fuse begin. end still imply pilgrimage real happen... yeah. psychological roll coast? anyone?? eesh.",1,0.075,0.2,0.899
16,"just silly. even goosebumps - say lot. evan, main character, flippin' moron. real, real, deep stupid. mean, even believe stupid character. tell everyone school monster blood. ( turn dog gigantic ate ) insist real. yeah, go make lot new friend new school, bub. idiot. bully always pick evan. one favorite trick offer evan hand shake apologize, crush evan's hand pulp. evan never learn. always take proffer hand. bully use trick evan three time course. three time. another scene, bully characteristically apologize punch evan off evan free punch. "" go. hit hard can. hit back. "" even 4 - year - old tell trap stupid idea. evan. course, teach watch evan's one get trouble. idiot. luckily, evan's non - girlfriend ( mean, come, 12 ) andrea aka andy show. 50x smart, strong, brave, able kick ass evan. evan never fail act like total jackass. idea see kid. least off read relief onslaught stupidity. plot stupid also. hamster eat monster blood turn giant? hamster. serious??!!? end monster blood sudden verse effect "" today expiration date "" beyond lame. ton fat - shaming. mean, teach ( jerk ) obese. get. can stop endless reference waddle, multiple chin, call fat. got first 30 time. jeez. relentless unending. just dumb almost deem quality. avoid cost.",1,-0.365,-0.447,-0.976
17,"real glad many people like. love wendy mass. hate give negate view. go test, thought real stupid. - - top stupid. definite change rate find like!",1,0.1,0,0.598
18,"ugh, unlike main character.",1,-0.067,-1,-0.421
19,"caveat: max word, sure compare. [ turn ] [ turn ] text felt way long aloud daughter. almost every line piece dialog one three boy. line right another, make difficult different voice. fact boy around age make difficult anyway.",1,-0.333,-0.333,-0.402
20,"yellow & pink usual picture, especial appear allegory human struggle various explanation existence, ultimate, existence the. yellow pink, kind humanoid, come theory might form. pink say obvious must create someone, yellow figure probably came kind accident. issue never real solve, leave read wonder truth yellow pink came existence, say world. real typical william steig material, except realistically open - end finish wry humor. g one half star yellow & pink.",1,0.01,0.333,0.755
21,"surprise see banned list. creepy little 5 year old girl find baby bury sandbox walk town baby try g away complete strange. * shudder * something small.",1,-0.467,-1,-0.402
22,"like allusion violent death near end. put 's?",1,-0.333,-0.333,-0.743
23,"general love jan brett's work. phenomenal usual love story. one suck. weird, inane ever. guess one reason like jan brett's story base folktale, stuff folktale. seem earth "" real. "" hedgie blast hedgehog fly space fix fictional geyser. lesson learn artwork nice, nothing write home. son taking back library immediate. get 's point, prefer, think 4 year old.",1,0.2,0.111,0.878
24,"lot happen, basic predict plot, visible women ( one shown pretty negative portray ).",1,-0.2,-1,-0.128
25,"doomsday strike stoneybrook. karen family fight back imperial warlord threaten take earth. member karen's family make vow help prevent alien winning., reason control, break vow bring alien one step close wreak havoc small town connecticut. karen can help, involve spy side. can live guilt? duh, course can, karen.",1,-0.126,-0.4,-0.765
26,"sexist press make want barf. even little kid whole concept tree (. e. woman ) sacrifice accommodate grateful man seem utter fuck.",1,-0.067,0,-0.126
27,"travesty.",1,-0.6,0,-0.572
28,"lie. made. saw sitting new title, got kind excite... "" ooh! maybe show dang thumbsucking & help quit! "" nope. least. fact, opposite. anyway, like little girl, chronic thumbsucker, point need brace late life tee. adult still nervous eat, nail bite, p chew & ever occasional smoke: / ( freud joke oral fixate ). aaalright, okay, probably - - depth view silly ', thumb suck serious busy & the kinda slow today thank sportsball & snow. someone need make healthy cop mechanism & lie. final rate = 0 ( 0 star option )",1,0.173,0.273,0.934
29,"fan nate. know rude toward artur suppose seen unjust help think emulate nate treat people look speak different come different place poor. appoint popular.",1,0.147,-0.5,0.026
