"token","vader","n"
"book",0,1149
"story",0,518
"read",0,456
"books",0,232
"love",1,181
"reading",0,181
"illustrations",0,179
"kids",0,177
"children",0,176
"time",0,148
"fun",1,132
"loved",1,130
"characters",0,120
"series",0,117
"life",0,107
"readers",0,100
"child",0,87
"people",0,87
"girl",0,83
"feel",0,81
"stories",0,81
"family",0,80
"world",0,79
"character",0,77
"lot",0,76
"children's",0,74
"boy",0,73
"cute",1,72
"review",0,72
"plot",0,71
"author",0,70
"written",0,70
"favorite",1,68
"house",0,68
"parents",0,68
"school",0,67
"text",0,66
"bit",0,64
"day",0,64
"home",0,63
"picture",0,61
"enjoyed",1,60
"enjoy",1,59
"kid",0,59
"found",0,57
"makes",0,57
"friends",1,55
"reader",0,54
"mother",0,53
"bad",-1,52
"page",0,52
"beautiful",1,51
"hard",-1,50
"stars",0,50
"art",0,49
"real",0,49
"times",0,49
"pictures",0,47
"short",0,47
"main",0,46
"writing",0,46
"idea",0,45
"nice",1,45
"pretty",1,45
"3",0,44
"pages",0,44
"tale",0,44
"age",0,43
"animals",0,43
"library",0,43
"2",0,41
"remember",0,41
"brother",0,40
"sweet",1,40
"cat",0,39
"girls",0,39
"middle",0,39
"mystery",0,39
"words",0,39
"adults",0,38
"easy",1,38
"father",0,38
"live",0,38
"recommend",1,38
"wonderful",1,38
"adventure",1,37
"funny",1,37
"grade",0,37
"simple",0,37
"teacher",0,37
"understand",0,37
"dog",0,35
"message",0,34
"fairy",0,33
"style",0,33
"told",0,33
"1",0,32
"4",0,32
"daughter",0,32
"friend",1,32
"jack",0,32
"job",0,32
"tells",0,32
"wrong",-1,32
"absolutely",0,31
"aloud",0,31
"chapter",0,31
"happy",1,31
"sense",0,31
"adult",0,30
"beginning",0,30
"perfect",1,30
"care",1,29
"original",1,29
"start",0,29
"audience",0,28
"baby",0,28
"classic",0,28
"copy",0,28
"heart",0,28
"half",0,27
"humor",1,27
"takes",0,27
"title",0,27
"childhood",0,26
"christmas",0,26
"class",0,26
"concept",0,26
"history",0,26
"learn",0,26
"son",0,26
"sort",0,26
"started",0,26
"white",0,26
"5",0,25
"ages",0,25
"animal",0,25
"details",0,25
"finally",0,25
"happened",0,25
"head",0,25
"lost",-1,25
"lovely",1,25
"silly",1,25
"supposed",0,25
"black",0,24
"boys",0,24
"collection",0,24
"coming",0,24
"cover",0,24
"feels",0,24
"food",0,24
"left",0,24
"lives",0,24
"mind",0,24
"peter",0,24
"tales",0,24
"true",1,24
"version",0,24
"8",0,23
"charming",1,23
"confusing",-1,23
"feeling",1,23
"giving",1,23
"information",0,23
"learning",0,23
"line",0,23
"loves",1,23
"magic",0,23
"movie",0,23
"students",0,23
"bear",0,22
"change",0,22
"experience",0,22
"illustrated",0,22
"named",0,22
"set",0,22
"star",0,22
"tree",0,22
"fiction",0,21
"lesson",0,21
"list",0,21
"magical",0,21
"night",0,21
"rhyming",0,21
"share",1,21
"women",0,21
"bird",0,20
"blue",0,20
"god",1,20
"language",0,20
"leave",-1,20
"level",0,20
"person",0,20
"play",1,20
"save",1,20
"scene",0,20
"strange",-1,20
"stupid",-1,20
"visit",0,20
"war",-1,20
"weird",-1,20
"word",0,20
"artwork",0,19
"attention",0,19
"awesome",1,19
"boring",-1,19
"city",0,19
"fan",1,19
"honest",1,19
"horses",0,19
"nature",0,19
"sad",-1,19
"similar",0,19
"simply",0,19
"stuff",0,19
"wild",0,19
"woman",0,19
"6",0,18
"add",0,18
"adventures",1,18
"anne",0,18
"bring",0,18
"brown",0,18
"created",1,18
"dark",0,18
"finished",0,18
"george",0,18
"hope",1,18
"http",0,18
"including",0,18
"monster",0,18
"newbery",0,18
"reason",0,18
"sleep",0,18
"special",1,18
"taking",0,18
"top",1,18
"write",0,18
"bully",-1,17
"chapters",0,17
"choose",0,17
"dad",0,17
"disappointed",-1,17
"entire",0,17
