"token","vader","n"
"gopdebate",0,246
"t.co",0,165
"http",0,129
"trump",0,118
"gopdebates",0,98
"realdonaldtrump",0,59
"debate",0,57
"megynkelly",0,51
"gop",0,45
"amp",0,43
"donald",0,38
"foxnews",0,38
"night",0,35
"candidates",0,31
"people",0,30
"night's",0,29
"carson",0,25
"https",0,25
"god",1,24
"time",0,24
"fox",0,23
"huckabee",0,23
"jeb",0,23
"news",0,23
"watching",0,23
"question",0,22
"real",0,20
"republican",0,20
"rwsurfergirl",0,19
"candidate",0,18
"megyn",0,18
"paul",0,18
"2",0,17
"ben",0,17
"bush",0,17
"love",1,17
"rubio",0,17
"america",0,16
"carly",0,16
"hands",0,16
"kelly",0,16
"won",1,16
"life",0,15
"president",0,15
"questions",0,15
"rights",0,15
"watch",0,15
"cam",0,14
"ericstonestreet",0,14
"fiorina",0,14
"rand",0,14
"1",0,13
"cruz",0,13
"debates",0,13
"party",1,13
"stage",0,13
"tonight",0,13
"winner",1,13
"goldietaylor",0,12
"hillary",0,12
"hillaryclinton",0,12
"kasich",0,12
"gay",0,11
"mike",0,11
"bring",0,10
"carlyfiorina",0,10
"closing",0,10
"republicans",0,10
"tv",0,10
"wait",0,10
"watched",0,10
"word",0,10
"answer",0,9
"break",0,9
"call",0,9
"chris",0,9
"christie",0,9
"free",1,9
"huge",1,9
"jebbush",0,9
"military",0,9
"realbencarson",0,9
"support",1,9
"clinton",0,8
"johnkasich",0,8
"kwrcrow",0,8
"marcorubio",0,8
"pro",0,8
"reality",0,8
"sense",0,8
"talk",0,8
"talking",0,8
"win",1,8
"women",0,8
"world",0,8
"10",0,7
"2016",0,7
"act",0,7
"adult",0,7
"bettyfckinwhite",0,7
"campaign",0,7
"check",0,7
"dc",0,7
"democrats",0,7
"dr",0,7
"hair",0,7
"illegal",-1,7
"immigration",0,7
"kill",-1,7
"legal",1,7
"line",0,7
"obama",0,7
"pictures.should",0,7
"posed",0,7
"randpaul",0,7
"ratings",0,7
"salmasekela",0,7
"scottwalker",0,7
"tedcruz",0,7
"twitter",0,7
"vote",0,7
"wow",1,7
"black",0,6
"boo",0,6
"brain",0,6
"calling",0,6
"comments",0,6
"country",0,6
"donaldtrump",0,6
"earned",0,6
"favorite",1,6
"future",0,6
"head",0,6
"hear",0,6
"himscrvikr",0,6
"hrc",0,6
"issues",0,6
"job",0,6
"lindasuhler",0,6
"marco",0,6
"missed",-1,6
"nice",1,6
"noamnestyhttp",0,6
"person",0,6
"pledge",0,6
"presidential",0,6
"stands",0,6
"status",0,6
"tcot",0,6
"ted",0,6
"telling",0,6
"tonight's",0,6
"walker",0,6
"wins",1,6
"woman",0,6
"3",0,5
"appearance",0,5
"berniesanders",0,5
"biff",0,5
"car",0,5
"care",1,5
"commercial",0,5
"day",0,5
"democrat",0,5
"facebook",0,5
"funny",1,5
"government",0,5
"governorperry",0,5
"govmikehuckabee",0,5
"guy",0,5
"impressed",1,5
"john",0,5
"kkkorgop",0,5
"lost",-1,5
"monaeltahawy",0,5
"politics",0,5
"post",0,5
"purpose",0,5
"race",0,5
"rosie",0,5
"running",0,5
"speak",0,5
"stand",0,5
"stupid",-1,5
"system",0,5
"times",0,5
"top",1,5
"tough",-1,5
"trump's",0,5
"video",0,5
"war",-1,5
"washington",0,5
"17",0,4
"afraid",0,4
"alien",0,4
"american",0,4
"americans",0,4
"attack",-1,4
"audience",0,4
"aware",0,4
"bad",-1,4
"bet",0,4
"biggest",0,4
"bipartisanism",0,4
"bretbaier",0,4
"brought",0,4
"changed",0,4
"china",0,4
"choice",0,4
"classy",1,4
"coming",0,4
"correct",0,4
"coverage",0,4
"discussing",0,4
"dropped",0,4
"enjoyed",1,4
"establishment",0,4
"faithful",1,4
"fieldnegro",0,4
"finally",0,4
"frank",0,4
"freedom",1,4
"fuck",-1,4
"giving",1,4
"half",0,4
"hey",0,4
"hope",1,4
"jamiaw",0,4
"joke",1,4
"kayleymelissa",0,4
"learn",0,4
"left",0,4
"liberty",1,4
"lol",1,4
"lose",-1,4
"makes",0,4
"moment",0,4
"national",0,4
"o'donnell",0,4
"plenty",0,4
"poll",0,4
"popehat",0,4
"raise",0,4
"received",0,4
"refreshing",0,4
"religious",0,4
"remark",0,4
"replace",0,4
"retweeted",0,4
"rnc",0,4
"run",0,4
"santorum",0,4
"schultz",0,4
"set",0,4
"shocks",-1,4
"statement",0,4
"statements",0,4
"stop",-1,4
"tax",0,4
"trump2016",0,4
"truth",1,4
